# 작업 e01 — 실행파일(SLPM_656.73) 메뉴·라벨 문자열 번역 (오프셋<TAB>번역)
# 폭·바이트 한계 때문에 띄어쓰기를 뺀 곳이 있다 (예: 세력목록, 등록무장세이브).
# 세이브/로드/포맷 작업 이름은 「%s를 계속하시겠습니까?」 등에 들어가므로 받침 없는 말로 끝낸다.
0x352AA0	최소
0x353E10	귀환
0x353E18	공격
0x353E20	진군
0x353EA0	사관처우
0x353EB8	영입
0x353EC8	요격
0x353ED0	원군
0x353ED8	점령
0x353EE0	매매
0x353EF0	유휴
0x353EF8	권고회답
0x353F08	증정회답
0x353F18	반환결단
0x353F28	반환회답
0x353F38	요청결단
0x353F48	요청회답
0x353FC8	빠름
0x353FD8	느림
0x354000	신
0x3540B8	스테레오
0x3540C8	모노
0x3540D8	표준
0x354108	주제패
0x354118	군비
0x354148	박랑사
0x3541A8	복파장군
0x3541B8	마릉전투
0x3541C8	장평전투
0x354308	용인
0x354318	승낙
0x354320	거부
0x354328	백호
0x354330	흉호
0x354338	폭호
0x354340	염전
0x354348	직물
0x354350	유통
0x354358	무역
0x354360	방목
0x354368	철광
0x354370	농지
0x354378	과수
0x354380	가뭄
0x354388	홍수
0x354390	흉작
0x354398	역병
0x3543A0	중상
0x3543A8	마적
0x3543B0	산적
0x3543B8	해적
0x3543C0	도적
0x3543C8	수적
0x3543D0	옹립한다
0x3543E0	폐립한다
0x3543F0	승낙
0x3543F8	단념
0x354400	전투
0x354408	도주
0x354410	토벌
0x354418	무시
0x354420	무시
0x354430	승낙
0x354438	벤다
0x354448	관리
0x354450	금 %d 지원
0x354460	병량 %d 지원
0x354470	무시
0x354478	승낙
0x354480	추가요구
0x354490	거부
0x354498	승낙
0x3544A0	금전요구
0x3544B0	거부
0x3544B8	승낙
0x3544C0	거부
0x3544D0	무력해결
0x3544E0	지혜해결
0x3544F0	거부
0x3544F8	마적
0x354500	산적
0x354508	수적
0x354510	무력중재
0x354520	평화중재
0x354530	무시
0x354538	토벌
0x354540	금 %d 회유
0x354550	거부
0x354558	오류
0x354560	범
0x354568	곰
0x354570	왕뱀
0x354578	승낙
0x354580	거부
0x354588	상인처단
0x354598	무력해결
0x3545A8	지혜해결
0x3545B8	거부
0x3545C0	보호한다
0x3545D0	처단한다
0x3545E0	봐준다
0x3545E8	처벌한다
0x3545F8	이용한다
0x354608	쫓아낸다
0x354618	이용한다
0x354628	처단한다
0x354638	보낸다
0x354640	그만둔다
0x354650	추궁한다
0x354660	그만둔다
0x354670	모신다
0x354678	쫓아낸다
0x3546B0	미
0x3546B8	완
0x3546D8	・
0x3547F0	쪽
0x354898	대망
0x3548A0	충의
0x3548A8	유연
0x3548B0	공명
0x3548B8	독행
0x354A38	BGM 음량
0x354A48	효과 음량
0x354A68	경계선
0x354A70	레이더 맵
0x354AC0	스피커 타입
0x354AD8	설정완료
0x354AE8	커서 속도
0x354AF8	등록무장작성
0x354B08	등록무장변경
0x354B18	등록무장삭제
0x354B28	삼국지Ⅷ로드
0x354B38	생년일괄조정
0x354B48	저장
0x354B60	등록무장수  %3d/100
0x354B88	이름
0x354B98	얼굴
0x354BA8	내면
0x354C38	변경
0x354C40	삭제
0x354C48	세력변경
0x354C58	본거변경
0x354CA8	BGM 감상
0x354D18	도시선택
0x354D28	클리어조건
0x354D68	얼굴
0x354E28	스테이지선택
0x354E88	병법선택
0x354EC8	한글
0x354EE0	영문
0x354EE8	기호
0x354EF0	기타
0x354F10	설정
0x354F18	해제
0x354F30	신념
0x354F48	삭제
0x354F70	정말 지우시겠습니까?
0x354F88	세
0x354FA8	동갑 무장
0x354FB8	등록무장 생년
0x354FC8	년생
0x354FE8	담당세력
0x354FF8	기간
0x355000	승리조건
0x355010	패배조건
0x355020	아이템 수집률
0x355040	%d명
0x355048	페이지
0x355050	명칭
0x355058	종별
0x355060	설치
0x355070	제거
0x355090	공략난도
0x3550A8	작성완료
0x3550B8	변경완료
0x3550C8	설정완료
0x3550D8	입력완료
0x3550F8	매우 어려움
0x355108	어려움
0x355118	쉬움
0x355120	매우 쉬움
0x355138	대륙제패형
0x355148	국내번영형
0x355168	포맷하기
0x355370	포맷하기
0x355388	등록무장세이브
0x3553A8	환경설정 로드
0x3553C0	아이템 컬렉션 로드
0x3553E0	이벤트 컬렉션 로드
0x355400	게임 클리어기록 로드
0x355420	세이브 정보 로드
0x355438	공통설정 로드
0x355450	아이템 컬렉션 세이브
0x355470	이벤트 컬렉션 세이브
0x355490	게임 클리어기록 세이브
0x3554A8	무장편집세이브
0x3554D0	등록 아이템 세이브
0x3554F0	등록 아이템 로드
0x355510	트라이얼 스토리 클리어기록 로드
0x355540	트라이얼 스토리 클리어기록 세이브
0x355570	등록 아이템 작성
0x355590	등록 아이템 변경
0x3555B0	등록 아이템 삭제
0x3555C8	저장
0x3555E0	등록 아이템 수  %2d/50
0x3555F8	이름
0x355630	무장 소유
0x355640	지역 은닉
0x355650	%s 소유
0x355660	%s 은닉
0x355670	이름
0x355680	개인
0x355698	편집완료
0x3556B0	숙련/특기
0x3556F0	기간
0x355700	맹주
0x355730	건업
0x355788	포로무장
0x355798	부모
0x3557A8	이동중
0x3557B0	유
0x3557F0	대
0x3557F8	주변
0x355810	%s 전략중
0x355820	⎵외 %d세력
0x355838	%d명
0x355840	대
0x355848	이름
0x355B70	상세
0x3568C0	전력
0x3568D0	상세
0x356908	지도
0x356928	전력
0x356938	상세
0x356970	전력
0x356998	상세
0x3569A0	지도
0x3569C0	전력
0x3569E8	상세
0x356A18	전력
0x356A30	상세
0x356A40	상세
0x356A60	전력
0x356A88	상세
0x356A90	지도
0x356AA8	전력
0x356AD0	상세
0x356B08	선택
0x356B10	선택
0x356B38	호부1
0x356B40	호부2
0x356B48	호부3
0x356B50	상세
0x356B68	상세
0x356B78	취임
0x356BC8	개인
0x356BD0	능력경험
0x356BE0	능력한계
0x356C38	상세
0x356E08	취소
0x356E18	변경
0x356E20	삭제
0x356E28	부모
0x356E40	상국
0x356E48	원수
0x356E50	도호
0x356E58	후계
0x356EB0	상세
0x356ED0	전력
0x356EF8	상세
0x356F20	지도
0x35C970	앞으로 CD에서 불러옵니다
0x35D180	※세력 데이터 무효
0x35D520	※유저 군단이 아님
0x3603A0	%s의 설명문이 없습니다!
0x360460	%s의 대화창 메시지가 설정되지 않았습니다
0x360490	%s의 대화창 메시지가 설정되지 않았습니다
0x361840	삼국지Ⅸ with 파워업 키트
0x362168	삼국지Ⅷ
0x362180	삼국지Ⅷ with 파워업 키트
0x364B70	데이터편집
0x364D30	병법 고안
0x364D40	지식 전수
0x364D50	집중 강의
0x364D60	특별 훈련
0x364D70	교련 참가
0x364D80	쉬운 병법 학습
0x364DA0	어려운 병법 학습
0x364DB8	무술 단련
0x364DC8	궁술 단련
0x364DD8	기마술 단련
0x364DE8	항해 학습
0x364DF8	부설 학습
0x364E08	의술 학습
0x364E18	정신론 설파
0x364E28	산속 칩거
0x364E40	지도무장 재량
0x364E58	비범
0x364E60	유능
0x364E68	평범
0x364E70	미숙
0x364E78	충분
0x364E80	적당
0x364E88	약간
0x364E90	전무
0x364E98	극적
0x364EA0	양호
0x364EA8	평범
0x364EB0	부진
0x364EB8	걸출
0x364EC0	발군
0x364EC8	유망
0x364ED0	보통
0x364EF0	패의 장(조씨편)
0x364F10	정의 장(손씨편)
0x364F30	충의 장(유씨편)
0x364F50	무의 장(여포편)
0x364F70	효의 장(마초편)
0x364F88	장애물선택
0x364F98	현재
0x364FA0	소질
0x364FA8	성과
0x364FB0	여력
0x364FB8	능력보고
0x364FC8	훈련성과
0x365010	특성선택
0x365020	병법선택
0x365030	성격선택
0x365060	설정완료
