M12756.0	어떻게든⏎버텨 내야 해요……
M12789.1	{V:02DA}대도 슬슬⏎물러나겠지요……
M12789.2	어서 물러가 주면⏎좋을 텐데……
M12790.1	하하하!⏎이 승부, 내가 이겼다!
M12791.0	이 승부, 우리가 이겼다⏎전군, 공세로 전환하라!
M12791.2	이 기회를 놓치지 마라!⏎일제히 밀고 나가라!
M12792.0	쉬지 말고 계속 공격하라⏎적에게 쉴 틈을 주지 마라
M12792.1	수적 우세로 밀면 이긴다⏎이대로 적을 흩어 버려라
M12792.2	우세는 변함없다⏎침착하게 싸워라
M12793.0	{V:02DA}대에게는⏎이길 수 있을 것 같군……
M12793.1	{V:02DA}대도 슬슬⏎물러나겠지……
M12793.2	어서 물러가 주면⏎좋으련만……
M12795.0	에잇, 겁먹지 마라!⏎도망치는 자는 용서치 않는다!
M12799.0	에잇, 겁먹지 마라!⏎도망치는 자는 용서치 않는다!
M12795.1	이렇게 된 이상 죽을 각오로⏎싸울 뿐이에요!
M12795.2	이런 곳에서⏎죽을 수는 없어요!
M12796.0	에잇, 반격이에요!⏎지금이 고비예요
M12796.1	모두들, 지금이야말로 사력을⏎다해 싸울 때예요!
M12796.2	적에게 등을 보이지 마라!⏎용기를 내어 싸워라!
M12800.2	적에게 등을 보이지 마라!⏎용기를 내어 싸워라!
M12797.0	승패를 가르는 것은⏎수가 아닙니다
M12797.1	발을 멈춰선 안 됩니다⏎수의 열세는 기동으로 메워요
M12797.2	흐름을 잡으면 이깁니다⏎그때까지 버티는 겁니다
M12798.0	더 이상 싸우는 건⏎무리예요……
M12798.1	이대로는⏎곤란하겠네요……
M12798.2	물러날 때가 중요하겠지요……
M12799.1	이렇게 된 이상 죽을 각오로⏎싸울 뿐이다!
M12799.2	이런 곳에서⏎죽을까 보냐!
M12800.0	에잇, 반격이다!⏎지금이 고비다
M12800.1	모두들, 지금이야말로 사력을⏎다해 싸울 때다!
M12801.0	승패를 가르는 것은⏎수가 아니다
M12801.1	발을 멈추지 마라⏎수의 열세는 기동으로 메운다
M12801.2	흐름을 잡으면 이긴다⏎그때까지 버텨라
M12802.0	더 이상 싸우는 건⏎무리다……
M12802.1	이대로는⏎곤란하다……
M12802.2	물러날 때가 중요하다……
M12804.0	쏴라, 쏴라!⏎이대로 계속 쏴라!
M12807.0	쏴라, 쏴라!⏎이대로 계속 쏴라!
M12805.0	제1궁병대, 쏴라!
M12808.0	제1궁병대, 쏴라!
M12805.1	제2궁병대, 겨눠라!
M12808.1	제2궁병대, 겨눠라!
M12805.2	제3궁병대, 준비하라!
M12808.2	제3궁병대, 준비하라!
M12806.1	이대로 화살 세례를⏎계속 퍼부으세요
M12806.2	비처럼 화살을 쏘아⏎적병의 마음을 꺾는 겁니다
M12807.1	있는 화살을 몽땅⏎퍼부어 줘라!
M12809.1	이대로 화살 세례를⏎계속 퍼부어라
M12809.2	비처럼 화살을 쏘아⏎적병의 마음을 꺾어라
M12811.0	서둘러라!⏎꾸물거리지 마라!!
M12815.0	서둘러라!⏎꾸물거리지 마라!!
M12811.1	손을 멈추지 말아요!!
M12812.0	바로 그거예요⏎계속해요!
M12812.1	흔적도 없이⏎부숴 버리세요!
M12813.0	효율을 우선해서⏎작업하는 거예요
M12813.1	맡긴 역할을⏎확실히 해내세요
M12814.0	꽤 튼튼하네요……
M12814.1	아직 좀 더⏎걸릴 것 같네요……
M12866.2	아직 좀 더⏎걸릴 것 같네요……
M12815.1	손을 멈추지 마라!!
M12816.0	바로 그거다⏎계속해라!
M12816.1	흔적도 없이⏎부숴 버려라!
M12817.0	효율을 우선해서⏎작업하도록 해라
M12817.1	맡긴 역할을⏎확실히 해내라
M12818.0	꽤 튼튼하군……
M12818.1	아직 좀 더⏎걸릴 것 같군……
M12870.2	아직 좀 더⏎걸릴 것 같군……
M12820.1	단숨에 무너뜨려라!
M12823.1	단숨에 무너뜨려라!
M12820.2	밀어라, 밀어붙여라!
M12823.2	밀어라, 밀어붙여라!
M12821.0	적의 진형을 무너뜨려라!
M12824.0	적의 진형을 무너뜨려라!
M12821.1	모두들, 하나가 되어⏎부딪치는 거예요!
M12821.2	{V:02DA}대 따위,⏎두려울 것 없다!
M12824.2	{V:02DA}대 따위,⏎두려울 것 없다!
M12822.0	방비가 허술한 곳을⏎노리는 겁니다
M12822.1	적의 약점을 간파하세요⏎싸움의 기본입니다
M12822.2	완벽한 방비란 없습니다⏎사각을 노리면 꼭 무너집니다
M12824.1	모두들, 하나가 되어⏎부딪쳐라!
M12825.0	방비가 허술한 곳을⏎노려라
M12825.1	적의 약점을 간파하라⏎싸움의 기본이다
M12825.2	완벽한 방비란 없다⏎사각을 노리면 꼭 무너진다
M12827.0	뭘 그리 풀 죽어 있어요!⏎똑바로 해요!
M12827.1	꾸물거리지 마라!⏎지금 공격받으면 어쩔 거예요!
M12827.2	거기!⏎발이 멈췄잖아요!
M12828.0	조금만 더 참아요⏎힘내세요!
M12828.1	힘든 건 알고 있어요⏎걸음을 멈추지 마라!
M12828.2	여기까지 왔어요⏎조금만 더 힘내세요!
M12829.0	병사들의 사기가 낮네요⏎슬슬 한계일까요
M12829.1	병사들 걸음이 멎어 가요⏎이대로는 곤란하겠네요
M12829.2	병사들의 피로가 쌓였어요⏎오래 버티지는 못하겠네요
M12830.0	병사들이 겁을⏎먹고 있어요……
M12830.1	사기가 오르지 않네요……
M12830.2	슬슬⏎물러날 때겠지요……
M12831.0	뭘 그리 풀 죽어 있느냐!⏎똑바로 하지 못할까!
M12831.1	꾸물거리지 마라!⏎지금 공격받으면 어쩔 테냐!
M12831.2	거기!⏎걸음이 멈췄다!
M12832.0	조금만 더 참아라⏎힘내서 나아가라!
M12832.1	힘든 건 알고 있다⏎걸음을 멈추지 마라!
M12832.2	여기까지 왔다⏎조금만 더 힘내라!
M12833.0	병사들의 사기가 낮다⏎슬슬 한계가 가깝군
M12833.1	병사들 걸음이 멎어 가는가⏎이대로는 곤란하다
M12833.2	병사들의 피로가 쌓였다⏎오래 버티지는 못하겠군
M12834.0	병사들이 겁을⏎먹고 있다……
M12834.1	사기가 오르지 않는군……
M12834.2	슬슬 물러날 때인가……
M12836.0	나아가라, 나아가라!⏎적은 가까이 있어요!
M12836.1	꾸물거리면⏎두고 갈 거예요!
M12836.2	벌써부터 팔이 근질거려요
M12837.0	언제 교전해도 되도록⏎전투 준비를 게을리하지 마라!
M12841.0	언제 교전해도 되도록⏎전투 준비를 게을리하지 마라!
M12837.1	적이 숨어 있을지도 몰라요⏎마음을 다잡고 나아가세요!
M12837.2	싸움은 이미 시작됐어요⏎경계를 게을리하지 마라!
M12838.0	발이 묶이면 승리는 없습니다⏎신속히 행군하세요
M12838.1	적이 가까이 있을지 모릅니다⏎경계를 늦춰선 안 됩니다
M12838.2	언제 적이 와도 대응하도록⏎태세를 갖춰야 해요
M12839.0	기습당하지 않게⏎신중히 나아가야 해요……
M12839.1	쓸데없는 싸움은⏎피하고 싶네요……
M12839.2	적은 어떻게⏎움직일까요……
M12840.0	나아가라, 나아가라!⏎적은 가까이 있다!
M12840.1	꾸물거리면⏎두고 가겠다!
M12840.2	벌써부터 팔이 근질거리는군
M12841.1	적이 숨어 있을지도 모른다⏎마음을 다잡고 나아가라!
M12841.2	싸움은 이미 시작됐다⏎경계를 게을리하지 마라!
M12842.0	발이 묶이면 승리는 없다⏎신속히 행군하라
M12842.1	적이 가까이 있을지 모른다⏎경계를 늦춰선 안 된다
M12842.2	언제 적이 와도 대응하도록⏎태세를 갖춰야겠군
M12843.0	기습당하지 않게⏎신중히 나아가야 한다……
M12843.1	쓸데없는 싸움은⏎피하고 싶군……
M12843.2	적은 어떻게⏎움직일 것인가……
M12845.0	목적지는 아직인가
M12849.0	목적지는 아직인가
M12845.1	발을 멈추지 마라!
M12849.1	발을 멈추지 마라!
M12845.2	대열을 지켜 나아가라!
M12846.0	주위 경계를 게을리하지 마라!
M12850.0	주위 경계를 게을리하지 마라!
M12846.1	도착할 때까지⏎긴장을 늦추지 말고 가세요!
M12846.2	이 기세로 전진해요!
M12847.0	지금까지는⏎진군이 순조롭네요
M12847.1	이대로 가면⏎예정대로 도착하겠지요
M12847.2	대열을 유지하며 나아가세요
M12848.0	목적지는 아직일까요……
M12848.1	{V:3DAC}까지 무사히⏎도착하면 좋겠는데요……
M12848.2	신중하게 나아가세요
M12849.2	대열을 흩뜨리지 말고 가라!
M12850.1	도착할 때까지⏎긴장을 늦추지 말고 가라!
M12850.2	이 기세로 전진한다!
M12851.0	지금까지는⏎진군이 순조롭군
M12851.1	이대로 가면⏎예정대로 도착하겠지
M12851.2	대열을 유지하며 나아가라
M12852.0	목적지는 아직인가……
M12852.1	{V:3DAC}까지 무사히⏎도착하면 좋겠는데……
M12852.2	신중하게 나아가라
M12854.0	조금만 더 하면 완성이에요
M12854.1	꾸물거리지 마라!⏎어서어서 날라라!
M12854.2	끝까지⏎대충 하면 안 돼요!
M12855.0	조금만 더 하면 완성이에요⏎끝까지 확실하게요!
M12855.1	완성이 기다려지네요
M12855.2	완성될 때까지⏎방심하면 안 돼요!
M12856.0	끝까지 방심하지 않도록⏎진척 상황을 보고하세요
M12856.1	순조롭게 진행되고 있네요⏎이대로 작업을 계속합시다
M12856.2	제법 {V:3D3F}다운⏎모습이 되었네요
M12857.0	이 정도면⏎완성도 머지않겠지요……
M12857.1	아무래도⏎완성될 것 같네요……
M12857.2	휴……⏎조금만 더 하면 완성이네요
M12858.0	조금만 더 하면 완성이다
M12858.1	꾸물거리지 마라⏎어서어서 날라라!
M12858.2	끝까지⏎대충 하지 마라!
M12859.0	조금만 더 하면 완성이다⏎끝까지 확실히 해라!
M12859.1	완성이 기다려지는군
M12859.2	완성될 때까지⏎방심하지 마라!
M12860.0	끝까지 방심하지 않도록⏎진척 상황을 보고하라
M12860.1	순조롭게 진행되고 있군⏎이대로 작업을 계속하라
M12860.2	제법 {V:3D3F}다운⏎모습이 되었군
M12861.0	이 정도면⏎완성도 머지않겠지……
M12861.1	아무래도⏎완성될 것 같군……
M12861.2	휴……⏎조금만 더 하면 완성이다
M12863.0	손이 놀고 있잖아요!⏎어서 움직여요!
M12863.1	거기, 뭐 하는 거예요!⏎게으름 피우지 마라!
M12863.2	어서 건설해요!
M12864.0	순조로워요⏎이대로 힘내요!
M12864.1	아군의 전략이 걸린 일이에요⏎대충 해선 안 돼요!
M12864.2	무슨 일이 있으면⏎바로 알려요
M12865.0	결함이 생기지 않도록⏎차분히 작업하세요
M12865.1	토대를 단단히⏎다지는 거예요
M12865.2	서두를 필요는 없습니다⏎착실히 작업을 진행하세요
M12866.0	적의 방해가⏎없어야 할 텐데요……
M12866.1	무사히 완성되면⏎좋겠는데요……
M12867.0	손이 놀고 있잖나!⏎어서 일해라!
M12867.1	거기, 뭐 하는 거냐!⏎게으름 피우지 마라!
M12867.2	어서 건설하라!
M12868.0	순조롭군⏎이대로 힘내 주게!
M12868.1	아군의 전략이 걸린 일이다⏎대충 해선 안 된다!
M12868.2	무슨 일이 있으면⏎바로 알려라
M12869.0	결함이 생기지 않도록⏎차분히 작업하라
M12869.1	토대를 단단히⏎다지도록 해라
M12869.2	서두를 필요는 없다⏎착실히 작업을 진행하라
M12870.0	적의 방해가⏎없으면 좋겠는데……
M12870.1	무사히 완성되면⏎좋으련만……
M12872.0	겨우 중계점이네요⏎얼른 가요!
M12872.1	중계점이라고 해서⏎쉬면 안 돼요
M12873.0	중계점에 도착했어요⏎이 기세로 갑시다!
M12873.1	겨우 중계점까지 왔어요⏎서두르세요!
M12874.0	중계점까지 왔습니다⏎방심하지 말고 갑시다
M12874.1	중계점에 도착했군요⏎경계하며 앞길을 서두릅시다
M12875.0	이제야 중계점이네요⏎이대로 신중하게 가요
M12875.1	겨우 중계점……⏎아직 갈 길이 멀겠네요
M12876.0	여기가 중계점이다⏎개의치 말고 앞으로 나아가라!
M12876.1	아직 중계점일 뿐이다⏎뒤처지는 놈은 용서치 않겠다!
M12877.0	중계점에 도착했다⏎앞을 똑바로 보고 나아가라!
M12877.1	중계점이다⏎꾸물거릴 여유는 없다!
M12878.0	중계점까지 왔군⏎조금만 더 가면 된다, 힘내라
M12878.1	중계점에 도착했군⏎앞으로도 잘 부탁한다
M12879.0	이제야 중계점인가……⏎고생이 계속되는군
M12879.1	겨우 중계점에 닿았다⏎무사히 도착할 수 있을까
M12880.0	{V:1FC7}군이 멸망한다
M14401.0	{V:1FC7}군이 멸망한다
M12881.0	{V:01DA} 사망
M12883.0	조조를 쓰러뜨린다
M12891.0	조조를 쓰러뜨린다
M12884.0	완・낙양・허창을 지배한다
M12885.0	장수나 가후가 사망한다
M12887.0	원상군을 멸망시킨다
M12888.0	남피・평원・업・북해 지배
M12889.0	원담군을 멸망시킨다
M12892.0	강릉・시상・여강을 지배한다
M12893.0	손권이나 주유가 사망한다
M12895.0	맹획군을 멸하지 않고 맹획을 7번 잡는다
M12896.0	유선이나 제갈량이 사망한다
M12898.0	손호를 쓰러뜨린다
M12899.0	오군을 멸망시킨다
M12900.0	사마염이나 두예가 사망한다
M12902.0	동탁을 쓰러뜨린다
M12903.0	진류・낙양・장안을 지배한다
M12905.0	다른 모든 세력을 멸망시킨다
M12917.0	다른 모든 세력을 멸망시킨다
M12906.0	조운이 사망한다
M12907.0	조운이나 유비가 사망한다
M12909.0	양의를 쓰러뜨린다
M12910.0	한중・자동을 지배한다
M12911.0	위연이나 마대가 사망한다
M12913.0	사마의, 사마사, 사마소를 벤다
M12914.0	위군을 멸망시킨다
M12915.0	제갈탄이 사망한다
M12918.0	돌아가신 백부님의 병사에⏎{V:03DA}, {V:04DA} 등 잔당도⏎합류했네⏎우리가 깃발을 올릴 날도⏎그리 멀지 않았을 걸세⏎안 그런가, {V:02DA}?
M12919.0	{V:02DA} 님,⏎그리 한가한 말씀을 하실⏎때가 아닙니다⏎계획이 {V:03DA}에게 누설되어⏎도읍에서는 토벌군이⏎움직이기 시작한 듯합니다
M12920.0	뭐라!?⏎벌써 들켰단 말인가!⏎거병은 미뤄야 하나……
M12921.0	염려 마십시오⏎제 모략을 쓰면⏎병사 수는 문제가 아닙니다⏎{V:02DA} 님께도 원군을⏎요청해 두었습니다⏎내년에는 도착할 예정입니다⏎{V:3DAB}에서 {V:3EAB}까지는⏎지척이니 잘 싸우면 천하에⏎호령할 수 있을 것입니다
M12922.0	오, 오오, 그런가⏎좋아, 알겠네!⏎자네만 믿겠네, {V:02DA}!
M12923.0	{V:02DA} 이놈!⏎장남인 나를 제쳐 두고⏎후계자를 자처하다니!
M12924.0	교활한 {V:02DA}, {V:03DA}⏎등이 한몫 거들었을 것입니다⏎⏎이제 와서는 {V:1FC7}군 쪽이⏎우세함을 인정해야 합니다
M12925.0	이대로 {V:02DA}의 방자함을⏎용납할 수는 없다⏎어찌하면 좋겠는가?
M12926.0	남쪽에는 {V:02DA}의⏎잔류 {V:1FC7}군이 있습니다⏎⏎{V:1FC7}군과 {V:20C7}군을⏎싸우게 해 양쪽이 약해진 틈을⏎노리는 것이 좋은 방책입니다⏎하책이긴 합니다만 {V:1FC7}군과⏎손잡고 {V:20C7}군을 치는 것도⏎한 방법일 것입니다
M12927.0	{V:02DA}의 손을 잡으란 말인가!?⏎……뭐, {V:03DA} 녀석을 용서하느니⏎나을지도 모르겠지만……⏎당분간은 {V:03DA}, {V:04DA}끼리⏎싸우게 하고 우린 힘을 기른다⏎{V:03DA} 이놈, 두고 보자!
M12928.0	{V:02DA}에게서 온 사자라고?⏎뭐라고 전해 왔느냐?
M12929.0	후계자를 자처하려거든,⏎우선 {V:1FC7}군을 격퇴해 보라⏎⏎그러지 못하겠다면⏎당장 후계자 자리를 넘기라고⏎전해 왔습니다
M12930.0	{V:02DA} 이놈,⏎이 판국에 후계 문제로⏎불만을 늘어놓을 때인가!⏎장남이면서도⏎후계자로 지명받지 못한⏎제 그릇이 작은 줄 모르는가!
M12931.0	{V:1FC7}군에는 고집불통인⏎{V:02DA}, {V:03DA} 등이 있으니⏎말로 해서는 듣지 않을 겁니다⏎그보다 지금은⏎군비를 갖춰야 합니다⏎⏎{V:1FC7}군뿐 아니라⏎{V:20C7}군도 다가오고 있습니다
M12932.0	{V:02DA} 놈, 자기는 물러앉고⏎{V:03DA}에게 지휘를 맡기다니⏎우릴 얕보는 짓을 하는구나!⏎{V:04DA}도 {V:03DA}도 모두 쳐서⏎아버님의 원수를 갚고 말겠다!
M12933.0	오오, {V:02DD}⏎기다리고 있었네⏎이야기는 들었겠지
M12934.0	{V:02DA}에 맞서 싸울지 말지⏎의견이 갈렸다고 들었습니다
M12935.0	돌아가신 형님께서 바깥일은⏎{V:02DD}에게 물으라 유언하셨네⏎자네 생각을 듣고 싶네
M12936.0	{V:02DA}, 조정을 농단하는 역적⏎항복이라니 당치도 않습니다⏎⏎대군이라 해도 {V:1FC7}군은⏎항복한 병사가 섞인 오합지졸⏎우리는 3대를 섬긴 정예입니다⏎게다가 {V:02DA}의 주력은 육군⏎강에서 싸우면 우리 오 수군이⏎만에 하나도 질 리가 없습니다
M12937.0	좋다, 알았다! 수군 지휘는⏎{V:02DB}{V:02DD}에게 맡긴다⏎즉시 전쟁 준비를 하라⏎앞으로 항복을 입에 담는 자는⏎베어 버리겠다!⏎알겠느냐!
M12938.0	폐하,⏎{V:1FC7} 평정 준비가 됐습니다⏎⏎서촉의 {V:02DA} 장군을 필두로⏎각 방면 장수가 수군을 이끌고⏎폐하의 명령을 기다립니다
M12939.0	좋다, 전군에 전하라⏎우리 손으로 삼국 시대를⏎끝낼 때가 왔다⏎모두들,⏎그 사명을 명심하고⏎분전하라고 말이다
M12940.0	예엣!
M13185.0	예엣!
M12941.0	짐은 예전에 {V:02DA} 공이 올린⏎{V:1FC7} 토벌책을 쓰기도 전에⏎{V:02DA} 공을 떠나보내고 말았다⏎그의 공에 보답하기 위해서도⏎이 싸움, 절대로 질 수 없다!
M12942.0	{V:02DA} 님,⏎군의 배치를 마쳤습니다⏎맹주로서 명을 내려 주십시오
M12943.0	음, 알겠네.⏎⏎⏎제후들이여, 잘 들으시오!⏎나 {V:01DA}, 연합군의 맹주를⏎맡게 되었소⏎본래 나와 제후들 사이에⏎신분의 차이는 없으나⏎앞으로는 내 명을 따라야 하오⏎지금부터 도읍으로 쳐들어가⏎무도한 {V:02DA} 놈을 치겠소!⏎제후의 분전을 간절히 바라오!
M12944.0	흥, 잘난 척하기는⏎뭐, 좋다⏎지금은 떠들게 내버려 두지
M12945.0	한실의 부흥을 위해서다⏎목숨을 바쳐 힘써야 하리라
M12946.0	우리 백마진의⏎위력을 보여 줄 호기다⏎꼴사나운 짓은 할 수 없지
M12948.0	적장 {V:02DA}, 그자는⏎만부부당의 맹장이라 들었다⏎{V:03DA}, 방심하지 마라
M12949.0	어떤가?⏎{V:02DA} 님 소식은 알아냈나?
M12950.0	아뇨, 아쉽게도……⏎남쪽으로 가는 길목마다⏎부하들을 보내 뒀는데요……
M12951.0	{V:02DA}의 진을 떠나신⏎{V:03DA} 님은 꼭 여길 지나신다⏎계속해서 찾도록 하라
M12952.0	{V:02DA} 쪽이 우리 동태를⏎눈치채고 경계하는 듯합니다⏎이대로는……
M12953.0	{V:02DA} 님을 모시기 전에⏎거점을 빼앗길 수는 없다⏎우리도 싸움에 대비해야겠군
M12954.0	이 시나리오는 챌린지 시나리오지만⏎다른 챌린지 시나리오와 달리⏎고유한 승리 조건이 없습니다⏎일반 시나리오와 마찬가지로⏎아군 외의 세력타도를 목표로 하십시오⏎⏎이 시나리오는⏎완전히 가공의 시나리오로⏎수명 개념이 없습니다⏎세대를 뛰어넘은 무장들이⏎한자리에 모이는 「영웅 집결」 시나리오⏎드디어 막을 올립니다
M12955.0	{V:02DA},⏎{V:03DA}의 대군이 왔네⏎어찌하면 좋겠는가?
M12956.0	정면으로 부딪치는 것은⏎좋은 계책이 아닙니다⏎모략으로 대처해야 합니다⏎영웅호색이라고들 합니다⏎백모님이신 {V:02DA} 님이라면⏎{V:03DA}의 환심을 살 겁니다⏎부디 {V:02DA} 님의 협력을⏎얻고 싶습니다만⏎허락해 주시겠습니까?
M12957.0	{V:01DA} 님을 {V:02DA}께 보냅니까?
M12958.0	……알겠네⏎당장 백모님께 부탁해⏎보도록 하지
M12959.0	{V:01DA} 측은 항복을 가장해⏎{V:02DA}에게 사자를 보내고⏎{V:03DA}의 저택으로 초대했다
M12960.0	{V:02DA} 님,⏎기다리고 있었습니다
M12961.0	호궁 솜씨가 빼어난 이가⏎있다고 들었는데⏎그대였던가
M12962.0	{V:02DA}에게 반한 {V:01DA},⏎{V:02DA}의 집에 파묻혀 지냈다
M12963.0	{V:02DA} 놈, 완전히 방심했다⏎지금이 공격할 호기다!⏎모두들, 쳐라!!
M12964.0	{V:02DA} 이놈!⏎날 속였구나!
M12965.0	{V:01DA}대는 많은 장병을 잃고⏎{V:1FC7}군의 지휘가 흔들렸습니다
M12966.0	백모님을⏎제물로 삼을 수는 없다!⏎이렇게 된 이상 반격할 뿐이다
M12967.0	{V:01DA} 측은 {V:02DA}의⏎계책을 쓰지 않았습니다
M12968.0	{V:02DA},⏎{V:03DA} 놈이 왔네⏎놈을 벨 계책은 없겠나?
M12969.0	{V:3DAB}의 수비는 동문이⏎허술하여 {V:02DA}의 표적이⏎되는 것은 틀림없습니다⏎동문에 덫을 놓아⏎{V:02DA} 쪽을 유인하는 것이⏎상책일 것입니다
M12970.0	{V:01DA}의 계책을 씁니까?
M12971.0	좋아, 알겠네⏎이번에야말로 {V:02DA} 놈을⏎치고 천하를 이 손에 쥐겠다!
M12972.0	머지않아 쳐들어온 {V:01DA}대는⏎{V:02DA}의 예견대로⏎동문을 일제히 공격해 왔다
M12973.0	기다리고 있었다, {V:02DA}!⏎이거나 먹어라!
M12974.0	아차, 덫인가!⏎물러나라, 물러나라!
M12975.0	으음, 그리 잘될 리가 있겠나?⏎다른 계책을 생각해 보세
M12976.0	{V:02DA} 님,⏎{V:1FC7}군이 철수하고 있습니다
M12977.0	뭐라고!?⏎꾸물거릴 수 없다⏎즉시 추격한다!
M12978.0	기다려 주십시오⏎{C:25b}조조{C:32b}가 지금 물러날 이유가⏎보이지 않습니다⏎우리를 유인하는 계략입니다⏎섣불리 움직여선 안 됩니다
M12979.0	{V:01DA}의 계책에 따라⏎추격을 중지하겠습니까?
M12980.0	아, 알았네⏎하지만 정말 이게⏎{V:02DA}의 책략인가……
M12981.0	그 후 척후의 보고로⏎{V:1FC7}군이 {V:20C7}군의⏎추격을 기다렸음이 드러났다
M12982.0	역시 대단하군, {V:02DA}!⏎자네는 무엇이든⏎훤히 내다보는구먼
