M12347.0	겁먹지 마라!⏎원군을 데려왔어요!
M12387.0	여기서 포로를 만나다니⏎하늘의 인도로군요
M12387.1	감옥 문이 열려 있네요⏎마침 잘됐어요
M12387.2	이런 곳에 감옥 열쇠가⏎감사히 받아 가지요
M12388.0	저건 포로 감옥……⏎몰래 열어 버립시다
M12388.1	경계가 허술하네요……⏎지금이면 포로를 구하겠어요
M12388.2	감옥 문이 열려 있네요⏎좋아, 지금 이 틈에……
M12389.0	저게 감옥이다!⏎포로를 구해 내라!
M12389.2	지금이다!⏎포로를 해방하라!
M12390.0	이건 감옥 열쇠로군!⏎예상 밖의 전과다
M12390.1	포로가 있는 곳은 저기인가⏎구출해야만 한다!
M12390.2	저건 포로 감옥이로군⏎좋아, 지금 이 틈에!
M12391.0	여기서 포로를 만나다니⏎하늘의 인도로군
M12391.1	감옥 문이 열려 있는 듯하다⏎마침 잘됐군
M12391.2	이런 곳에 감옥 열쇠가⏎고맙게 쓰도록 하지
M12392.0	저건 포로 감옥……⏎몰래 열어 버리자
M12392.1	경계가 허술하다……⏎지금이면 포로를 구하겠군
M12392.2	감옥 문이 열려 있군⏎좋아, 지금 이 틈에……
M12394.0	잠입 성공이에요!⏎얼른 시작해요!
M12394.1	준비됐죠!?⏎금을 빼내라!
M12394.2	군자금은 가져가겠어요!⏎자, 빼내라!
M12395.0	군자금은 저기군요⏎챙기면 바로 철수예요!
M12395.1	경계가 허술하네요⏎이 틈에 빼내라!
M12395.2	적이 방심하고 있네요⏎자, 움직여라!
M12396.0	잠입은 성공이군요⏎자, 금고로 향하세요
M12396.1	들킨 기색은 없네요⏎자, 탈취 작전을 개시하세요
M12396.2	오래 머물 필요 없어요⏎금을 빼앗아 바로 달아납시다
M12397.0	어떻게든 들어오긴 했네요⏎자, 이 틈에……
M12397.1	오래 머물 필요 없어요⏎금고를 찾읍시다
M12397.2	감시의 눈은 빠져나왔네요⏎어디부터 시작할까요……
M12398.0	잠입 성공이다!⏎얼른 시작하자!
M12398.1	준비됐겠지!?⏎금을 빼내라!
M12398.2	군자금은 가져가겠다!⏎자, 빼내라!
M12399.0	군자금은 저기로군⏎챙기면 바로 철수한다!
M12399.1	경계가 허술하군⏎이 틈에 빼내라!
M12399.2	적이 방심하고 있다⏎자, 움직여라!
M12400.0	잠입은 성공이다⏎자, 금고로 향하자
M12400.1	들킨 기색은 없군⏎자, 탈취 작전을 개시하라
M12400.2	오래 머물 필요 없다⏎금을 빼앗아 바로 달아나자
M12401.0	어떻게든 들어오긴 했군⏎자, 이 틈에……
M12401.1	오래 머물 필요 없다⏎금고를 찾도록 하자
M12401.2	감시의 눈은 빠져나왔군⏎자, 어디부터 시작할까……
M12403.0	도둑놈들!⏎놓치지 않을 거야!
M12403.1	왔구나, {V:1FC7}군!⏎살아서 돌아갈 생각 마라!
M12403.2	잘 왔어!⏎자, 해치워 버려라!
M12404.0	뻔뻔한 도둑놈들 같으니⏎부끄러운 줄 알아라!
M12408.0	뻔뻔한 도둑놈들 같으니⏎부끄러운 줄 알아라!
M12404.1	도적놈들, 어디로 가려고?⏎놓치지 않을 거야!
M12404.2	요란하게도 설쳐 댔구나⏎각오해!
M12405.0	여기까지 탈취하러 오다니⏎살림이 꽤나 궁한가 보네요
M12405.1	기다렸어요, {V:1FC7}군⏎저를 얕본 대가를 치르세요
M12405.2	여기까지 도둑질하러 오다니⏎분수를 모르는 도적이군요
M12406.0	역시 왔군요……⏎경계한 보람이 있었어요
M12406.1	이런 곳까지 오다니⏎무모한 짓을……
M12410.1	이런 곳까지 오다니⏎무모한 짓을……
M12406.2	어리석은 짓을……⏎대비가 없을 줄 아셨나요?
M12407.0	도둑놈들!⏎놓치지 않겠다!
M12407.1	왔구나, {V:1FC7}군!⏎살아서 돌아갈 생각 마라!
M12407.2	잘 왔다!⏎자, 모두 붙잡아라!
M12408.1	도적놈들, 어디로 가려느냐⏎놓치지 않겠다!
M12408.2	요란하게도 설쳐 댔구나⏎각오해라!
M12409.0	흥, 여기까지 탈취하러 오다니⏎살림이 꽤나 궁한가 보군
M12409.1	기다리고 있었다, {V:1FC7}군⏎나를 얕본 대가를 치러라
M12409.2	여기까지 도둑질하러 오다니⏎분수 모르는 도적놈들 같으니
M12410.0	역시 왔군……⏎경계한 보람이 있었다
M12410.2	어리석은 짓을……⏎대비가 없을 줄 알았느냐?
M12412.0	오호호호!⏎그 정도 계책이 먹힐 줄 알고!
M12412.1	우습게 보지 마!⏎벌써 다 꿰뚫어 봤어!
M12412.2	얕보지 마!⏎못 알아챌 줄 알았어!?
M12413.0	이럴 줄 알고⏎처음부터 경계하고 있었지!
M12413.1	이 정도 책략에는⏎진작 대비가 되어 있다고!
M12413.2	역시 이 수로 나왔구나⏎하지만 우리 부대엔 소용없어!
M12414.0	우후후, 그 정도 계책을⏎간파하지 못할 줄 아셨나요?
M12414.1	제 눈이 닿는 한⏎계략 따윈 통하지 않아요
M12414.2	안됐지만 다 꿰뚫어 봤어요⏎다시 준비해서 오시지요
M12415.0	아무도 동요하지 않네요……⏎준비한 보람이 있었어요
M12415.1	병사에게 대처법을 일러뒀어요⏎어설픈 계략은 안 통해요
M12415.2	병사들이 지시를 지키네요……⏎이러면 계략도 막아 내겠지요
M12416.0	하하하!⏎그깟 계책이 먹힐 성싶으냐!
M12416.1	우습게 보지 마라!⏎벌써 다 꿰뚫어 봤다!
M12416.2	얕보지 마라!⏎못 알아챌 줄 알았느냐!
M12417.0	이럴 줄 알고⏎처음부터 경계하고 있었다!
M12417.1	이 정도 책략에는⏎진작 대비해 두었다!
M12417.2	역시 이 수로 나왔구나⏎하지만 우리 부대엔 소용없다!
M12418.0	흥, 그 정도 계책을⏎간파하지 못할 줄 알았느냐?
M12418.1	내 눈이 닿는 한⏎계략 따윈 통하지 않는다
M12418.2	안됐지만 다 꿰뚫어 봤다⏎준비해서 다시 오너라
M12419.0	아무도 동요하지 않는다……⏎준비한 보람이 있었군
M12419.1	병사에게 대처법을 일러뒀다⏎어설픈 계략은 안 통한다
M12419.2	병사들이 지시를 지킨다……⏎이러면 계략도 막아 내겠지
M12421.0	오호호호!⏎{V:4761} 따위 통할 줄 알고!
M12421.1	우습게 보지 마!⏎{V:4761} 따윈 훤히 보여!
M12421.2	얕보지 마라!⏎못 보고 지나칠 줄 알았느냐!
M12425.2	얕보지 마라!⏎못 보고 지나칠 줄 알았느냐!
M12422.0	우리 부대에 {V:4761} 병법을⏎쓰다니 가소롭구나!
M12426.0	우리 부대에 {V:4761} 병법을⏎쓰다니 가소롭구나!
M12422.1	무슨 수작을 부리든⏎금방 간파해 주겠어!
M12422.2	{V:4761} 따위는⏎벌써 다 꿰뚫어 봤어!
M12423.0	역시 수작을 부려 뒀군요⏎그렇게 나올 줄 알았어요
M12423.1	이 지형에서 이 수라니⏎속이 뻔히 보이는군요
M12423.2	수작이 영 엉성하군요⏎다시 준비해서 오세요
M12424.0	이럴 줄 알고⏎경계한 보람이 있었어요
M12424.1	신중하게 나아가면⏎{V:4761} 따위엔 안 걸려요
M12424.2	충분히 주의하면⏎어떤 {V:4761}도 간파하지요
M12425.0	하하하!⏎{V:4761} 따위 통할 성싶으냐!
M12425.1	우습게 보지 마라!⏎{V:4761} 따윈 훤히 보인다!
M12426.1	무슨 수작을 부리든⏎금방 간파해 주마!
M12426.2	{V:4761} 따위는⏎벌써 다 꿰뚫어 봤다!
M12427.0	역시 수작을 부려 뒀군⏎그렇게 나올 줄 알았다
M12427.1	이 지형에서 이 수라니⏎속이 뻔히 보이는군
M12427.2	수작이 영 엉성하군⏎준비해서 다시 오너라
M12428.0	이럴 줄 알고⏎경계한 보람이 있었군
M12428.1	신중하게 나아가면⏎{V:4761} 따위엔 안 걸린다
M12428.2	충분히 주의하면⏎어떤 {V:4761}도 간파하겠지
M12430.0	소용없어, 소용없어!⏎지금의 우리에겐 안 통해!
M12430.1	오호호호!⏎지금 우리에게 계략은 헛수고!
M12430.2	지금의 우리에게 그런⏎잔꾀는 안 통해!
M12431.0	지금의 우리에게 그따위⏎잔꾀가 통할 성싶으냐!
M12435.0	지금의 우리에게 그따위⏎잔꾀가 통할 성싶으냐!
M12431.1	단결한 지금의 우리에게⏎계략을 걸다니 어리석구나!
M12435.1	단결한 지금의 우리에게⏎계략을 걸다니 어리석구나!
M12431.2	그 정도 계략으로는⏎우리의 결속은 무너지지 않아!
M12432.0	우후후, 어리석은 계략이군요⏎지금의 우리에겐 소용없어요
M12432.1	병사들의 결속이 굳은 지금⏎계략 걱정은 필요 없겠네요
M12432.2	우후후, 그 정도 계책으로⏎결속이 무너질 리 있나요
M12433.0	아무도 동요하지 않네요……⏎결속의 힘이네요
M12433.1	사기가 고양된 우리 부대에⏎어설픈 계략은 안 통해요
M12433.2	병사들이 고양되어 있어요……⏎이러면 계략도 막아 내겠지요
M12434.0	안 통한다, 안 통해!⏎지금의 우리에겐 안 통한다!
M12434.1	하하하!⏎지금 우리에게 계략은 헛수고!
M12434.2	지금의 우리에게 그런⏎잔꾀는 안 통한다!
M12435.2	그 정도 계략으로는⏎우리 결속은 무너지지 않는다!
M12436.0	흥, 어리석은 계략이군⏎지금 우리에겐 통하지 않는다
M12436.1	병사들의 결속이 굳은 지금⏎계략 걱정은 필요 없다
M12436.2	흥, 그 정도 계책으로⏎결속이 무너질 성싶으냐
M12437.0	아무도 동요하지 않는다……⏎결속의 힘이로군
M12437.1	사기가 고양된 우리 부대에⏎어설픈 계략은 안 통한다
M12437.2	병사들이 고양되어 있다……⏎이러면 계략도 막아 내겠지
M12439.0	적병들에게 고한다!⏎항복하려면 지금이야!
M12439.1	지금 항복하면 살려 줄게!⏎나중엔 용서 없어!
M12439.2	적병들아, 목숨이 아깝겠지!⏎항복하려면 어서 해라!
M12440.0	우리 군에 항복하면⏎땅이든 식량이든 마음대로야!
M12440.1	우리 군은 용사를 귀히 여긴다⏎솜씨 좋은 자는 투항하라!
M12444.1	우리 군은 용사를 귀히 여긴다⏎솜씨 좋은 자는 투항하라!
M12440.2	병사들이여, 잘 생각해 봐요⏎정의로운 군대는 어느 쪽인지!
M12441.0	장수만 치는 게 싸움은 아니죠⏎병사들을 꾀어 이반시키세요
M12441.1	적진에도 불만 품은 자가 있죠⏎이익을 일깨워 항복시킵시다
M12441.2	여기선 한번 제 말솜씨로⏎적병을 투항시켜 봅시다
M12442.0	적 병사들도 힘들 거예요……⏎이득을 알리면 투항하겠지요
M12442.1	병사 마음은 병사가 알죠……⏎병사를 시켜 투항을 권합시다
M12442.2	향수를 불러일으켜 적병을⏎아군으로 끌어들입시다……
M12443.0	적병들에게 고한다!⏎항복하려면 지금이다!
M12443.1	지금 항복하면 살려 준다!⏎나중엔 용서 없다!
M12443.2	적병들아, 목숨이 아깝겠지!⏎항복하려면 어서 해라!
M12444.0	우리 군에 항복하면⏎땅이든 식량이든 마음대로다!
M12444.2	병사들이여, 잘 생각해 보라⏎정의의 군대는 어느 쪽인가!
M12445.0	장수만 치는 게 싸움은 아니다⏎병사들을 꾀어 이반시켜라
M12445.1	적진에도 불만 품은 자가 있다⏎이익을 일깨워 항복시켜라
M12445.2	여기선 한번 내 말솜씨로⏎적병을 투항시켜 보자
M12446.0	적 병사들도 힘들 테지……⏎이득을 알려 항복시켜 볼까
M12446.1	병사 마음은 병사가 아는 법⏎투항을 권하게 해 볼까……
M12446.2	향수를 불러일으켜 적병을⏎아군으로 끌어들일까……
M12448.0	그런 잔꾀,⏎안 통해!
M12448.1	헛소리 마라!⏎잔말 말고 덤벼라!
M12452.1	헛소리 마라!⏎잔말 말고 덤벼라!
M12448.2	어이가 없네!⏎그 수에 넘어갈 줄 알고!
M12449.0	우리 부대의 용사에게⏎거짓말은 안 통해!
M12449.1	그런 감언에 넘어갈 자가⏎우리 부대에 있을 성싶으냐!
M12453.1	그런 감언에 넘어갈 자가⏎우리 부대에 있을 성싶으냐!
M12449.2	그 정도로 우리 부대의 결속을⏎깨려 하다니 가소롭구나!
M12453.2	그 정도로 우리 부대의 결속을⏎깨려 하다니 가소롭구나!
M12450.0	우후후, 그런 감언에 넘어갈⏎병사는 없어요
M12450.1	적병의 마음을 흔들기 전에⏎자기 군의 병사나 돌보시지요
M12450.2	안됐네요⏎평소 행실이 나쁜 탓이에요
M12451.0	병사들이 동요하지 않네요……⏎다행이에요
M12643.0	병사들이 동요하지 않네요……⏎다행이에요
M12451.1	병사를 동요시킬 셈이군요……⏎그렇게는 안 될 거예요
M12451.2	역시 모략으로 나왔군요……⏎그 수에는 안 넘어가요
M12643.2	역시 모략으로 나왔군요……⏎그 수에는 안 넘어가요
M12452.0	그런 잔꾀,⏎통할 성싶으냐!
M12644.0	그런 잔꾀,⏎통할 성싶으냐!
M12671.0	그런 잔꾀,⏎통할 성싶으냐!
M12452.2	어이가 없군!⏎그 수에 넘어갈 성싶으냐!
M12453.0	우리 부대의 용사에게⏎거짓말은 안 통한다!
M12454.0	흥, 그런 감언에 넘어갈⏎병사는 우리 군에 없다
M12454.1	적병의 마음을 흔들기 전에⏎자기 군의 병사나 돌보거라
M12454.2	안됐군⏎평소 행실이 나쁜 탓이다
M12455.0	병사들이 동요하지 않는다……⏎다행이군
M12647.0	병사들이 동요하지 않는다……⏎다행이군
M12455.1	병사를 동요시킬 셈인가……⏎그렇게는 안 된다
M12455.2	역시 모략으로 나왔군……⏎그 수에는 안 넘어간다
M12647.2	역시 모략으로 나왔군……⏎그 수에는 안 넘어간다
M12457.0	에잇, 도망치지 마라!⏎도망치는 자는 벤다!
M12457.1	배신자는 베어 버릴 거야!⏎당장 죽고 싶어!?
M12457.2	너희들, 어디 가!⏎배신은 용서 못 해!
M12458.0	가는 자는 붙잡지 않아요⏎남은 병력으로 끝까지 싸워요!
M12458.1	아직 승부가 끝난⏎게 아니에요!
M12650.1	아직 승부가 끝난⏎게 아니에요!
M12677.1	아직 승부가 끝난⏎게 아니에요!
M12458.2	이렇게 된 이상 조금이라도⏎이탈을 막아요!
M12459.0	이리 된 이상 한 명이라도 더⏎마음을 돌리게 할 수밖에요
M12459.1	아직 망설이는 병사만이라도⏎붙잡아 둡시다
M12459.2	이렇게 된 이상 병력 이탈을⏎최소한으로 막읍시다
M12460.0	병사들이 도망치고 있어요……⏎어떻게든 해야 해요……
M12460.1	다, 당했어요……⏎하지만 이 정도라면……
M12652.2	다, 당했어요……⏎하지만 이 정도라면……
M12460.2	병사들이 흩어져 가요……⏎빨리 막아야 해요……
M12461.0	에잇, 도망치지 마라!⏎도망치는 놈은 벤다!
M12461.1	배신자는 베어 버리겠다!⏎당장 죽고 싶으냐!
M12461.2	너희들, 어디 가느냐!⏎배신은 용서 못 한다!
M12462.0	가는 자는 붙잡지 않는다⏎남은 병력으로 끝까지 싸운다!
M12462.1	아직 승부가 끝난⏎게 아니다!
M12654.1	아직 승부가 끝난⏎게 아니다!
M12681.1	아직 승부가 끝난⏎게 아니다!
M12462.2	이렇게 된 이상 조금이라도⏎이탈을 막아라!
M12463.0	이리 된 이상 한 명이라도 더⏎마음을 돌리게 할 수밖에
M12463.1	아직 망설이는 병사만이라도⏎붙잡아 두어라
M12463.2	이렇게 된 이상 병력 이탈을⏎최소한으로 막을 뿐이다
M12464.0	병사들이 도망치고 있다……⏎어떻게든 해야 한다……
M12464.1	다, 당했다……⏎하지만 이 정도라면……
M12656.2	다, 당했다……⏎하지만 이 정도라면……
M12464.2	병사들이 흩어져 간다……⏎빨리 막아야 한다……
M12466.0	{C:25b}방원{C:32b}진에 {C:25b}심공{C:32b}이라니⏎가소롭기 짝이 없구나!
M12470.0	{C:25b}방원{C:32b}진에 {C:25b}심공{C:32b}이라니⏎가소롭기 짝이 없구나!
M12466.1	그런 거짓말로는⏎{C:25b}방원{C:32b}진은 무너지지 않아!
M12466.2	오호호호!⏎말로는 이 진을 깨지 못해!
M12467.0	{C:25b}방원{C:32b}진을 펼친 우리 부대에⏎{C:25b}심공{C:32b}이라니 어리석구나!
M12471.0	{C:25b}방원{C:32b}진을 펼친 우리 부대에⏎{C:25b}심공{C:32b}이라니 어리석구나!
M12467.1	이 진형을 펼쳐 두면⏎진을 흐트러뜨릴 자는 없어!
M12467.2	{C:25b}방원{C:32b}진을 펼친 우리 부대의⏎단결은 흔들리지 않아!
M12468.0	{C:25b}방원{C:32b}진을 펼친 우리 부대에⏎{C:25b}심공{C:32b}이라니 어리석은 짓을
M12472.0	{C:25b}방원{C:32b}진을 펼친 우리 부대에⏎{C:25b}심공{C:32b}이라니 어리석은 짓을
M12468.1	적은 모르는 모양이군요⏎{C:25b}방원{C:32b}진의 결속력을
M12468.2	{C:25b}방원{C:32b}진을 펼친 우리 부대가⏎말 따위로 흔들릴 리 있나요
M12469.0	{C:25b}방원{C:32b}진을 펼치고 있으니⏎웬만한 계략은 막을 수 있겠죠
M12469.1	이탈자는 없군요……⏎이 진을 고른 보람이 있었어요
M12469.2	아무도 동요하지 않네요……⏎{C:25b}방원{C:32b}진의 위력이에요
M12470.1	그런 거짓말로는⏎{C:25b}방원{C:32b}진은 무너지지 않는다!
M12470.2	하하하!⏎말로는 이 진을 깨지 못한다!
M12471.1	이 진형을 펼쳐 두면⏎진을 흐트러뜨릴 자는 없다!
M12471.2	{C:25b}방원{C:32b}진을 펼친 우리 부대의⏎단결은 흔들리지 않는다!
M12472.1	적은 모르는 모양이군⏎{C:25b}방원{C:32b}진의 결속력을
M12472.2	{C:25b}방원{C:32b}진을 펼친 우리 부대가⏎말 따위로 흔들릴 성싶으냐
M12473.0	{C:25b}방원{C:32b}진을 펼치고 있으니⏎웬만한 계략은 막을 수 있겠지
M12473.1	이탈자는 없군……⏎이 진형을 고른 보람이 있었다
M12473.2	아무도 동요하지 않는군……⏎{C:25b}방원{C:32b}진의 위력이다
M12475.0	부상자를 데려와요⏎내가 치료해 줄게요
M12475.1	좋아, 다 됐어요!⏎이 약을 병사들에게 먹여요!
M12475.2	슬슬 의술을⏎선보일 때네요
M12476.0	어디 볼까요⏎부상병을 살펴봅시다
M12476.1	약 조제가 끝났어요⏎부상병에게 나눠 주세요
M12476.2	준비가 다 됐어요⏎{V:4761} 병법을 시작합시다
M12477.0	부상자를 데려와라⏎내가 치료해 주마
M12477.1	좋아, 다 됐다⏎이 약을 병사들에게 먹여라!
M12477.2	슬슬 의술을⏎선보일 때로군
M12478.0	어디 보자⏎부상병을 돌봐 주마
M12478.1	약 조제가 끝났다⏎부상병에게 나눠 줘라
M12478.2	준비가 다 됐다⏎{V:4761} 병법을 시작하자
M12479.0	오오!⏎상처가 낫고 있어!
M12479.1	아픔이 가시고 있어!⏎역시 {V:02DA} 님이야!!
M12479.2	이거 대단한데!⏎상처가 싹 나았어!
M12479.3	{V:02DA} 님,⏎상처가 말끔히 나았습니다!
M12481.0	{V:4761}의 무서움,⏎뼈저리게 느껴라!
M12485.0	{V:4761}의 무서움,⏎뼈저리게 느껴라!
M12481.1	받아라!⏎이게 바로 {V:4761}!
M12502.1	받아라!⏎이게 바로 {V:4761}!
M12481.2	간다!⏎{V:4761}의 공포를 맛봐라!
M12482.1	이제 내 {V:4761}의 진수를⏎보여 주겠어!
M12482.2	이 {V:01DA}의 {V:4761} 앞에⏎한껏 두려워하라!
M12486.2	이 {V:01DA}의 {V:4761} 앞에⏎한껏 두려워하라!
M12483.0	제가 익힌 {V:4761}의 위력,⏎저승에서 두고두고 얘기하세요
M12483.1	아무리 용맹한 병사라도⏎이 공포는 견디지 못할 거예요
M12483.2	최대한 으스스하게⏎{V:4761} 도사를 연기해 볼까요
M12484.0	좋아요, 지금이라면 적도⏎{V:4761}에 걸리겠지요
M12505.0	좋아요, 지금이라면 적도⏎{V:4761}에 걸리겠지요
M12484.1	이 날씨, 이 기온……⏎{V:4761}에 절호의 기회예요
M12484.2	어디 한번 {V:4761} 병법을⏎시험해 봅시다
M12485.1	받아라!⏎이게 바로 {V:4761}!
M12506.1	받아라!⏎이게 바로 {V:4761}!
M12485.2	간다!⏎{V:4761}의 공포를 맛봐라!
M12486.1	이제 내 {V:4761}의 진수를⏎보여 주마!
M12487.0	내가 익힌 {V:4761}의 위력,⏎저승에서 두고두고 얘기하거라
M12487.1	아무리 용맹한 병사라도⏎{V:4761}의 공포는 못 견디리라
