M06031.0	주
M08048.1	히, 히이익
M06038.2	우윽
M08044.2	우윽
M06039.0	잘 싸웠다⏎후회는 없다
M08045.0	잘 싸웠다⏎후회는 없다
M06039.1	내 무운도 여기까지인가⏎허나 후회는 없다
M08045.1	내 무운도 여기까지인가⏎허나 후회는 없다
M06039.2	저승에서 기다리고 있겠다
M08045.2	저승에서 기다리고 있겠다
M06039.3	이 몸이 썩어 없어져도⏎혼은 사라지지 않는다!⏎똑똑히 기억해 두어라
M06040.0	이것으로 포로가 되는 치욕은⏎겪지 않아도 되겠구나……
M08046.0	이것으로 포로가 되는 치욕은⏎겪지 않아도 되겠구나……
M06040.1	이 {V:01DA}의 최후를⏎똑똑히 보아라
M08046.1	이 {V:01DA}의 최후를⏎똑똑히 보아라
M06040.2	이 또한 무인의 숙명이다
M08046.2	이 또한 무인의 숙명이다
M06041.0	지금껏 흘려 온⏎피의 양에 비하면⏎하찮은 것이다……
M08047.0	지금껏 흘려 온⏎피의 양에 비하면⏎하찮은 것이다……
M06041.1	하늘이 나를 버렸는가……
M08047.1	하늘이 나를 버렸는가……
M06042.2	크악
M08048.2	크악
M06044.0	부모 자식 사이라 해도⏎지금은 적과 아군⏎항복할 수는 없어요
M06044.1	어미에게⏎불충한 자가 되라고⏎말하는 건가요
M06044.2	그대는⏎정에 끌려 주군을 배신하는⏎어미를 바라는 건가요
M06045.0	부모 자식 사이라 해도⏎지금은 적과 아군입니다⏎항복할 수는 없습니다
M06055.0	부모 자식 사이라 해도⏎지금은 적과 아군입니다⏎항복할 수는 없습니다
M06045.1	자식에게⏎불충한 자가 되라고⏎하시는 겁니까
M06055.1	자식에게⏎불충한 자가 되라고⏎하시는 겁니까
M06045.2	정에 끌려 주군을 배신하도록⏎키워 주신 기억은⏎없습니다
M06055.2	정에 끌려 주군을 배신하도록⏎키워 주신 기억은⏎없습니다
M06046.0	피를 나눈 사이라 해도⏎지금은 적과 아군⏎항복할 수는 없어요
M06046.1	우리 일족에서⏎불충한 자를 내라고⏎말하는 건가요
M06046.2	정에 끌려 주군을 배신할 자는⏎우리 일족에는 없어요
M06047.0	피를 나눈 사이라 해도⏎지금은 적과 아군입니다⏎항복할 수는 없습니다
M06057.0	피를 나눈 사이라 해도⏎지금은 적과 아군입니다⏎항복할 수는 없습니다
M06047.1	우리 일족에서⏎불충한 자를 내라고⏎하시는 겁니까
M06057.1	우리 일족에서⏎불충한 자를 내라고⏎하시는 겁니까
M06047.2	정에 끌려 주군을 배신할 자는⏎우리 일족에는 없습니다
M06057.2	정에 끌려 주군을 배신할 자는⏎우리 일족에는 없습니다
M06048.0	이 목숨은 주군의 것⏎무슨 말을 해도 소용없어요
M06048.1	헛소리를……⏎몇 번을 다시 태어나도⏎섬길 주군은 단 한 분뿐이에요
M06048.2	나도 참 얕보였군요⏎이 몸은 사로잡혔어도⏎마음은 주군과 함께 있어요
M06049.0	이 목숨은 주군의 것⏎무슨 말을 해도 소용없습니다
M06049.1	허튼 말씀 마십시오⏎몇 번을 다시 태어나도⏎섬길 주군은 단 한 분입니다
M06049.2	저를 얕보시면 곤란합니다⏎이 몸은 사로잡혔어도⏎마음은 주군과 함께 있습니다
M06050.0	충신불사이군이라 했어요⏎설득은 소용없어요
M06050.1	충의라는 말을⏎모르나 보군요⏎그런 얘기는 듣고 싶지 않아요
M06050.2	그만두세요⏎어떤 설득에도⏎결코 꺾이지 않아요
M06051.0	충신불사이군이라 했습니다⏎설득은 소용없습니다
M06051.1	충의라는 말을⏎모르십니까⏎그런 말은 듣고 싶지 않습니다
M06051.2	그만두십시오……⏎어떤 말로 설득하셔도⏎결코 꺾이지 않습니다
M06385.2	그만두십시오……⏎어떤 말로 설득하셔도⏎결코 꺾이지 않습니다
M06052.0	웃을 수 없는 농담이군요⏎주군을 바꿀 생각은 없어요
M06052.1	나도 꽤 얕보였군요⏎항복은 있을 수 없는 일이에요
M06052.2	쉽게 마음을 바꾸는 자를⏎믿을 수 있을까요
M06383.1	쉽게 마음을 바꾸는 자를⏎믿을 수 있을까요
M06053.0	웃지 못할 농담이시군요⏎주군을 바꿀 생각은 없습니다
M06053.1	저를 너무 얕보시는군요⏎항복은 있을 수 없는 일입니다
M06385.0	저를 너무 얕보시는군요⏎항복은 있을 수 없는 일입니다
M06053.2	쉽게 마음을 바꾸는 자를⏎믿으실 수 있겠습니까
M06385.1	쉽게 마음을 바꾸는 자를⏎믿으실 수 있겠습니까
M06054.0	부모 자식 사이라 해도⏎지금은 적과 아군⏎항복 따위는 할 수 없다
M06054.1	아비에게⏎불충한 자가 되라고⏎하는 것이냐
M06054.2	너는⏎정에 끌려 주군을 배신하는⏎아비를 바라느냐
M06056.0	피를 나눈 사이라 해도⏎지금은 적과 아군⏎항복 따위는 할 수 없다
M06056.1	우리 일족에서⏎불충한 자를 내라고⏎하는 것이냐
M06056.2	정에 끌려 주군을 배신할 자는⏎우리 일족에는 없다
M06058.0	이 목숨은 이미⏎주군께 바쳤다⏎무슨 말을 해도 소용없다
M06058.1	헛소리를……⏎몇 번을 다시 태어나도⏎섬길 주군은 한 분뿐이다
M06058.2	얕보지 마라!⏎이 몸은 사로잡혔어도⏎마음은 주군과 함께 있다
M06058.3	가소롭군……⏎목숨 아까워 주군을 바꾸다니⏎대장부가 할 짓이 아니다!
M06058.4	우롱하지 마라!⏎이 {V:01DA}, 나를⏎어디까지 얕볼 셈이냐!
M06059.0	충신불사이군이라 했다⏎설득은 소용없다
M06059.1	진정한 대장부는⏎두 주군을 섬기지 않는 법이다
M06059.2	충의라는 말을⏎모르나 보군⏎그런 얘기는 들을 생각 없다
M06059.3	그만두시오!⏎어떤 설득을 해 오든⏎결코 꺾이지 않소
M06059.4	네놈 따위가⏎이 {V:01DA}, 나를⏎부릴 수 있을 것 같으냐!
M06060.0	웃기지도 않는 농담이군⏎주군을 바꿀 생각은 없다
M06060.1	얕보면 곤란하지⏎항복은 있을 수 없는 일이다
M06384.0	얕보면 곤란하지⏎항복은 있을 수 없는 일이다
M06060.2	쉽게 마음을 바꾸는 자를⏎어찌 믿겠느냐
M06384.1	쉽게 마음을 바꾸는 자를⏎어찌 믿겠느냐
M06060.3	이 {V:01DA}도⏎얕보인 모양이군
M06384.2	이 {V:01DA}도⏎얕보인 모양이군
M06062.0	이 정도 그릇이었다니……⏎본색을 드러냈군요
M06062.1	나야말로 사양하겠어요⏎다음에 만날 때는⏎적이에요
M06062.2	이런 대접을 하고서⏎언제까지나 그 자리에서⏎버틸 수 있다고 생각 마세요
M06063.0	말도 안 돼!⏎내가 무슨 잘못을 했다고……
M06063.1	여기까지 올 수 있었던 건⏎우리가 애쓴 덕분이거늘⏎그것도 모르다니!
M06066.2	여기까지 올 수 있었던 건⏎우리가 애쓴 덕분이거늘⏎그것도 모르다니!
M06063.2	우리 목숨을⏎이리도 하찮게⏎여기고 있었다니……!
M06064.0	이런 짓을⏎계속하다가는⏎오래가지 못하겠군요……
M06064.1	이 정도 그릇이었다니……⏎지금까지의 충성은⏎헛수고가 됐군요……
M06064.2	내가 있을 곳은⏎여기가 아니었다는⏎뜻이겠지요……
M06065.0	결국 이 정도 그릇인가⏎본색을 드러냈군
M06065.1	나야말로 사양하겠다⏎다음에 만날 때는⏎적이다
M06065.2	이런 대접을 하고서⏎언제까지나 그 자리에서⏎버틸 수 있다고 생각 마라
M06066.0	말도 안 된다!⏎내게 무슨 잘못이⏎있었단 말이냐
M06066.1	이럴 수가!⏎실성이라도 하신 거요!
M06067.0	이런 짓을⏎계속하다가는⏎오래가지 못하리라……
M06067.1	이 정도 그릇이었다니……⏎지금까지의 충성은⏎무엇이었단 말인가……
M06067.2	내가 있을 곳은⏎여기가 아니었다는⏎말인가……
M06069.0	고맙소⏎이 은혜는 언젠가……
M06074.0	고맙소⏎이 은혜는 언젠가……
M06069.1	큰 빚을 졌군요⏎다음에는 전장이 아닌 곳에서⏎만나고 싶네요
M06069.2	서로 가는 길은 달라도⏎언젠가는 그대와⏎나란히 말을 몰고 싶군요
M06070.0	감사합니다⏎이 은혜는 잊지 않겠습니다
M06075.0	감사합니다⏎이 은혜는 잊지 않겠습니다
M06070.1	큰 빚을 지게 되었군요⏎다음에는 전장이 아닌 곳에서⏎뵙고 싶습니다
M06070.2	서로 가는 길은 다르지만⏎언젠가는 함께⏎나란히 말을 몰고 싶군요
M06071.0	{V:02DA} 님,⏎이번엔 신세를 지겠습니다⏎언젠가 또 뵙지요
M06071.1	감사드립니다
M06071.2	이번엔 제가 방심했습니다⏎다음엔 지지 않습니다
M06072.0	고맙소⏎하지만 싸움에 자비는 금물⏎명심해 두시오
M06072.1	호의에 감사드립니다⏎서로 다음에 만날 때까지⏎건강하기를 바랍니다
M06072.2	목이 베일 것이라⏎각오하고 있었습니다⏎감사드립니다
M06073.0	{V:02DA} 님이⏎폭군이 아니어서⏎다행이었습니다
M06073.1	……호의, 황송할 따름입니다
M06073.2	{V:02DA} 님의 위덕에⏎감복했습니다
M06079.2	{V:02DA} 님의 위덕에⏎감복했습니다
M06074.1	큰 빚을 졌군⏎다음엔 전장이 아닌 곳에서⏎만나고 싶네
M06074.2	서로 가는 길은 다르지만⏎언젠가 그대와⏎나란히 말을 몰고 싶군
M06075.1	큰 빚을 지게 되었습니다⏎다음에는 전장이 아닌 곳에서⏎뵙고 싶습니다
M06075.2	서로 가는 길은 다르지만⏎언젠가는 함께⏎나란히 말을 몰고 싶습니다
M06076.0	일단 고맙다는 말은 해 두지⏎그럼 간다
M06076.1	이번엔 방심했지만⏎다음엔 안 진다
M06077.0	{V:02DA} 공,⏎이번엔 신세를 지겠네⏎언젠가 또 보세
M06077.1	감사하오
M06077.2	이번엔 방심했을 뿐⏎다음엔 지지 않는다
M06078.0	고맙소⏎허나 싸움에 자비는 금물⏎명심해 두시오
M06078.1	호의에 감사하오⏎서로 다음에 만날 때까지⏎강건하기를 바라오
M06078.2	목이 베일 것이라⏎각오하고 있었소⏎감사하오
M06079.0	{V:02DA} 공이⏎폭군이 아니라서 살았군……
M06079.1	……호의, 황송하오
M06081.0	내가 배워 익힌 것⏎모두를 활용해서⏎힘이 되어 드리지요
M06081.1	맡도록 하지요⏎앞으로는 무엇이든⏎의논 상대가 되어 드리지요
M06081.2	나의 신묘한 계책으로⏎그대의 기대에⏎부응해 보이겠어요
M06082.0	내가 힘이 될 수 있다면⏎도와 드리지요
M06082.1	알겠어요⏎군사의 소임, 맡도록 하지요
M06082.2	그대의 기대에⏎부응하기 위해서라도⏎있는 힘껏 노력하지요
M06083.0	나의 전략과 전술⏎모두를 활용해서⏎힘이 되어 주겠네
M06083.1	맡도록 하지⏎앞으로는 무엇이든⏎의논해 주게
M06083.2	나의 신묘한 계책으로⏎이 처우에 보답하겠네
M06084.0	군사의 이름에 부끄럽지 않게⏎노력하겠네
M06084.1	알겠네⏎군사의 소임, 맡도록 하지
M06084.2	이 처우에⏎보답하기 위해서라도⏎있는 힘껏 노력하겠네
M06085.0	맡겨 주십시오⏎반드시 기대에 걸맞은 결과를⏎보여 드리겠습니다
M06085.1	나의 전략과 전술의 묘를⏎똑똑히 보여 드리겠습니다
M06085.2	이 {V:01DA},⏎목숨을 걸고⏎주군을 승리로 이끌겠습니다
M06086.0	군사의 소임⏎삼가 받들겠습니다
M06086.1	알겠습니다⏎이제부터는 무엇이든⏎상의해 주십시오
M06086.2	저의 지모를⏎모두 다하여⏎기대에 부응하겠습니다
M06087.0	재주 없는 몸이지만⏎기대에 부응하도록⏎전력을 다하겠습니다
M06087.1	제게 과분한 대임이지만⏎힘이 될 수 있도록⏎노력하겠습니다
M06087.2	알겠습니다⏎미력하나마 힘을 다하겠습니다
M06087.3	아군의 명예를 더럽히지 않게⏎사력을 다해⏎소임을 완수하겠습니다
M06089.0	그런 거라면⏎기꺼이 자리를 넘겨 주지요
M06089.1	나도 이의는 없어요
M06089.2	좋은 인선이에요⏎나도 추천하려고⏎생각하고 있었어요
M06090.0	{V:03DA} 님이라면⏎기꺼이 자리를 넘겨 주지요
M06090.1	{V:03DA} 님이 후임이라면⏎이의는 없어요
M06090.2	{V:03DA} 님이라면⏎훌륭히 군사의 소임을⏎다하겠지요
M06091.0	그런 일이라면⏎기꺼이 자리를 넘겨 주지
M06091.1	이런 인사라면⏎납득할 수밖에 없겠군
M06091.2	좋은 인선일세⏎이의는 없네
M06092.0	{V:03DA} 공이라면⏎기꺼이 자리를 넘겨 주지
M06092.1	{V:03DA} 공이 후임이라면⏎이의는 없네
M06092.2	{V:03DA} 공이라면⏎훌륭히 군사의 소임을⏎다할 걸세
M06093.0	그러한 일이라면⏎기꺼이 자리를 넘기겠습니다
M06093.1	이의는 없습니다
M06093.2	좋은 인선이라 생각합니다⏎이의는 없습니다
M06094.0	{V:03DA} 님이라면⏎기꺼이 자리를 넘기겠습니다
M06094.1	{V:03DA} 님이 후임이라면⏎이의는 없습니다
M06094.2	{V:03DA} 님이라면⏎훌륭히 군사의 소임을⏎다할 것입니다
M06096.0	이런 식으로⏎군사직에서 해임되다니……
M06097.0	이런 식으로⏎군사직에서 해임되다니……
M06098.0	이런 식으로⏎군사직에서 해임되다니……
M06096.1	주군의 명령에는⏎따를 수밖에 없겠지요……
M06096.2	이 {V:01DA}의 역량이⏎모자랐다는 건가요……
M06097.1	주군의 명령에는⏎따를 수밖에 없네만……
M06097.2	이 {V:01DA}의 역량이⏎모자라다는 말인가……
M06098.1	주군의 명령에는⏎따를 수밖에 없습니다……
M06098.2	이 {V:01DA}의 역량이⏎부족했던 모양입니다……
M06099.0	{V:01DA} 님이 {V:1FC7}의⏎군사로 임명되었습니다
M06101.0	기대에 부응할 수 있도록⏎목숨을 걸고 힘쓰지요
M06101.1	이거 고맙군요⏎소중히⏎쓰도록 하지요
M06101.2	앞으로도⏎이 {V:01DA}의 활약을⏎기대해 주세요
M06102.0	기대에 부응할 수 있도록⏎목숨을 걸고 힘쓸 생각이네
M06102.1	이거 고맙군⏎소중히 쓰도록 하지
M06102.2	앞으로도⏎이 {V:01DA}의 활약을⏎기대해 주게
M06103.0	기대에 부응할 수 있도록⏎노력하지요
M06103.1	이를 계기로⏎더욱 정진하도록 하지요
M06103.2	앞으로 일하는 데도⏎힘이 나겠군요
M06104.0	기대에 부응하도록⏎노력해 보겠네
M06104.1	이를 계기로⏎더욱 정진하도록 하지
M06104.2	앞으로 일하는 데도⏎힘이 나겠군
M06105.0	기대에 부응하도록⏎목숨을 걸고 힘쓰겠습니다
M06105.1	이 은혜에 보답하고자⏎견마지로를 다하겠습니다
M06105.2	황송할 따름입니다⏎바라지도 못한 영광입니다
M06105.3	앞으로도⏎이 {V:01DA}의 활약을⏎기대해 주십시오
M06243.3	앞으로도⏎이 {V:01DA}의 활약을⏎기대해 주십시오
M06106.0	기대에 부응하도록⏎노력하겠습니다
M06106.1	이를 계기로⏎더욱 정진하겠습니다
M06106.2	황송할 따름입니다
M06243.0	황송할 따름입니다
M06106.3	앞으로 일하는 데도⏎힘이 날 것 같습니다
M06106.4	이렇게까지 높이⏎평가해 주실 줄은⏎몰랐습니다
M06107.0	받은 만큼의 일은⏎확실히 해 주지
M06107.1	이거 고맙군!⏎소중히 쓰도록 하지
M06107.2	앞으로도⏎이 {V:01DA}의 활약을⏎기대해 달라고
M06109.0	해도 너무한 처사로군요⏎내게 무슨 잘못이⏎있었다는 건가요
M06109.1	이런 일을 계속하면⏎인심이 떠나고 말 거예요……
M06109.2	무슨⏎생각이 있는 걸까요⏎……아니, 하지만……
M06110.0	해도 너무한 처사로군⏎내게 무슨 잘못이⏎있었단 말인가
M06110.1	이런 일을 계속하면⏎인심이 떠나고 말 걸세……
M06110.2	무슨⏎생각이 있는 건가?⏎……아니, 하지만……
M06111.0	이런 처사를⏎당하게 될 줄이야……
M06112.0	이런 처사를⏎당하게 될 줄이야……
M06114.0	이런 처사를⏎당하게 될 줄이야……
M06115.0	이런 처사를⏎당하게 될 줄이야……
M06111.1	이것이 남의 위에 선 자가⏎할 짓이라니……
M06114.3	이것이 남의 위에 선 자가⏎할 짓이라니……
M06111.2	이렇게 된 이상⏎나에게도⏎생각이 있어요……
M06112.1	이것이 남의 위에 선 자가⏎할 짓인가……
M06115.3	이것이 남의 위에 선 자가⏎할 짓인가……
M06112.2	이렇게 된 이상⏎나에게도⏎생각이 있네……
M06113.0	해도 해도⏎너무하신 처사입니다⏎제게 무슨 잘못이라도……
M06113.1	지금까지의 충성에 대한⏎대접이 이것이라니……
M06113.2	이런 일을 하시면⏎인심이 떠날 텐데……
M06113.3	주군께도⏎생각이 있으시겠지⏎……아니, 하지만……
M06114.1	아무래도 이 {V:01DA}, 나를⏎멀리하시는 모양이군요……
M06114.2	이 정도 그릇이었다니……⏎섬길 만한 인물이⏎아닐지도 모르겠군요
M06114.4	나에게도⏎생각이 있다는 걸⏎보여 줘야 할지도 모르겠군요
M06115.1	아무래도 이 {V:01DA}, 나를⏎멀리하시는 모양이군……
M06115.2	이 정도 그릇이었다니……⏎섬길 만한 인물이⏎아닐지도 모르겠군
M06115.4	나에게도⏎생각이 있다는 걸⏎보여 줘야 할지도 모르겠군
M06116.0	{V:1FCE}군단의 위임내용을⏎변경했습니다
M06117.0	{V:1FCE}군단을 편성했습니다
M06119.0	……그 말이 옳아요⏎알겠어요⏎신하가 되지요
M06119.1	그대의 마음은⏎잘 알았어요⏎함께 나아가지요
M06119.2	어미로서⏎자식의 부탁을⏎어찌 거절하겠어요
M06120.0	……방금 그 말씀에⏎눈이 뜨였습니다⏎기꺼이 신하가 되겠습니다
M06122.0	……방금 그 말씀에⏎눈이 뜨였습니다⏎기꺼이 신하가 되겠습니다
M06129.0	……방금 그 말씀에⏎눈이 뜨였습니다⏎기꺼이 신하가 되겠습니다
M06131.0	……방금 그 말씀에⏎눈이 뜨였습니다⏎기꺼이 신하가 되겠습니다
M06120.1	효도를 잊고 있었습니다……⏎이제부터는 신하로서⏎효를 다하겠습니다
M06129.1	효도를 잊고 있었습니다……⏎이제부터는 신하로서⏎효를 다하겠습니다
M06120.2	여기서 거절함은⏎효의 도리에 어긋나겠지요⏎부디 신하로 삼아 주십시오
M06129.2	여기서 거절함은⏎효의 도리에 어긋나겠지요⏎부디 신하로 삼아 주십시오
M06121.0	……방금 그 말에⏎눈이 뜨였어요⏎신하가 되지요
M06121.1	그대의 마음은⏎잘 알았어요⏎기꺼이 섬기지요
M06121.2	서로 의지하고 돕는 것이⏎일족이었지요……⏎기꺼이 신하가 되지요
M06122.1	그 마음은⏎잘 알겠습니다⏎부디 신하로 삼아 주십시오
M06131.1	그 마음은⏎잘 알겠습니다⏎부디 신하로 삼아 주십시오
M06122.2	서로 의지하고 돕는 것이⏎일족이었지요……⏎기꺼이 섬기겠습니다
M06131.2	서로 의지하고 돕는 것이⏎일족이었지요……⏎기꺼이 섬기겠습니다
M06123.0	……구름과 안개가 걷히고⏎푸른 하늘을 본 심정입니다⏎부디 신하로 삼아 주십시오
M06123.1	진정한 맹주를⏎이곳에서 뵙게 되다니……⏎기꺼이 힘을 보태겠습니다
M06132.1	진정한 맹주를⏎이곳에서 뵙게 되다니……⏎기꺼이 힘을 보태겠습니다
M06123.2	{V:02DA} 님이야말로 제 주군⏎버리지만 않으신다면⏎견마지로를 다하겠습니다
M06132.2	{V:02DA} 님이야말로 제 주군⏎버리지만 않으신다면⏎견마지로를 다하겠습니다
M06124.0	어쩔 수 없군요⏎이제부터는 {V:02DA} 님의⏎장수가 되겠습니다
M06124.1	사로잡힌 몸으로는⏎어찌할 도리가 없습니다⏎여기서는 항복하기로 하지요
M06134.1	사로잡힌 몸으로는⏎어찌할 도리가 없습니다⏎여기서는 항복하기로 하지요
M06124.2	목이 베일 것이라⏎각오하고 있었습니다⏎항복이라면 바라던 바입니다
M06134.2	목이 베일 것이라⏎각오하고 있었습니다⏎항복이라면 바라던 바입니다
M06125.0	칼을 겨눈 자에게⏎과분한 말씀입니다⏎이제 마음을 고쳐먹겠습니다
M06135.0	칼을 겨눈 자에게⏎과분한 말씀입니다⏎이제 마음을 고쳐먹겠습니다
M06125.1	졌습니다⏎{V:02DA} 님께⏎도움이 되도록 힘쓰겠습니다
M06125.2	지금은 수치를 참아서라도⏎살아남아야겠어요
M06126.0	살아 있어야 천하를 위해⏎일할 수 있는 법⏎항복하겠습니다
M06136.0	살아 있어야 천하를 위해⏎일할 수 있는 법⏎항복하겠습니다
M06126.1	이것도 무슨 인연이겠지요⏎이 목숨, 맡기겠습니다
M06136.1	이것도 무슨 인연이겠지요⏎이 목숨, 맡기겠습니다
M06126.2	과분한 말씀입니다⏎제가 도움이 된다면⏎부디 써 주십시오
M06127.0	살아남을 수만 있다면⏎오명도 달게 받겠습니다
M06137.0	살아남을 수만 있다면⏎오명도 달게 받겠습니다
M06127.1	목숨이 있고서야 뭐든 하는 법⏎여기서는 순순히 따르겠습니다
M06137.1	목숨이 있고서야 뭐든 하는 법⏎여기서는 순순히 따르겠습니다
M06127.2	살려 주신다면⏎이 {V:01DA}, 기꺼이⏎협력하겠습니다
M06137.2	살려 주신다면⏎이 {V:01DA}, 기꺼이⏎협력하겠습니다
M06128.0	……네 말이 옳다⏎알았다⏎신하가 되마
M06128.1	너의 마음은⏎잘 알았다⏎함께 나아가자
M06128.2	아비로서⏎자식의 부탁을⏎어찌 거절하겠느냐
M06130.0	……그 말이 옳네⏎방금 그 말에 눈이 뜨였네⏎신하가 되겠네
M06130.1	그대의 마음은⏎잘 알았네⏎기꺼이 섬기겠네
M06130.2	서로 의지하고 돕는 것이⏎일족이었지……⏎기꺼이 신하가 되겠네
M06132.0	……구름과 안개가 걷히고⏎푸른 하늘을 본 심정입니다⏎부디 신하로 받아 주십시오
M06133.0	어쩔 수 없지⏎이제부터는 {V:1FC7}군의⏎장수가 되어 주마
M06133.1	사로잡힌 몸으로는⏎어쩔 도리가 없군⏎항복하기로 하지
M06134.0	어쩔 도리가 없군⏎이제부터는 {V:02DA} 님의⏎장수가 되겠습니다
M06135.1	졌소이다⏎{V:02DA} 님께⏎도움이 되도록 힘쓰리다
M06135.2	지금은 수치를 참아서라도⏎목숨을 부지해야⏎할 것이오
M06136.2	과분한 말씀이오⏎이 몸이 도움이 된다면⏎부디 써 주시오
M06138.0	{V:1FC7}군에서⏎작위 변경이 있었습니다
M06139.0	작위에 불만을 품은 무장이⏎있는 것 같습니다
M06140.0	{V:01DA}에게⏎{V:1543} 아이템을 주었습니다
M06141.0	{V:01DA}의 {V:1543}⏎아이템을 몰수했습니다
M06143.0	우리 부대가 직접 출진합니다!⏎모두들, 뒤처져서는⏎안 돼요!
M06143.1	모두들, 나를 따르세요!⏎공은 마음껏 세우세요!
M06143.2	지금부터 우리 부대는⏎싸움에 나섭니다⏎모두들, 뒷일은 부탁해요
M06144.0	이 {V:01E3},⏎반드시 전과를 올려⏎그대의 신뢰에 보답하지요
M06144.1	그럼, 출진하겠어요⏎반드시 좋은 소식을 전하지요
M06144.2	알겠어요⏎우리 부대의 활약을⏎기대해 주세요
M06145.0	우리 부대가 직접 출진한다!⏎모두들, 뒤처지지 마라!
M06145.1	모두들, 나를 따르라!⏎공은 마음껏 세워라!
M06145.2	지금부터 우리 부대는⏎싸움에 나선다!⏎모두들, 뒷일은 맡기겠다
M06146.0	이 {V:01E3},⏎반드시 전과를 올려⏎신뢰에 보답해 보이겠네
M06146.1	그럼, 출진하도록 하지⏎좋은 소식을 기다리게!
M06146.2	알겠네⏎우리 부대의 활약을⏎기대하게
M06147.0	이 {V:01E3},⏎반드시 전과를 올려⏎보여 드리겠습니다
M06147.1	그럼, 출진하겠습니다⏎좋은 소식을 기다려 주십시오
M06147.2	알겠습니다⏎전장에서 우리 부대의 활약을⏎기대해 주십시오
M06148.0	이 {V:01E3},⏎반드시 전과를 올려 보이겠다!
M06148.1	드디어 이 몸이 나설 차례군!⏎화끈하게 가 보자고!
M06148.2	헤헤헤⏎팔이 근질근질하다고!
M12947.0	헤헤헤⏎팔이 근질근질하다고!
M06150.0	{V:3DAB} 땅은 전략상 요지⏎이번에는 내가 직접⏎나서기로 하지요
M06150.1	{V:3DAB}의 지리를 알아 둘⏎좋은 기회예요⏎당장 가 보지요
M06150.2	앞으로의 전략을 위해서라도⏎한 번은 내 눈으로⏎{V:3DAB} 땅을 봐야겠어요
M06151.0	알겠어요⏎전략의 거점이 될 것을⏎세우고 오지요
M06151.1	그럼, 곧바로⏎작업에 들어가지요
M06151.2	알겠어요⏎그대의 기대에 부응하도록⏎전력으로 작업에 힘쓰지요
M06152.0	{V:3DAB} 땅은 전략상 요지다⏎이번에는 직접⏎나서기로 하지
M06152.1	{V:3DAB}의 지리를 알아 둘⏎좋은 기회다⏎당장 가 보자
M06152.2	앞으로의 전략을 위해서라도⏎한 번은 내 눈으로⏎{V:3DAB} 땅을 봐 둬야겠군
M06153.0	알겠네⏎전략의 거점이 될 것을⏎세우고 오겠네
M06153.1	그럼, 곧바로⏎작업에 들어가겠네
M06153.2	알겠네⏎기대에 부응하도록⏎전력으로 작업에 힘쓰겠네
M06154.0	맡겨 주십시오⏎전략의 거점이 될 것을⏎세우고 오겠습니다
M06154.1	그럼, 곧바로⏎작업에 들어가겠습니다⏎완성을 기다려 주십시오
