M09135.0	그런가… 아쉽구려
M10813.0	{V:1FC9}, {C:25b}유협{C:32b}의 선양을 받아⏎한조를 잇는 {C:25b}황제{C:32b}가 되었습니다
M10814.0	{V:1FC7}군과⏎다른 {C:25b}황제{C:32b} 세력의 우호에⏎금이 갔습니다
M10815.0	{V:1FC9}, 산양공 {C:25b}유협{C:32b}을 처단해⏎후환을 없앴습니다
M10816.0	{V:1FC7}군 중에⏎산양공 처단을 비난하는⏎무장이 있는 듯합니다
M10817.0	{V:1FC7}군과⏎유씨 세력의 우호에⏎금이 갔습니다
M10818.0	{V:D5}년 {V:D7}월,⏎{C:25b}제갈량{C:32b}이 「출사표」를 올려⏎{C:25b}촉{C:32b}의 전의가 고양되었습니다
M10819.0	{C:25b}제갈량{C:32b}이 {C:25b}촉{C:32b}군 무장 전원에게⏎병법을 전수했습니다
M10820.0	{V:D5}년 {V:D7}월, {V:1FC9}⏎{C:25b}관우{C:32b}・{C:25b}장비{C:32b}・{C:25b}조운{C:32b}・{C:25b}황충{C:32b}・{C:25b}마초{C:32b}를⏎「오호장군」에 임명했습니다
M10821.0	「오호장군」이 다시금⏎{V:1FC7}군에⏎충의를 맹세했습니다
M10822.0	「오호장군」이 각각⏎병법을 습득했습니다
M10823.0	{V:D5}년 {V:D7}월,⏎{C:25b}손책{C:32b}과 {C:25b}주유{C:32b}가 각각⏎{C:25b}대교{C:32b}, {C:25b}소교{C:32b}와 혼인했습니다
M10824.0	{C:25b}손책{C:32b}과 {C:25b}주유{C:32b}가 각각⏎병법을 습득했습니다
M10825.0	{C:25b}조조{C:32b}가 {C:25b}손책{C:32b}군에⏎적의를 품은 듯합니다
M10826.0	{V:D5}년 {V:D7}월,⏎{C:25b}유비{C:32b}와 {C:25b}손상향{C:32b}이 혼인하여⏎{C:25b}손상향{C:32b}이 {C:25b}유비{C:32b}군에 들었습니다
M10827.0	{C:25b}유비{C:32b}군과 {V:1FC7}군의⏎우호가 깊어졌습니다
M10828.0	{C:25b}유비{C:32b}와 {C:25b}손상향{C:32b}이 각각⏎병법을 습득했습니다
M10829.0	저도 {C:25b}조조{C:32b} 님을 섬기고 싶다고⏎생각하던 참이었습니다⏎⏎선물 삼아 {C:25b}원소{C:32b}군의 급소를⏎알려 드리겠습니다
M10830.0	{V:D5}년 {V:D7}월,⏎오소 급습 작전으로⏎{C:25b}관도{C:32b}대전에서 {C:25b}조조{C:32b}군이 이겼습니다
M10831.0	{C:25b}관도{C:32b} 부근의 {C:25b}원소{C:32b}군은⏎많은 장병을 잃었습니다
M10832.0	{C:25b}원소{C:32b}군의 많은 병량이⏎{C:25b}조조{C:32b}군에 의해 불타 버렸습니다
M10833.0	{C:25b}조조{C:32b}군이 천하에⏎위세를 떨쳤습니다
M10834.0	{C:25b}원소{C:32b}군의 위세가⏎땅에 떨어졌습니다
M10835.0	{C:25b}조조{C:32b}에게 거는⏎부하 무장들의 기대가⏎높아졌습니다
M10836.0	{V:D5}년 {V:D7}월,⏎화계로 {V:20C7}군이 괴멸하고⏎적벽대전에서 {V:1FC7}군이 이겼습니다
M10837.0	{C:25b}육구{C:32b} 부근의 {V:1FC7}군은⏎많은 장병을 잃었습니다
M10838.0	{V:20C7}군의 많은 병량이⏎{V:1FC7}군에 의해 불타 버렸습니다
M10839.0	{V:1FC7}군이 천하에⏎위세를 떨쳤습니다
M10840.0	{V:1FC7}군의 위세가⏎땅에 떨어졌습니다
M13208.0	{V:1FC7}군의 위세가⏎땅에 떨어졌습니다
M10841.0	{V:1FC7}군에 거는⏎부하 무장들의 기대가⏎높아졌습니다
M10842.0	{V:1FC9} 님,⏎천하에 {V:20C9} 타도의 기운이 넘칩니다⏎{V:20C9} 타도를 선언하시겠습니까?
M10843.0	{V:D5}년 {V:D7}월,⏎반{V:20C9} 연합이 결성되어⏎{V:1FC9}에게 맹주를 맡겼습니다
M10844.0	{V:1FC9}의 무도함을 바로잡아⏎우리의 의거를⏎천하에 알리리라!
M10845.0	{V:1FC7}군의⏎위세가 높아졌습니다
M10846.0	반{V:1FC9} 연합에⏎가맹한 세력끼리의 우호가⏎강화되었습니다
M10847.0	연합 가맹 세력과 {V:1FC7}군의⏎우호가 악화되었습니다
M10848.0	제후들의 이해가 엇갈려⏎반{V:1FC9} 연합은⏎결성되지 못했습니다
M10849.0	맹주 {V:1FC7}군의 멸망으로⏎반{V:20C9} 연합은 깨졌습니다
M10850.0	맹주 {V:1FC9}의 죽음으로⏎반{V:20C9} 연합은 깨졌습니다
M10851.0	반{V:1FC9} 연합은 가맹 세력⏎대부분이 멸망해 소멸했습니다
M10852.0	{V:D5}년 {V:D7}월,⏎{V:1FC9} 타도를 이루지 못한 채⏎반{V:1FC9} 연합은 해산했습니다
M10853.0	{V:1FC9}의 죽음으로⏎반{V:1FC9} 연합은 해산되었습니다
M10854.0	{V:1FC7}군이 멸망하여⏎반{V:1FC9} 연합은 해산되었습니다
M10855.0	{V:20C7}군의 활약으로⏎반{V:1FC9} 연합은 보기 좋게⏎{V:1FC7}군을 멸망시켰습니다
M10856.0	마침내 {V:1FC9}군을 꺾었다!⏎우리의 정의를⏎천하에 보여 주었다!
M10857.0	{V:1FC7}군을 쓰러뜨린⏎{V:20C7}군의 위세가⏎높아졌습니다
M10858.0	반{V:1FC9} 연합이⏎해산되었습니다
M10859.0	{V:20C7}군과⏎반{V:1FC9} 연합에 가맹한 세력 사이에⏎금이 갔습니다
M10860.0	맹주인 {V:20C7}군의 배신으로⏎반{V:1FC9} 연합은⏎해산할 수밖에 없었습니다
M10861.0	등을 돌린 {V:20C7}군이⏎반{V:1FC9} 연합에서⏎제명되었습니다
M10862.0	{V:20C7}군의 배신으로⏎반{V:1FC9} 연합은⏎해산할 수밖에 없었습니다
M10863.0	{V:1FC7}군의 신용이⏎땅에 떨어졌습니다
M10864.0	{V:1FC7}군 중에⏎배신 행위를 비난하는⏎무장이 있는 듯합니다
M10866.0	옛!⏎성심껏 소임을 다하겠습니다
M10866.1	옛!⏎내리신 관작에 부끄럽지 않게⏎활약해 보이겠습니다
M10866.2	옛!⏎황공할 따름입니다
M10867.0	삼가 받들겠습니다⏎이 {V:01DA}, 반드시⏎폐하의 기대에 부응하겠습니다
M10867.1	과분한 관작을 내려 주시니⏎분에 넘치는 영광입니다⏎⏎이 {V:01DA},⏎신명을 다 바쳐⏎폐하의 기대에 부응하겠습니다
M10867.2	과분한 관작을 내려 주시니⏎분에 넘치는 영광입니다⏎⏎폐하의 명예에 누가 되지 않게⏎성심성의껏⏎소임을 다해 보이겠습니다
M10867.3	명예로운 관작을 내려 주시니⏎이 {V:01DA},⏎감사한 마음 금할 길 없습니다⏎폐하의 기대에 부응하도록⏎앞으로도 힘을 다하겠습니다
M10868.0	{V:1FC7}군은 근위를⏎편성할 수 있게 되었습니다
M10870.0	{V:1FC7}군과의 요청이⏎해제될 수 있습니다⏎괜찮겠습니까?
M10871.0	가맹 세력과 적대 관계가 풀려⏎부대가 퇴각할 수 있습니다⏎괜찮겠습니까?
M10872.0	반{V:1FC9} 연합에 가맹한 세력끼리⏎서로를 공격 목표로 삼던 군단의 방침이⏎위임으로 바뀌었습니다
M10873.0	가맹 세력과 적대 관계가 풀려⏎위임방침이 바뀌는 시설이 있습니다⏎괜찮겠습니까?
M10874.0	튜토리얼을⏎종료하시겠습니까?
M10875.0	등용 설명을 다시 들으시겠습니까?
M10876.0	설명을 다시 들으시겠습니까?
M10877.0	튜토리얼에선 세이브할 수 없습니다
M10878.0	튜토리얼에선 로드할 수 없습니다
M10879.0	아쉽지만 튜토리얼에서는⏎여기까지만 할 수 있습니다⏎다시 한번 도전하십시오
M10880.0	안타깝게도⏎불운한 결과가 되고 말았습니다⏎다시 한번 도전하십시오
M10881.0	⏎　등용편⏎
M10882.0	어느 세력에도 속하지 않은 무장을 부하로⏎삼으려면 「등용」 명령을 실행합니다⏎그럼 등용을 실행하는 순서를 설명합니다⏎명령을 내리려면 먼저 시설을 선택합니다⏎{C:25b}신야{C:32b} 위에서 {U:F0BC}버튼을 누릅시다⏎그러면 명령이 표시됩니다⏎이어서 화면 아래 간이 도움말을 참고하여⏎「인재」→「등용」을 선택하십시오⏎등용 화면이 열립니다⏎등용 화면에서는 따로 정할 것이 없습니다⏎대상무장({C:25b}서서{C:32b})도 실행무장({C:25b}유비{C:32b})도⏎이미 선택되어 있습니다⏎이번에는 그대로 「결정」 버튼을 누릅니다⏎({U:F0BE}버튼을 눌러도 「결정」이 됩니다)⏎이것으로 「등용」 명령은 완료입니다⏎명령을 다 내렸으면 {U:F0BE}버튼을 눌러⏎시간을 진행시킵시다⏎실제 행동은 진행 페이즈에서 이루어집니다⏎{C:25b}서서{C:32b}는 {C:25b}유비{C:32b}의 권유에 응할까?⏎진행 페이즈에서 {C:25b}서서{C:32b}의 대사에 주목합시다⏎그럼 실제로 해 봅시다
M10883.0	맹장은 있으나 지자가 모자라⏎아아, 나를 구해 줄⏎현자는 없단 말인가?
M10884.0	♪천지 뒤집혀 한이 망하려네⏎현자 있어 명주께 가고자 하네⏎현자 찾는 명주 나를 모르네♪
M10885.0	저 풍모, 저 자신감⏎그리고 절묘한 타이밍……⏎혹시 이분이 복룡, 봉추?
M10886.0	공이야말로 내가 찾던 분이오⏎여러모로 가르쳐 주시오
M10887.0	제가 부하가 된 이상 안심!⏎내정, 전쟁, 모두 해결!⏎자, 조작법을 익혀 봅시다!
M10888.0	좀처럼 성공하지 않는군……⏎하지만 여러 번 찾아가면⏎{C:25b}서서{C:32b}도 마음을 열어 주겠지!
M10889.0	⏎　순찰편⏎
M10890.0	국력을 높이려면 먼저 인구를 늘리는 것부터⏎시작합니다. 도시의 평판(민심)을 높여서⏎백성을 불러들이는 것입니다⏎「순찰」은 민심을 높이는 중요한 명령입니다⏎민심이 오르면 계절마다(1, 4, 7, 10월)⏎인구가 늘고 도시의 수입도 오릅니다⏎이번에는 그 「순찰」을 실행합시다⏎명령 메뉴에서 「시설」→「순찰」을 선택해⏎순찰 화면을 엽니다⏎그럼 이번에는 실행무장을 선택해 봅시다⏎순찰 화면에서 「실행무장」 버튼을 눌러⏎유비군의 무장 목록을 엽니다⏎「순찰」은 5명까지 함께 실행할 수 있습니다⏎{U:F0BC}버튼으로 무장 4명을 모두(전원) 선택하고⏎「결정」 버튼을 누르면 선택이 완료됩니다⏎여기서도 {U:F0BE}버튼을 누르면⏎버튼 하나로 「결정」이 됩니다⏎편리한 기능이니 잘 활용하십시오⏎그럼 실제로 플레이해 봅시다⏎「순찰」을 실행해서⏎신야의 민심을 500 이상으로 올리십시오
M10891.0	군사, 시작부터 큰일이오⏎이 작고 가난한 {C:25b}신야{C:32b}에⏎만약 {C:25b}조조{C:32b}가 쳐들어온다면……
M10892.0	침착히 정확한 지시를 내린다⏎이것이야말로 명군의 자세!⏎우선 국력부터 높입시다!
M10893.0	민심이 쑥쑥 오르는구나!⏎백성도 늘어나리라!⏎나라도 번성하리라!
M10894.0	번성하고말고요!⏎백성이 늘어난 만큼 금과 병량⏎수입도 늘어날 것입니다!
M10895.0	순조로운 것 같군요⏎목표를 이룰 날도 가깝겠지요
M10896.0	모두들! 이 기세로 부탁하네!
M10897.0	무장 전원에게 실행시킵시다⏎정치가 낮~은 무장이라도⏎조금은 효과가 있으니까요
M10898.0	……왜 날 쳐다보는 거요?
M10899.0	작업이 진척되지 않는군요⏎목표가 머~얼어 보입니다……
M11181.0	작업이 진척되지 않는군요⏎목표가 머~얼어 보입니다……
M10900.0	⏎　개간・상업편⏎
M10901.0	도시의 금・병량 수입을 늘리는 명령이⏎「상업」과 「개간」입니다⏎⏎「상업」을 실행하면 도시의 수익이 올라⏎계절마다(1, 4, 7, 10월)의 금수입이⏎증가합니다⏎「개간」을 실행하면 도시의 수확이 올라⏎7월의 병량수입이 증가합니다⏎⏎순서는 둘 다 「순찰」과 같습니다⏎수익, 수확이 200이 될 때까지⏎반복해 봅시다
M10902.0	실행무장 목록은⏎「순찰」에서는 지력이 높은 순서,⏎「개간」에서는 정치가 높은 순서입니다⏎이는 「순찰」에서는 지력이 높은 무장이⏎「개간」에서는 정치가 높은 무장이⏎명령을 실행하면 효율이 오르기 때문입니다⏎「순찰」「개간」 등⏎「시설」 메뉴 안에 들어 있는 명령은⏎1턴에 1회만 명령할 수 있습니다⏎무장이 여러 명 있을 때는⏎각 무장에게 맞는 명령을 내려서⏎효율적인 내정(금 절약)에 힘씁시다⏎그럼 게임을 계속합니다⏎수확은 목표를 달성했으니⏎다음은 상업을 실행하십시오
M10903.0	실행무장 목록은⏎「순찰」에서는 지력이 높은 순서,⏎「상업」에서는 정치가 높은 순서입니다⏎이는 「순찰」에서는 지력이 높은 무장이⏎「상업」에서는 정치가 높은 무장이⏎명령을 실행하면 효율이 오르기 때문입니다⏎「순찰」「상업」 등⏎「시설」 메뉴 안에 들어 있는 명령은⏎1턴에 1회만 명령할 수 있습니다⏎무장이 여러 명 있을 때는⏎각 무장에게 맞는 명령을 내려서⏎효율적인 내정(금 절약)에 힘씁시다⏎그럼 게임을 계속합니다⏎수익은 목표를 달성했으니⏎다음은 개간을 실행합시다
M10904.0	흠흠!⏎길을 걸으면 꼭 인사를 받는군⏎나는 어쩜 이리 인기가 많을까
M10905.0	백성의 마음을 얻으셨군요!⏎그럼 다음 단계로 넘어갑시다⏎나라를 부유하게 합시다!
M10906.0	돈이 왕창 들어오겠군!
M10907.0	들어오고말고요!⏎우리 군의 기세는⏎더욱 드높아지겠지요!
M10908.0	역시 수확부터 올리셨군요⏎백성을 생각하시기 때문이지요
M10909.0	훗……⏎뭐, 그렇지
M10910.0	수익부터 올리십니까!⏎아하~, 쌀보다 돈이군요?!
M10911.0	돈~ 돈~!⏎가난은 이제 지긋지긋하다~!
M10912.0	전원이 함께 나서면⏎효율이 오를 것입니다
M10913.0	성과가 오르지 않는군요⏎목표까지는 아직 한참……
M10914.0	⏎　징병편⏎
M10915.0	병사를 모으려면 「징병」을 실행합니다⏎{C:25b}신야{C:32b} 위에서 {U:F0BC}버튼을 눌러⏎명령을 내립시다⏎선택한 무장에 따라⏎징병할 수 있는 병사 수가 정해집니다⏎실행무장이 많을수록 효과가 커집니다⏎또 병사 수만큼 금을 소비하고,⏎이후엔 병사 수만큼 병량을 소비합니다⏎「징병」은 비용이 드는 명령입니다⏎실행 후엔 {U:F0BE}버튼으로 턴을 진행합니다.⏎이번에는 병사가 18000이 될 때까지⏎「징병」을 실행합시다
M10916.0	유능한 군사, 기름진 땅……⏎우리 나라는 태평하구나!
M10917.0	아직도 병사가 모자랍니다……⏎제 절묘한 병법도⏎병사가 있어야 빛을 봅니다
M10918.0	병사가 속속 모여드는구나!⏎이 정도면 {C:25b}조조{C:32b}도 섣불리⏎손을 대지 못하겠지!
M10919.0	대지 못하고말고요!⏎손을 대는 순간 제 묘계가⏎작렬할 것입니다!
M10920.0	병사가 순조롭게 모이는군요
M10921.0	모두들, 내게 더 힘을 주게!
M10922.0	통솔이 높은 자에게 맡깁시다⏎징병 효율이 오를 것입니다⏎{C:25b}유비{C:32b} 님으로는 좀……
M10924.0	작업이 진척되지 않는군요⏎병사가 잘 모이지 않습니다
M10925.0	⏎　탐색편⏎
M10926.0	「탐색」에서는⏎아직 세상에 알려지지 않은 무장을 찾아⏎사관을 권합니다⏎순서는 지금까지와 거의 같습니다⏎「대상지역」은 {C:25b}신야{C:32b}를 선택합시다⏎많은 무장이 찾을수록 효과적입니다⏎진행 페이즈로 넘어가면⏎{C:25b}신야{C:32b} 탐색이 시작됩니다⏎때로는 금이나 아이템을 발견하기도…
M10927.0	사관 권유를 거절한 무장은⏎재야무장이 됩니다. 「등용」하면⏎다시 사관을 권할 수 있습니다
M10928.0	나라가 번영하고 병사도 늘고⏎국력은 빈틈없이 갖춰졌구나⏎이제 남은 건……
M10929.0	「사람」이지요⏎{C:25b}신야{C:32b}에 호걸이 있다고 합니다⏎탐색해 보시면 어떨까요?
M10930.0	{C:25b}신야{C:32b}는 더욱 든든해졌구나!⏎{C:25b}관우{C:32b}, {C:25b}장비{C:32b}, 그리고 {C:25b}조운{C:32b}……⏎{C:25b}조조{C:32b} 따위 하나도 안 무섭다!
M10931.0	……어, 저는요?
M10932.0	더 뛰어난 자가 있는 듯합니다⏎타세력에 빼앗기기 전에⏎어서 탐색을!
M10933.0	좀처럼 만나지 못하는군요⏎낮잠 중일까요? 아니면⏎친구와 낚시라도 갔을까요?
M10934.0	튜토리얼 내정편은 이것으로 끝입니다⏎게임 초반에는 지금 배운 것을 반복해서⏎안정된 수입을 확보합시다⏎게임에 익숙해지면⏎여기서 배운 것을 응용해⏎「나만의 나라 만들기」를 시도해 봅시다⏎예컨대 이번에는 내정을 전원이 실행했지만⏎드는 비용 대비 효율을 생각하면 능력이⏎높은 자만 실행하는 편이 나을지도 모릅니다⏎그럼 다음 장에서는⏎전쟁에 대비한 나라 만들기를 설명합니다⏎꼭 그쪽도 플레이해 보십시오
M10935.0	⏎　훈련편⏎
M10936.0	「훈련」 명령을 실행하면 사기가 오릅니다⏎사기가 높아지면 부대나 시설의 공격력이⏎오릅니다. 전투 전엔 꼭 해 둘 명령입니다⏎순서는 「징병」과 같습니다.⏎{C:25b}신야{C:32b} 위에서 {U:F0BC}버튼을 누르고,⏎「시설」에서 「훈련」을 선택합니다⏎실행무장이 많을수록 효과가 커집니다⏎이번에는 사기가 95가 될 때까지⏎「훈련」을 실행합시다
M10937.0	병사가 꽤나 모였구나!⏎이것도 내 인망 덕분인가……
M10938.0	전쟁은 숫자 싸움이 아닙니다⏎병사들의 기강이 서야⏎비로소 승리가 보입니다
M10939.0	이만큼 사기가 높으면⏎싸울 수 있겠구나!
M10940.0	싸울 수 있고말고요!⏎제 용병술의 예리함도⏎한층 더해지겠지요!
M10941.0	무력이 높은 자들에게⏎맡깁시다⏎저는 좀……
M10942.0	병사들은⏎꾸벅꾸벅 졸고 있습니다……
M10943.0	⏎　출진편⏎
M11046.0	⏎　출진편⏎
M10945.0	드디어 출진입니다. {C:25b}조조{C:32b}군의 {C:25b}여광{C:32b}대가⏎{C:25b}신야{C:32b} 북쪽에서 쳐들어오고 있습니다⏎{C:25b}여광{C:32b}대를 향해 출진해 봅시다⏎「군사」→「출진」으로 출진 화면을⏎엽니다. 먼저 실행무장을 5명 선택합시다⏎되도록 능력이 높은 무장을 추천합니다⏎진형과 포진은 바로 출진할 수 있도록⏎설정되어 있습니다⏎이번에는 이대로 두어도 됩니다⏎혹시 바꾸고 싶다면 출진 화면에서⏎{U:F0BA}{U:F0BB}버튼을 눌러 도움말을 열어 봅시다⏎그것을 보면서 도전해 보십시오
M10946.0	부대 편성이 끝나면 다음은 공격할⏎부대를 선택합니다. {C:25b}신야{C:32b}와 {C:25b}완{C:32b}의 중간에⏎있는 「{C:25b}여광{C:32b}대」를 선택하십시오⏎부대의 진로가 표시되니 확인합니다⏎다시 {C:25b}여광{C:32b}대를 선택하면 확정됩니다⏎마지막 방침은 그대로 둡시다⏎이것으로 출진 명령은 완료입니다⏎헷갈려도 화면 아래에 뜨는 간이 도움말을⏎보면서 진행하면 문제없습니다⏎명령을 마쳤으면⏎{U:F0BE}버튼을 눌러 시간을 진행시킵시다⏎진행 페이즈에서 드디어 전쟁이 시작됩니다
M10947.0	아아!⏎{C:25b}조조{C:32b}군이 쳐들어왔다!⏎어, 어떡하지!
M10948.0	아무 걱정 마십시오⏎천재 군사의 기념할 첫 출전…⏎{C:25b}여광{C:32b}대 따위 쓸어 버리리라!
M10949.0	사기가 불안하긴 하지만……⏎싸워 볼까
M10950.0	싸워 볼까요……⏎제 지략이 있으면⏎어떻게든 되겠지요
M10951.0	가라~! 쳐라~!
M10952.0	…… (두근두근)
M10953.0	주군!⏎느긋하게 계실 때가⏎아닙니다! 어서 출진을!
M10954.0	어쩔 수 없군요⏎농성하도록 합시다
M10955.0	해냈다!⏎우리 군의 승리다!
M10956.0	당연하지요!⏎제 지략 앞에서는⏎{C:25b}여광{C:32b} 따위 적수가 못 되지요!
M10957.0	적도 제법 하는군요
M10958.0	막상막하로군요
M10959.0	후후후⏎{C:25b}여광{C:32b} 녀석, 허둥대는구나!
M10960.0	승리까지 한 걸음입니다!⏎밀어붙여라~!
M10961.0	⏎　명령변경편⏎
M10962.0	출진한 부대는 「방침」에 따라 행동합니다⏎예컨대 사후명령을 「퇴각」으로 해 두면⏎명령 수행 후 출진했던 시설로 돌아옵니다⏎하지만 대장의 성격에 따라서는 그 방침을⏎따르지 않을 때도 있습니다. 예컨대 성격이⏎「저돌」인 무장은 퇴각을 싫어합니다⏎그럴 때나 예상하지 못한 사태가⏎일어났을 때는 신속히 부대 명령을⏎변경합시다⏎지금 {C:25b}신야{C:32b} 북쪽에서 {C:25b}조인{C:32b}대가, 동쪽에서⏎{C:25b}이전{C:32b}대가 {C:25b}신야{C:32b}로 진군 중입니다. 여기선⏎일단 {C:25b}신야{C:32b}로 돌아가 군비를 정비합시다⏎부대가 이미 퇴각 중일 때는⏎아무것도 할 필요가 없습니다⏎그대로 진행 페이즈로 넘어갑니다⏎퇴각 중이 아니라면 명령변경이 필요합니다⏎부대 위에서 {U:F0BC}버튼으로 「진군」을 골라⏎{C:25b}신야{C:32b}로 돌아가도록 명령을 내립시다
M10963.0	자, 돌아가서 축배나 들까!
M10964.0	주군과 천재 군사의 승리에⏎건배! 하시지요
M10965.0	자자⏎다 함께 축배를 드세!
M10966.0	기대되는군요
M10967.0	으음~,⏎부대가 길을 잃고 말았구나
M10968.0	길을 잃었군요……⏎{C:25b}신야{C:32b}는 어디인고?
M10969.0	⏎　농성편⏎
M11054.0	⏎　농성편⏎
M10970.0	보고드립니다!⏎{C:25b}조인{C:32b}이 이끄는 대군이⏎{C:25b}신야{C:32b}로 쳐들어오고 있습니다!
M10971.0	뭐, 뭐라?⏎아아, {C:25b}조조{C:32b}를 노하게 했구나!⏎군사, 어, 어떡하오?
M10972.0	아무 걱정 마십시오⏎이번에는 이 성에서⏎끝까지 지켜 내 볼까요
M10973.0	북쪽의 {C:25b}조인{C:32b}대와 동쪽의 {C:25b}이전{C:32b}대는 합쳐서⏎약 2만 명. 양군을 막기엔 병사가 부족하고⏎농성해도 {C:25b}이전{C:32b}대의 투석 공격은 위협입니다⏎여기선 병사를 둘로 나눠 반으로 {C:25b}관우{C:32b}대를⏎편성해 {C:25b}이전{C:32b}을 치러 출진. 남은 반은 성에⏎남겨 {C:25b}조인{C:32b}대와의 농성전에 대비합시다⏎진형 「투석」은 야전에 약합니다⏎통솔이 높은 {C:25b}관우{C:32b}가 이끄는 부대라면⏎절반의 병사로도 격파할 수 있을 것입니다⏎보병계 병법이 잘 나오는 진형 「어린」에⏎병법 「분신」을 가진 {C:25b}관우{C:32b}나 {C:25b}장비{C:32b}를⏎전열에 두면 강력합니다(간이 도움말 참조)
M10974.0	{C:25b}이전{C:32b}대를 격파하면⏎{C:25b}관우{C:32b}대 위에서 {U:F0BC}버튼을 눌러⏎「공격」을 선택해 {C:25b}조인{C:32b}대로 향하게 합니다⏎그대로 {C:25b}신야{C:32b}로 돌아가면 장기전이 되겠지요⏎그보다 죽을 각오로 {C:25b}조인{C:32b}대에 야전을 걸어⏎병법으로 역전을 노리는 것이 정답입니다⏎적절히 부대를 움직이면 웬만한 열세는⏎쉽게 뒤집을 수 있습니다. 단, {C:25b}신야{C:32b}에⏎병사 절반을 남기는 것을 꼭 잊지 마십시오
M10975.0	하하하!⏎이제 {C:25b}조조{C:32b} 따위⏎하나도 안 무섭다!
M10976.0	그렇지요!⏎다음엔 우리가 먼저⏎겁을 줘 볼까요
M10977.0	군사⏎전황은 어떻소?
M10978.0	안심하십시오⏎승리는 틀림없습니다
M10978.1	아무 걱정 없을 것입니다
M10978.2	안심하십시오⏎{C:25b}조인{C:32b}도⏎초조해하고 있겠지요
M10978.3	순조롭습니다
M10978.4	후후후⏎흐름은 우리 쪽에 있습니다
M10979.0	……⏎이거 위험하지 않소?……
M10980.0	아, 아닙니다……⏎아, 아직 모르는 일입니다
M10981.0	⏎　포로처우편⏎
M10982.0	부대를 괴멸시켰을 때⏎미처 달아나지 못한 무장을⏎포로로 잡을 수 있습니다⏎포로를 부하로 삼으려면 「등용」합니다⏎세력의 신망이 높거나 포로무장의 의리나⏎충성이 낮으면 성공하기 쉬워집니다⏎포로무장을 「처단」하면⏎소속 세력과의 우호가 떨어지지만⏎때로는 냉혹한 결단도 필요할 것입니다⏎「추방」을 선택하면 포로를 해방합니다⏎해방된 포로는 자기 세력으로 귀환합니다⏎그 세력과의 우호가 오릅니다⏎이번에는 원하는 처우 방법을 선택하십시오⏎포로무장이 {C:25b}신야{C:32b}에서 없어질 때까지⏎명령을 반복합시다
M10983.0	모두들!⏎잘해 주었네!
M10984.0	하하하, 그토록 칭찬하시면⏎쑥스럽군요!
M10985.0	자,⏎붙잡은 무장을 어찌할꼬?
M10986.0	그것은 주공의⏎뜻에 달렸습니다……
M10987.0	나를 따르지 않는 자는⏎이렇게 되는 거다!
M10988.0	어, 어진 군주라더니……?
M10989.0	모두 내 인덕 덕분이로군!
M10990.0	……그, 그렇지요
M10991.0	……노, 놓아줘도 괜찮다!⏎우리 진영에는 인재가⏎넘쳐나니 말이다!
