M07560.0	너희 대장은⏎포상을 독차지하고 있거든⏎몰랐니!?
M07593.2	그 말을 들으니⏎{V:02DA} 님 밑에서 싸우는 건⏎역시 고달프긴 해……
M07594.0	듣고 보니 그렇네⏎우리가 몸을 던지는 게⏎당연하다는 식이고……
M07594.1	하긴 {V:02DA} 님은⏎침착해 보이지만⏎실은 그냥 겁쟁이 아닐까……
M07594.2	그 말을 들으니⏎{V:02DA} 님은 우리를⏎어떻게 생각하는 걸까……
M07596.0	뭘 그리 동요하는 거예요!?⏎여기서 기가 꺾이면⏎고생이 물거품이 돼요!
M07596.1	큭,⏎그 정도 도발에⏎동요하다니……
M07597.1	큭,⏎그 정도 도발에⏎동요하다니……
M07596.2	병사들이 동요하고 있어요⏎이대로는 안 되겠네요……
M07597.0	뭘 그리 동요하느냐!?⏎여기서 기가 꺾이면⏎고생이 물거품이 된다!
M07597.2	병사들이 동요하고 있다⏎이대로는 안 되겠군……
M07599.0	일부 병사들에게⏎동요가 보이네요⏎서둘러 막아야겠어요!
M07599.1	이렇게 쉽게 걸려들다니……⏎하지만 동요한 건 일부예요⏎다시 추스를 수 있어요
M07599.2	병사들이 동요하고 있네요……⏎내 손으로 피해를⏎최소한으로 줄여야 해요!
M07600.0	일부 병사들에게⏎동요가 보이는군⏎서둘러 막도록 하자
M07600.1	이렇게 쉽게 걸려들다니……⏎허나 동요한 건 일부다⏎다시 추스를 수 있겠지
M07600.2	병사들이 동요하고 있다……⏎내 손으로 피해를⏎최소한으로 줄여야 한다!
M07602.0	왜 그래요?⏎함성을 지르세요!⏎우리 싸움은 이제부터예요!
M07602.1	이 {V:01DA}, 내가 몸소⏎선두에 서겠어요!⏎모두 따라오세요!
M07602.2	모두들,⏎용기를 내세요!⏎여기서부터가 고비예요!
M07603.0	자, 조금만 더 힘내요!⏎여기서 이기면⏎포상은 원하는 대로예요!
M07603.1	천명은 내게 있어요!⏎모두 나를 믿으세요!
M07603.2	모두들!⏎힘이 다하기엔 아직 일러요!⏎지금부터가 승부예요!
M07604.0	왜 그러느냐?⏎함성을 질러라!⏎우리 싸움은 이제부터다!
M07604.1	이 {V:01DA}, 내가 몸소⏎선두에 서 있다!⏎뒤처지지 마라!
M07604.2	모두들, 용기를 내라!⏎여기서부터가 고비다!
M07605.0	자, 조금만 더 힘내라!⏎여기서 이기면⏎포상은 원하는 대로다!
M07605.1	천명은 내게 있다!⏎모두 나를 믿어라!
M07605.2	모두들!⏎힘이 다하기엔 아직 이르다!⏎지금부터가 승부다!
M07607.0	좋아!⏎아직 충분히 싸울 수 있어요!
M07607.1	병사들의 기세가 올랐네요⏎우리의 저력을⏎똑똑히 보여 주겠어요!
M07607.2	좋아!⏎병사들이 기력을 되찾았네요!⏎이제 흐름을 바꿀 수 있어요!
M07607.3	음!⏎이거라면 승산이 있겠어요!
M07608.0	좋아!⏎아직 충분히 싸울 수 있겠군!
M07608.1	병사들의 기세가 올랐군⏎우리의 저력을⏎똑똑히 보여 주마!
M07608.2	좋아!⏎병사들이 기력을 되찾았다!⏎이제 흐름을 바꿔 놓겠다!
M07608.3	음!⏎이거라면 승산이 있겠군!
M07610.0	우리에게 충성을 맹세하면⏎논밭도 농기구도 주겠어요⏎땅을 잃을 걱정은 없어져요!
M07610.1	{V:1FC7}군 병사들이여⏎더 이상 고생할 필요 없어요⏎우리 군에 와서 편히 사세요
M07610.2	우리 군은 재능 있는 자를⏎신분을 따지지 않고 등용해요!⏎솜씨에 자신 있으면 오세요!
M07610.3	가족을 생각해 보세요!⏎우리 군에 항복하는 편이⏎가족들도 기뻐할 거예요!
M07611.0	우리에게 충성을 맹세하면⏎논밭도 농기구도 주겠다⏎땅을 잃을 걱정은 없어진다!
M07611.1	{V:1FC7}군 병사들이여⏎더 이상 고생할 필요 없다⏎우리 군에 와서 편히 살아라!
M07611.2	우리 군은 재능 있는 자를⏎신분을 따지지 않고 등용한다!⏎솜씨에 자신 있는 자는 와라!
M07611.3	가족을 생각해 보아라!⏎우리 군에 항복하는 편이⏎가족들도 기뻐할 것이다!
M07613.0	되는대로 지껄이긴!⏎우리 부대의 용사들에게⏎그런 속임수는 안 통해!
M07613.1	어리석은 소리!⏎그런 달콤한 말에 동요할 자가⏎우리 부대에 있을 것 같아!?
M07613.2	호호, 웃기지도 않네!⏎그 말이 거짓이라는 건⏎병사들 얼굴만 봐도 알아!
M07614.0	되는대로 지껄이는구나!⏎우리 부대의 용사들에게⏎그런 속임수는 통하지 않는다!
M07614.1	어리석구나!⏎그런 달콤한 말에 동요할 자가⏎우리 부대에 있다고 여겼느냐?
M07614.2	하하하, 웃기지 마라!⏎그 말이 거짓이라는 건⏎병사들 얼굴만 봐도 안다!
M07616.0	귀를 기울이지 않네요……⏎이것도 모두⏎내 부덕의 소치……
M07616.1	으음……⏎그렇게 뜻대로는⏎되지 않네요……
M07616.2	동요는 없군요……⏎예상 이상으로 통제가⏎잘 잡혀 있는 것 같네요……
M07617.0	귀를 기울이지 않는군……⏎이것도 모두⏎내 부덕의 소치……
M07617.1	으음……⏎그리 뜻대로는 안 되는가……
M07617.2	동요는 없군……⏎예상 이상으로 통제가⏎잘 잡혀 있는 것 같군……
M07618.0	어이! 들었어?⏎{V:02DA} 님을 섬기는 게⏎더 현명한 것 같아!
M07618.1	마누라도, 자식도⏎딸린 몸이라고!⏎난 {V:02DA} 님 편에 붙겠어!
M07618.2	좋아, 방금 말 듣고 결심했어!⏎난 {V:02DA}대에서⏎이름을 떨치겠어!
M07620.0	큰일이에요!⏎병사들이 줄줄이 등을 돌려요!⏎이래선 싸움이 안 돼요
M07620.1	큭……⏎더 이상 병사가 이탈하면⏎군을 유지할 수 없어요……
M07620.2	제아무리 명장이라도⏎한번 이탈하기 시작한 병사는⏎막을 수 없어요……
M07621.0	큰일이다!⏎병사들이 줄줄이 등을 돌린다!⏎이래서는 싸움이 안 된다
M07621.1	큭……⏎더 이상 병사가 이탈하면⏎군을 유지할 수 없다……
M07621.2	제아무리 명장이라도⏎한번 이탈하기 시작한 병사는⏎막을 수 없는가……
M07623.0	병사들의 이탈을 막으세요!⏎지금이라면 망설이는 병사를⏎붙잡을 수 있을 거예요
M07623.1	당했네요……⏎이탈한 병사는 어쩔 수 없어요⏎남은 병사들을 진정시키세요!
M07623.2	병사가 배반하고 있다고요!?⏎적의 달콤한 말에 넘어갔군요⏎내 손으로 이탈을 막아야죠!
M07624.0	병사들의 이탈을 막아라!⏎지금이라면 망설이는 병사를⏎붙잡을 수 있을 것이다
M07624.1	당했나……⏎이탈한 병사는 어쩔 수 없다⏎남은 병사들을 진정시켜라!
M07624.2	병사가 배반하고 있다고!?⏎적의 달콤한 말에 넘어갔나⏎내 손으로 이탈을 막아야겠다!
M07626.0	호호……⏎내게 덫은 안 통해!
M07626.1	덫이 있다는 건⏎진작에 다 꿰뚫어 봤어!⏎나한테는 통하지 않아!
M07626.2	내게 덫을 써 봤자 소용없어!⏎어떤 장치를 해 두든⏎금방 간파해 보이겠어!
M07627.0	후후후……⏎내게 덫은 통하지 않아요!
M07627.1	덫의 존재는⏎진작에 다 꿰뚫어 봤어요!⏎나한테는 통하지 않아요!
M07627.2	나한테 덫을 써도 소용없어요!⏎어떤 장치를 해 두든⏎금방 간파해 보이겠어요!
M07628.0	하하하⏎우리에게 덫은 통하지 않는다!
M07628.1	덫쯤이야⏎진작에 다 꿰뚫어 보았다!⏎우리에게는 통하지 않는다!
M07628.2	우리에게 덫을 써도 소용없다!⏎어떤 장치를 해 두든⏎금방 간파해 주마!
M07629.0	후후후……⏎우리에게 덫은 통하지 않는다!
M07629.1	덫의 존재는⏎진작에 다 꿰뚫어 보았다!⏎우리에게는 통하지 않는다!
M07629.2	우리에게 덫을 써도 소용없다!⏎어떤 장치를 해 두든⏎금방 간파해 보이겠다!
M07631.0	큭!⏎{V:01DA}대는 다른 방법으로⏎상대할 수밖에 없겠네요……
M07631.1	{V:01DA}대의 경계는⏎예사롭지 않네요……⏎다른 계책이 아니면……
M07631.2	아차, 틀렸나……⏎작전을 그르쳤는지도⏎모르겠네요……
M07632.0	큭!⏎{V:01DA}대는 다른 방법으로⏎상대할 수밖에 없겠군……
M07632.1	{V:01DA}대의 경계는⏎예사롭지 않다……⏎다른 계책이 아니면……
M07632.2	아차, 틀렸나……⏎작전을 잘못 세운 듯하군……
M07634.0	왔군요!⏎자, 적을 함정으로⏎끌어들이세요!
M07634.1	모두들,⏎{V:4761} 준비는 됐나요?⏎자, 지금이에요!
M07634.2	역시 이 길로 왔군요⏎자, 적을 나락 밑바닥에⏎처넣어 버려라!
M07634.3	좋아,⏎지금이야말로 적을 끌어들여⏎함정에 빠뜨려라!
M07635.3	좋아,⏎지금이야말로 적을 끌어들여⏎함정에 빠뜨려라!
M07634.4	아무것도 모르고⏎제 발로 걸어 들어왔군요⏎지금이에요! 함정에 빠뜨려라!
M07635.0	왔구나!⏎자, 적을 함정으로⏎끌어들여라!
M07635.1	모두들,⏎{V:4761} 준비는 되었느냐?⏎옳지, 지금이다!
M07635.2	역시 이 길로 왔구나⏎자, 적을 나락 밑바닥에⏎처넣어 버려라!
M07635.4	아무것도 모르고⏎제 발로 걸어 들어왔구나⏎지금이다! 함정에 빠뜨려라!
M07637.0	앗!⏎덫이 있어요!⏎전군, 회피하라!
M07637.1	적이 덫을 놓았어요!⏎침착하게 회피하세요!⏎조심하면 빠져나갈 수 있어요!
M07637.2	어이쿠!⏎이런 곳에 덫이!⏎큰일 날 뻔했네요
M07638.0	으음!⏎덫이 있다!⏎전군, 회피하라!
M07638.1	적이 덫을 놓았다!⏎침착하게 회피하라!⏎조심하면 빠져나갈 수 있다!
M07638.2	어이쿠!⏎이런 곳에 덫이!⏎큰일 날 뻔했군
M07640.0	큭, 간파당했네요⏎만전을 기했을 텐데……
M07640.1	걸려들지 않았나⏎눈치 빠른 녀석들이네요……
M07640.2	으음, 실패예요……⏎적장은 병법에⏎통달한 모양이네요……
M07641.0	큭, 간파당했나⏎만전을 기했거늘……
M07641.1	걸려들지 않았나⏎눈치 빠른 놈들 같으니……
M07641.2	으음, 실패인가……⏎적장은 병법에⏎통달한 모양이군……
M07643.0	이, 이놈들!⏎함정이라니 비겁한 짓을!
M07646.0	이, 이놈들!⏎함정이라니 비겁한 짓을!
M07643.1	아차, 덫인가!⏎이런 곳에 함정을⏎파 놓았을 줄이야……
M07646.1	아차, 덫인가!⏎이런 곳에 함정을⏎파 놓았을 줄이야……
M07643.2	괘씸한 {V:02DA}대 녀석들!⏎이 빚은 반드시 갚아 주겠어!
M07672.2	괘씸한 {V:02DA}대 녀석들!⏎이 빚은 반드시 갚아 주겠어!
M07644.0	아차⏎이 정도 덫에⏎걸리다니……
M07644.1	으음⏎명색이 {V:01DA}인 내가⏎이런 꼴을 당하다니……
M07644.2	아차……⏎좀 지나치게 흥분했네요
M07645.0	어어어⏎이봐요! 누가 빨리⏎날 끌어올리세요!
M07645.1	꺄악⏎다, 당했어요……
M07645.2	비겁하긴!⏎정정당당하게 싸울 순 없어!?
M07646.2	괘씸한 {V:02DA}대 놈들!⏎이 빚은 반드시 갚아 주마!
M07675.2	괘씸한 {V:02DA}대 놈들!⏎이 빚은 반드시 갚아 주마!
M07647.0	아차⏎이 정도 덫에⏎걸리다니……
M07647.1	으으으⏎명색이 {V:01DA}인 내가⏎이런 꼴을 당하다니……
M07647.2	아차……⏎좀 지나치게 흥분했나
M07648.0	어어어⏎이봐! 누가 빨리⏎날 좀 끌어올려 줘!
M07648.1	으악⏎다, 당했다……
M07648.2	이, 이놈들!⏎정정당당하게 싸울 수 없느냐!
M07650.0	아차, {V:4761}인가!⏎부상당한 아군을 구하세요!⏎한 명이라도 더 살리세요!
M07650.1	뭘 멍하니 있는 거예요!⏎아직 살릴 동료가 많아요!⏎힘을 합쳐 구출하세요!
M07650.2	실책은 나중에 후회해도 돼요⏎부상자 구출이 최우선이에요!
M12619.2	실책은 나중에 후회해도 돼요⏎부상자 구출이 최우선이에요!
M07651.0	아차, {V:4761}인가!⏎부상당한 아군을 구하라!⏎한 명이라도 더 살려라!
M07651.1	뭘 멍하니 있느냐!⏎아직 살릴 동료가 많다!⏎힘을 합쳐 구출하라!
M07651.2	실책은 나중에 후회해도 된다⏎부상자 구출이 최우선이다!
M12623.2	실책은 나중에 후회해도 된다⏎부상자 구출이 최우선이다!
M07653.0	잘 끌어들였네요……⏎지금이에요! 불을 질러라!
M07653.1	후후후⏎아무것도 모르고 찾아왔군요⏎자, 일제히 불을 질러라!
M07653.2	모두들,⏎{V:4761} 준비는 됐나요?⏎온통 불바다로 만들어 버려라!
M07653.3	적은 덫을 눈치채지 못했어요⏎일제히 불화살을 쏴라!
M07654.0	잘 끌어들였군……⏎지금이다! 불을 질러라!
M07654.1	흐흐흐⏎아무것도 모르고 찾아왔구나⏎자, 일제히 불을 질러라!
M07654.2	모두들!⏎{V:4761} 준비는 되었느냐?⏎온통 불바다로 만들어 줘라!
M07654.3	적은 덫을 눈치채지 못했다⏎일제히 불화살을 쏴라!
M07655.0	내 화계의 진수를⏎그 몸으로 똑똑히 맛보아라!⏎자, 불화살을 쏴라!
M07655.1	불을 다루는 데는 천하무쌍⏎이 {V:01DA}의 화계를⏎받아 보아라!
M07655.2	아무리 강대한 군대라도⏎불 앞에서는 모두 무력하다⏎지금 일제히 불을 질러라!
M07655.3	기다렸다, 이때를!⏎이 {V:01DA}, 화계의 정수를⏎가르쳐 주마!
M07659.0	이, 이놈들!⏎{V:4761} 같은 비겁한 수를!
M07662.0	이, 이놈들!⏎{V:4761} 같은 비겁한 수를!
M07672.0	이, 이놈들!⏎{V:4761} 같은 비겁한 수를!
M07675.0	이, 이놈들!⏎{V:4761} 같은 비겁한 수를!
M07687.0	이, 이놈들!⏎{V:4761} 같은 비겁한 수를!
M07690.0	이, 이놈들!⏎{V:4761} 같은 비겁한 수를!
M07659.1	아차, 덫인가!⏎숲을 빠져나가려 한 게⏎잘못이었나……
M07662.1	아차, 덫인가!⏎숲을 빠져나가려 한 게⏎잘못이었나……
M07659.2	괘씸한 {V:02DA}대 녀석들!⏎이 원한은 결코 잊지 않겠어!
M07687.2	괘씸한 {V:02DA}대 녀석들!⏎이 원한은 결코 잊지 않겠어!
M07660.0	불길이 거세네요……⏎보아하니 생선 기름을⏎뿌려 둔 모양이군요
M07660.1	명색이 {V:01DA}인 내가⏎화계에 대한 경계를⏎게을리하다니……
M07663.1	명색이 {V:01DA}인 내가⏎화계에 대한 경계를⏎게을리하다니……
M07660.2	허둥대선 안 돼요⏎바람이 불어오는 쪽으로 가서⏎불을 피하세요!
M07661.0	히익⏎이러다간 타 죽겠어요!
M07661.1	으악⏎부, 불이……!⏎누가 좀 살려 줘요!
M07661.2	콜록, 콜록⏎연기로 아무것도 안 보여요⏎누구든 빨리 불을 끄세요!
M07662.2	괘씸한 {V:02DA}대 놈들!⏎이 원한은 결코 잊지 않겠다!
M07690.2	괘씸한 {V:02DA}대 놈들!⏎이 원한은 결코 잊지 않겠다!
M07663.0	불길이 거세구나……⏎보아하니 생선 기름을⏎뿌려 두었나……
M07663.2	허둥대선 안 된다⏎바람이 불어오는 쪽으로 가서⏎불을 피하라!
M07664.0	어어어⏎이러다간 타 죽겠다!
M07664.1	으악⏎부, 불이……!⏎누가 좀 살려 줘!
M07664.2	콜록, 콜록⏎연기로 아무것도 안 보여⏎누구든 빨리 불 좀 끄지 못해!
M07667.0	걸려들었네!⏎배와 함께 탁류에⏎휩쓸려 버려라!
M07667.1	자!⏎배 밑바닥에 구멍을 뚫어⏎가라앉혀 버려라!
M07668.1	자!⏎배 밑바닥에 구멍을 뚫어⏎가라앉혀 버려라!
M07667.2	지금이에요!⏎적선을 덫으로 몰아넣어⏎가라앉혀 버려라!
M07667.3	역시 이리로 왔군요⏎덫이 있는 줄도 모르고⏎어리석기도 하네요
M07668.0	걸려들었구나!⏎배와 함께 탁류에⏎휩쓸려 버려라!
M07668.2	지금이다!⏎적선을 덫으로 몰아넣어⏎가라앉혀 버려라!
M07668.3	역시 이리로 왔구나⏎덫이 있는 줄도 모르고⏎어리석은 놈들 같으니
M07672.1	아차!⏎이런 곳에 덫을⏎놓아 두었을 줄이야……
M07675.1	아차!⏎이런 곳에 덫을⏎놓아 두었을 줄이야……
M07673.0	당했어요⏎이 정도 덫에⏎걸리다니……
M07688.0	당했어요⏎이 정도 덫에⏎걸리다니……
M07673.1	명색이 {V:01DA}인 내가⏎{V:4761}에 대한 경계를⏎게을리하다니……
M07676.1	명색이 {V:01DA}인 내가⏎{V:4761}에 대한 경계를⏎게을리하다니……
M07688.1	명색이 {V:01DA}인 내가⏎{V:4761}에 대한 경계를⏎게을리하다니……
M07691.1	명색이 {V:01DA}인 내가⏎{V:4761}에 대한 경계를⏎게을리하다니……
M07673.2	이런 장치를⏎해 두었을 줄이야……⏎한 방 먹었네요
M07674.0	어어어⏎배가, 배가 가라앉는다!
M07677.0	어어어⏎배가, 배가 가라앉는다!
M07674.1	으악⏎무, 물이……!⏎누가 좀 살려 줘요!
M07674.2	벌써 이런 데까지 물이!⏎이대로는 가라앉겠어요!
M07676.0	당했다⏎이 정도 덫에⏎걸리다니……
M07691.0	당했다⏎이 정도 덫에⏎걸리다니……
M07676.2	이런 장치를⏎해 두었을 줄이야……⏎한 방 먹었군
M07677.1	으악⏎무, 물이……!⏎누가 좀 살려 줘!
M07677.2	벌써 이런 데까지 물이!⏎이대로는 가라앉겠다!
M07679.0	이 배는 이제 틀렸어요⏎옆 배로 옮겨 타겠어요⏎서둘러라!
M07679.1	침착하라!⏎배에서 떨어진 병사를⏎한 명이라도 더 구하라!
M07679.2	허둥대지 마라⏎배는 쉽게 가라앉지 않아요⏎침착하게 대처하세요!
M07680.0	이 배는 이제 틀렸다⏎옆 배로 옮겨 탄다⏎서둘러라!
M07680.1	침착하라!⏎배에서 떨어진 병사를⏎한 명이라도 더 구해 내라!
M07680.2	허둥대지 마라⏎배는 쉽게 가라앉지 않는다⏎침착하게 대처하라!
M07682.0	왔군요⏎덫이 있는 줄도 모르고……⏎지금 바위를 떨어뜨리세요!
M07682.1	모두들, 준비는 됐나요?⏎신호가 오는 대로⏎모아 둔 바위를 떨어뜨리세요
M07682.2	자,⏎{V:02DA}대를 바위 밑에⏎깔아뭉개 버려요!
M07682.3	지금이에요!⏎줄을 끊고 바위를 떨어뜨려라!
M07683.0	왔구나⏎덫이 있는 줄도 모르고……⏎지금이다! 바위를 떨어뜨려라!
M07683.1	모두들, 준비는 되었느냐?⏎신호가 오는 대로⏎모아 둔 바위를 떨어뜨려라!
M07683.2	자,⏎{V:02DA}대를 바위 밑에⏎깔아뭉개 버려라!
M07683.3	지금이다!⏎줄을 끊고 바위를 떨어뜨려라!
M07687.1	아차, 덫인가!⏎이 길로 가려고 한 게⏎잘못이었어요……
M07688.2	아차⏎협곡엔 {V:4761}쯤 있기 마련⏎병법의 기본을 잊다니……
M07691.2	아차⏎협곡엔 {V:4761}쯤 있기 마련⏎병법의 기본을 잊다니……
M07689.0	이런 곳에서⏎죽을 수는 없어요!⏎길을 비키세요!
M07689.1	히익⏎바, 바위가 쏟아져요……!⏎누가 좀 살려 줘요!
M07689.2	으아아아아⏎어느새 이런 장치를!
M07692.2	으아아아아⏎어느새 이런 장치를!
M07690.1	아차, 덫인가!⏎이 길로 가려고 한 게⏎실수였나……
M07692.0	이런 곳에서⏎죽을 수는 없다!⏎비켜라, 길을 열어라!
M07692.1	히익⏎바, 바위가 쏟아진다……!⏎누가 좀 살려 줘!
M07694.0	전속력으로 달려 나가라!⏎단숨에 돌파하겠어요⏎서둘러라!
M07694.1	여기선 단숨에⏎돌파할 수밖에 없어요⏎자, 달려 나가요!
M07694.2	전군, 멈춰라!⏎바위가 지나가길 기다리세요!⏎이봐요, 허둥대지 마세요!
M07695.0	전속력으로 달려 나가라!⏎단숨에 돌파한다⏎서둘러라!
M07695.1	여기선 단숨에⏎돌파할 수밖에 없다⏎자, 달려 나가라!
M07695.2	전군, 멈춰라!⏎바위가 지나가길 기다려라!⏎이봐라, 허둥대지 마라!
M07697.0	지금이에요!⏎내 {V:4761}의 힘을⏎뼈저리게 느껴라!
M07699.0	지금이에요!⏎내 {V:4761}의 힘을⏎뼈저리게 느껴라!
M07697.1	가겠어요!⏎내 {V:4761}의 위력을⏎후세까지 두고두고 전하거라!
M07699.2	가겠어요!⏎내 {V:4761}의 위력을⏎후세까지 두고두고 전하거라!
M07697.2	슬슬 때가 됐네요⏎내 {V:4761}의 힘으로⏎적진을 휘저어 놓겠어요!
M07699.3	슬슬 때가 됐네요⏎내 {V:4761}의 힘으로⏎적진을 휘저어 놓겠어요!
M07698.0	지금이다!⏎내 {V:4761}의 힘을⏎뼈저리게 느껴라!
