M06530.0	{V:01DA}에게⏎{V:3DA3} 탐색을⏎명하시겠습니까?
M06693.0	{V:01DA} 장군은⏎건설에 참가할 수 없습니다⏎괜찮겠습니까?
M06693.1	{V:01DA}, {V:02DA} 장군은⏎건설에 참가할 수 없습니다⏎괜찮겠습니까?
M06693.2	{V:01DA}, {V:02DA}, {V:03DA}⏎장군은 건설에 참가 못 합니다⏎괜찮겠습니까?
M06693.3	{V:01DA}, {V:02DA}, {V:03DA},⏎{V:04DA} 장군은 건설 참가 불가⏎괜찮겠습니까?
M06694.0	{V:01DA} 장군은⏎출진할 수 없습니다⏎괜찮겠습니까?
M06694.1	{V:01DA}, {V:02DA} 장군은⏎출진할 수 없습니다⏎괜찮겠습니까?
M06694.2	{V:01DA}, {V:02DA}, {V:03DA}⏎장군은 출진할 수 없습니다⏎괜찮겠습니까?
M06694.3	{V:01DA}, {V:02DA}, {V:03DA},⏎{V:04DA} 장군은 출진 불가⏎괜찮겠습니까?
M06695.0	{V:1FC7}군의⏎전략 페이즈를⏎종료하시겠습니까?
M06734.0	{V:1FC7}군과의 신의를⏎저버리게 됩니다⏎괜찮겠습니까?
M06735.0	{V:1FC7}군과의 적대 관계가 해소되면⏎부대가 퇴각합니다⏎괜찮겠습니까?
M06736.0	{V:01DA} 군단의 위임방침이 위임으로⏎바뀝니다. 괜찮겠습니까?
M06761.0	트라이얼 스토리에선 실행할 수 없습니다
M06763.0	이 전력 차로는⏎손쓸 도리가 없어요⏎{V:1FC7}군에 투항할 수밖에요
M06763.1	중과부적이군요⏎이래서는 싸움이 안 돼요⏎……항복할 수밖에 없겠네요
M06763.2	이렇게까지 역부족이라니……⏎이래서는⏎항복할 수밖에 없겠어요
M06764.0	천운이 내 편이 아니네요⏎분하지만, 여기서는 깨끗이⏎항복할 수밖에 없겠네요
M06764.1	{V:1FC7}군의 기세는 진짜……⏎항복할 수밖에 없을 듯해요
M06764.2	이것도 천명이라는 거겠죠……⏎어쩔 수 없어요⏎{V:1FC7}군에 투항하도록 해요
M06765.0	내 체면을 위해⏎병사들을 희생시킬 순 없어요⏎항복하기로 해요
M06765.1	더 이상 싸워 봤자⏎희생자만 늘어날 뿐……⏎항복도 어쩔 수 없겠네요
M06765.2	수로는 당해낼 수 없군요……⏎앉아서 죽기보다는⏎{V:1FC7}군에 투항하도록 해요
M06766.0	{V:1FC7}군에게는⏎도저히 당해낼 수 없어요⏎빨리 항복하는 게 상책이에요
M06766.1	강자를 따르는 건 난세의 이치⏎지금은 {V:1FC7}군에⏎투항하기로 해요
M06766.2	이대로 개죽음을 당하느니⏎{V:1FC7}군에 등용되는⏎편이 낫겠어요
M06767.0	이 전력 차로는⏎손쓸 도리가 없구나⏎{V:1FC7}군에 투항하세
M06767.1	중과부적이로군⏎이래서는 싸움이 안 된다⏎……항복할 수밖에 없는가
M06767.2	이렇게까지 역부족이라니……⏎이래서는⏎항복할 수밖에 없겠구나
M06768.0	천운이 내 편이 아니구나⏎분하지만, 여기서는 깨끗이⏎항복할 수밖에 없겠지
M06768.1	{V:1FC7}군의 기세는 진짜……⏎항복할 수밖에 없겠구나
M06768.2	이것도 천명이라는 것인가……⏎어쩔 수 없지⏎지금은 {V:1FC7}군에 투항하세
M06769.0	내 체면을 위해⏎병사들을 희생시킬 순 없다⏎항복하기로 하세
M06769.1	더 이상 싸워 봤자⏎희생자만 늘어날 뿐……⏎항복도 어쩔 수 없는가
M06769.2	수로는 당해낼 수 없나……⏎앉아서 죽기보다는⏎{V:1FC7}군에 투항하세
M06770.0	{V:1FC7}군에게는⏎도저히 당해낼 수 없다⏎항복하면 중히 쓰일 것이다
M06770.1	강자를 따르는 건 난세의 이치⏎지금은 {V:1FC7}군에⏎투항하기로 할까
M06770.2	이대로 개죽음을 당하느니⏎{V:1FC7}군에 등용되는⏎편이 낫겠지
M06771.0	{V:01DA} 공은⏎{V:01E0}의 성문을 열고⏎{V:1FC7}군에 항복했습니다
M06772.0	{V:02DA} 님,⏎{V:01DA}께서 사관을 청합니다
M06773.0	국호를 선택하십시오
M06774.0	{V:1FC7}, 이 국호로⏎정하시겠습니까?
M08573.0	{V:1FC7}, 이 국호로⏎정하시겠습니까?
M06775.0	{V:1FC7}군의 {V:01DA} 장군이⏎재야의 몸이 되었습니다
M06777.0	이제 저도 싸울 나이입니다⏎싸움은 이 {V:01DA}에게!
M06777.1	제가 가세하면 백 명 몫이지요⏎전장에 설 날이 기대됩니다
M06777.2	이날을 기다려 왔습니다⏎싸움이 벌어지면, 부디⏎선봉을 명해 주십시오!
M06778.0	함께 싸울 날이 오기를⏎기다려 왔습니다⏎팔이 근질거립니다!
M06778.1	{V:01DB} 가문에 욕되지 않게⏎최선을 다하겠습니다⏎기대해 주십시오!
M06778.2	아군을 가로막는 적은⏎이 {V:01DA}, 반드시⏎쓰러뜨려 보이겠습니다
M06779.0	반드시 공적을 세워⏎보이겠습니다⏎무엇이든 명해 주십시오
M06779.1	저도 드디어 일할 나이입니다⏎남들에게 뒤처지지 않도록⏎정진하겠습니다
M06779.2	이 {V:01DA},⏎반드시 기대에 부응하는⏎활약을 보여 드리겠습니다!
M06780.0	드디어 제 힘을⏎발휘할 때가 왔습니다⏎만사, 제게 맡기십시오
M06780.1	이날을 기다려 왔습니다⏎마음 푹 놓고⏎계십시오
M06780.2	제가 가세한 이상⏎아군의 승리를 막을 것은⏎아무것도 없을 것입니다
M06781.0	{V:03DA}의 일족・{V:01DA},⏎성인이 되어 {V:02DA} 휘하에 합류
M06782.0	사관 승낙 여부를 결정합니다
M06784.0	제가 몸담을 곳은⏎{V:1FC7}군밖에 없습니다⏎이 목숨, 맡기겠습니다
M06784.1	이 몸이 흙이 될 때까지⏎{V:02DA} 님을 위해⏎힘을 다하겠습니다
M06784.2	{V:02DA} 님이야말로⏎찾아 헤매던 주군……⏎신명을 바쳐 섬기겠습니다
M06785.0	{V:02DA} 님의 휘하라면⏎마음껏 힘을 쓸 수 있겠지요⏎잘 부탁드립니다
M06785.1	{V:02DA} 님과 함께⏎천하에 나설 수 있다니⏎바라지도 못한 기쁨입니다
M06785.2	감사합니다⏎앞으로 {V:1FC7}군의 장수로서⏎몸이 부서져라 일하겠습니다
M06786.0	앞으로 {V:1FC7}군의 장수로서⏎그 이름에 걸맞은 활약을⏎약속하겠습니다
M06786.1	더없는 영광입니다⏎재주 없는 몸이지만⏎잘 부탁드립니다
M06786.2	{V:02DA} 님이라면 섬기기에⏎부족함이 없습니다⏎함께 나아가시지요
M06787.0	드디어⏎사관의 소망을 이루었습니다⏎잘 부탁합니다
M06787.1	더없는 영광입니다⏎기대에 부응하도록⏎노력하겠습니다
M06787.2	이 은혜에는⏎앞으로의 활약으로⏎보답하겠습니다
M06788.0	그대와 함께 싸울 날을⏎기다리고 있었습니다⏎함께 나아갑시다
M06788.1	우리 부모 자식이 힘을 합치면⏎난세의 평정도⏎한층 더 가까워지겠지요
M06789.1	우리 부모 자식이 힘을 합치면⏎난세의 평정도⏎한층 더 가까워지겠지요
M06792.1	우리 부모 자식이 힘을 합치면⏎난세의 평정도⏎한층 더 가까워지겠지요
M06788.2	우리 부모 자식의 힘을⏎천하에 떨쳐 보입시다
M06789.0	부모 자식이 함께 싸우다니⏎이보다 더한 기쁨은 없습니다⏎몸이 부서져라 일하겠습니다
M06792.0	부모 자식이 함께 싸우다니⏎이보다 더한 기쁨은 없습니다⏎몸이 부서져라 일하겠습니다
M06789.2	감사합니다⏎우리 부모 자식의 힘을⏎천하에 떨쳐 보입시다
M06790.0	우리 일족이 힘을 합치면⏎난세의 평정도⏎한층 더 가까워질 것입니다
M06790.1	함께 싸울 날을⏎기다리고 있었습니다⏎신명을 바쳐 일하겠습니다
M06790.2	우리 일족의 힘을⏎천하에 떨쳐 보입시다
M06791.0	그대와 함께 싸울 날을⏎기다리고 있었네⏎함께 나아가세
M06791.1	우리 부모 자식이 힘을 합치면⏎난세의 평정도⏎한층 더 가까워질 걸세
M06791.2	우리 부모 자식의 힘을⏎천하에 떨쳐 보이세
M06792.2	감사합니다⏎우리 부모 자식의 힘을⏎천하에 널리 알립시다
M06793.0	우리 일족이 힘을 합치면⏎난세의 평정도⏎한층 더 가까워질 걸세
M06793.1	함께 싸울 날을⏎기다리고 있었네⏎신명을 바쳐 일하세
M06793.2	우리 일족의 힘을⏎천하에 떨쳐 보이세
M06794.0	좋아, 오늘부터 화끈하게⏎일해 주지!
M06794.1	드디어 빈둥거리는 신세도⏎면하게 됐구먼
M06794.2	이제 내 힘을 천하에⏎떨쳐 보일 수 있겠군
M06796.0	이제부터 새 인생을⏎걷게 되리라⏎생각했습니다만……
M06796.1	섬길 만한 분은⏎{V:02DA} 님뿐이라고⏎생각했습니다만……
M06796.2	{V:02DA} 님께⏎인정받지 못하다니⏎어쩔 도리가 없군요……
M06796.3	이 {V:01DA},⏎분골쇄신하여 섬길⏎각오였습니다만……
M06797.0	이 {V:01DA}의 사관을⏎거절하다니, 인재가 어지간히⏎남아도는 모양이군요
M06797.1	참으로 속이 좁으시군요⏎후회하시게 될 거예요
M06797.2	사람 볼 줄 모르는⏎주군에게는 볼일 없어요⏎이만 실례하겠어요
M06798.0	이 {V:01DA}의 사관을⏎거절하다니, 인재가 어지간히⏎남아도는 모양이로군
M06798.1	이 무슨 옹졸함인가⏎후회하게 될 걸세
M06798.2	사람 볼 줄 모르는⏎주군에게는 볼일 없네⏎이만 실례하겠네
M06799.0	지금 같은 시대엔 인재가 생명⏎사람을 가볍게 여기시면⏎큰코다치실 겁니다
M06799.1	{V:02DA} 님의 휘하에서⏎힘을 발휘할 수 없다니⏎유감입니다
M06800.1	{V:02DA} 님의 휘하에서⏎힘을 발휘할 수 없다니⏎유감입니다
M06799.2	그렇습니까⏎아쉽지만 어쩔 수 없군요⏎언젠가 다음 기회에
M06800.2	그렇습니까⏎아쉽지만 어쩔 수 없군요⏎언젠가 다음 기회에
M06800.0	지금 같은 시대엔 인재가 생명⏎사람을 가볍게 여기시면⏎큰코다치실 것이오
M06801.0	그렇습니까⏎그렇다면⏎이만 실례하겠습니다
M06801.1	인연이 없었다고 생각하고⏎단념하지요⏎그럼 이만
M06802.1	인연이 없었다고 생각하고⏎단념하지요⏎그럼 이만
M06801.2	그렇습니까⏎그렇다면 달리 섬길 곳을⏎찾아보도록 하지요
M06802.2	그렇습니까⏎그렇다면 달리 섬길 곳을⏎찾아보도록 하지요
M06802.0	그렇소이까⏎그럼 이만 실례하겠소
M06803.0	뭐라고요!?⏎이제 제 도움은 필요 없다고⏎말씀하시는 겁니까……
M06803.1	이런 날이⏎오게 될 줄이야……
M06803.2	효도를 모르다니……⏎이런 일을 계속하다가는⏎인심이 떠날 텐데……
M06806.2	효도를 모르다니……⏎이런 일을 계속하다가는⏎인심이 떠날 텐데……
M06804.0	그럴 수가!⏎저는 그저 지금까지의⏎은혜에 보답하려고……
M06804.1	부모에게 버림받다니⏎저도 신세가 처량하네요……
M06804.2	자식으로서 목숨을 바칠⏎생각이었습니다만……
M06807.2	자식으로서 목숨을 바칠⏎생각이었습니다만……
M06805.0	이 난세에⏎혈육을 믿지 않고서⏎누구를 믿겠다는 겁니까……
M06805.1	아아, 우리 일문은⏎어찌 되려는 걸까요……
M06805.2	이런 인물일 줄은⏎생각지도 못했습니다……
M06806.0	뭐라!?⏎이제 내 도움은 필요 없다고⏎말하는 것이냐……
M06806.1	이런 날이⏎올 줄이야……
M06807.0	어째서입니까!⏎소자는 그저 지금까지의⏎은혜에 보답하려고……
M06807.1	부모에게 버림받다니⏎참으로 한심하구나……
M06808.0	이 난세에⏎혈육을 믿지 않고서⏎누구를 믿겠다는 것이냐……
M06808.1	아아, 우리 일문은⏎어찌 되려는 것인가……
M06808.2	이런 인물일 줄은⏎생각지도 못했구나……
M06809.0	{V:01DA} 장군이⏎{V:1FC7}군에 사관했습니다
M06810.0	{V:01DA}대는⏎{V:1FC7}군에 항복했습니다
M06811.0	{V:01DA}도⏎{V:1FC7}군에 항복했습니다
M06812.0	{V:3DA3}에서는⏎{V:1FC7}군에 항복했습니다
M06813.0	{V:20C7}에서 {V:1FC7}에 보낸⏎요청은 기한이 만료되었습니다
M06815.0	이 정도 감시로⏎나를 붙잡아 두려 하다니⏎가소롭구나!
M06819.0	이 정도 감시로⏎나를 붙잡아 두려 하다니⏎가소롭구나!
M06815.1	이걸로 가둔 셈인가요?⏎이 {V:01DA}의 발을 묶으려면⏎백만 대군은 붙여야 할걸요!
M06815.2	슬슬⏎여기 있는 것도 질렸네요⏎알아서 뚫고 나가겠어요!
M06816.0	이 정도 경비쯤……⏎내 힘이라면⏎뚫는 건 일도 아니에요!
M06816.1	이 정도 방비로⏎이 {V:01DA}에게 얌전히⏎있으라는 건가요?
M06816.2	이 {V:01DA}에게는⏎아직 할 일이 있어요⏎마음대로 돌아가겠어요!
M06817.0	감시가 허술한 것 같네요……⏎지금이 달아날 기회예요
M06817.1	이 정도라면⏎손쉽게 탈출할 수 있겠네요
M06817.2	경비 배치는 파악했어요⏎당장 오늘 밤에라도⏎탈주하기로 하죠
M06818.0	지금이라면 적의 감시도⏎느슨할 테니, 과감하게⏎탈주하기로 하죠
M06818.1	지금이 탈출할 호기예요!⏎끈기 있게 기다린⏎보람이 있었네요!
M06818.2	이런 곳에⏎오래 있고 싶지 않아요⏎지금 이때 도망쳐야지……
M06819.1	이걸로 가둔 셈이냐?⏎이 {V:01DA}의 발을 묶으려면⏎백만 대군은 붙여야 할 게다!
M06819.2	슬슬⏎여기 있는 것도 질렸다⏎알아서 뚫고 나가겠다!
M06820.0	이 정도 경비쯤……⏎내 힘이라면⏎뚫는 건 일도 아니다!
M06820.1	이 정도 방비로⏎이 {V:01DA}에게 얌전히⏎있으라는 거냐!
M06820.2	이 {V:01DA}에게는⏎아직 할 일이 있다⏎마음대로 돌아가겠다!
M06821.0	감시가 허술한 것 같군……⏎지금이 달아날 기회다
M06821.1	이 정도라면⏎손쉽게 탈출할 수 있겠군
M06821.2	경비 배치는 파악했다⏎당장 오늘 밤에라도⏎탈주하도록 하자
M06822.0	지금이라면 적의 감시도⏎느슨할 테니, 과감하게⏎탈주하도록 하자
M06822.1	지금이 탈출할 호기다!⏎끈기 있게 기다린⏎보람이 있었구나!
M06822.2	이런 곳에⏎오래 있고 싶지 않다⏎지금 이때 도망쳐야지……
M06824.0	이 {V:01DA} 님만 있으면⏎무서울 게 없다고!
M06824.1	내가 사관한다면⏎여기밖에 없다 싶어⏎이렇게 찾아왔소
M06824.2	꼭 {V:1FC7}군에⏎끼워 줬으면 좋겠소
M06825.0	{V:01DA}입니다⏎인재를 구하신다고 듣고⏎찾아뵈었습니다
M06826.0	{V:01DA}입니다⏎인재를 구하신다고 듣고⏎찾아뵈었습니다
M06829.0	{V:01DA}입니다⏎인재를 구하신다고 듣고⏎찾아뵈었습니다
M06830.0	{V:01DA}입니다⏎인재를 구하신다고 듣고⏎찾아뵈었습니다
M06831.0	{V:01DA}입니다⏎인재를 구하신다고 듣고⏎찾아뵈었습니다
M06832.0	{V:01DA}입니다⏎인재를 구하신다고 듣고⏎찾아뵈었습니다
M06825.1	간청드립니다⏎부디 {V:02DA} 님 휘하에서⏎일하게 해 주십시오
M06825.2	{V:02DA} 님,⏎부디 제 사관을⏎허락해 주십시오
M06825.3	{V:02DA} 님,⏎저를 {V:1FC7}군의 말석에⏎끼워 주시지 않겠습니까?
M06826.1	간청하오⏎부디 {V:02DA} 님 휘하에서⏎일하게 해 주시오
M06826.2	{V:02DA} 님,⏎부디 소장의 사관을⏎허락해 주시오
M06826.3	{V:02DA} 님,⏎소장을 {V:1FC7}군의 말석에⏎끼워 주시지 않겠소?
M06827.0	인재를 구한다고 들었어요⏎힘이 되어 주려고⏎이렇게 찾아온 거예요
M06827.1	{V:02DA},⏎그대 밑에서 일할 기회를⏎주지 않겠어요?
M06827.2	{V:02DA},⏎그대에게라면⏎기꺼이 신하의 예를 갖추지요
M06828.0	인재를 구한다 들었네⏎힘이 되어 주려고⏎이렇게 찾아왔네
M06828.1	{V:02DA},⏎그대 밑에서 일할 기회를⏎주지 않겠는가?
M06828.2	{V:02DA},⏎그대에게라면⏎기꺼이 신하의 예를 갖춤세
M06829.1	간청드립니다⏎부디 어머님 휘하에서⏎일하게 해 주십시오
M06829.2	어머님,⏎부디 제 사관을⏎허락해 주십시오
M06829.3	어머님,⏎저를 {V:1FC7}군의 말석에⏎끼워 주시지 않겠습니까?
M06830.1	간청드립니다⏎부디 아버님 휘하에서⏎일하게 해 주십시오
M06830.2	아버님,⏎부디 제 사관을⏎허락해 주십시오
M06830.3	아버님,⏎저를 {V:1FC7}군의 말석에⏎끼워 주시지 않겠습니까?
M06831.1	간청드립니다⏎부디 누님 휘하에서⏎일하게 해 주십시오
M06831.2	누님,⏎부디 제 사관을⏎허락해 주십시오
M06831.3	누님,⏎저를 {V:1FC7}군의 말석에⏎끼워 주시지 않겠습니까?
M06832.1	간청드립니다⏎부디 형님 휘하에서⏎일하게 해 주십시오
M06832.2	형님,⏎부디 제 사관을⏎허락해 주십시오
M06832.3	형님,⏎저를 {V:1FC7}군의 말석에⏎끼워 주시지 않겠습니까?
M06833.0	간청드립니다⏎부디 {V:02DA} 공 휘하에서⏎써 주십시오
M06833.1	{V:02DA} 공,⏎부디 제 사관을⏎받아 주십시오
M06833.2	{V:02DA} 공,⏎저를 {V:1FC7}군의 말석에⏎끼워 주실 수 없겠습니까?
M06834.0	간청하오⏎부디 {V:02DA} 공 휘하에서⏎써 주시오
M06834.1	{V:02DA} 공,⏎부디 소장의 사관을⏎받아 주시오
M06834.2	{V:02DA} 공,⏎소장을 {V:1FC7}군의 말석에⏎끼워 주시오
M06836.0	잘 와 주었어요⏎그대의 힘에⏎기대하고 있어요
M06836.1	그대의 사관을⏎이제나저제나 기다렸어요
M06840.1	그대의 사관을⏎이제나저제나 기다렸어요
M06836.2	이제부터는⏎언제나 부모 자식이 함께예요⏎이제 두려울 게 없어요
M06837.0	여기서 거절하는 것은⏎효도에 어긋나겠지요⏎어머님, 잘 부탁드립니다
M06837.1	어머님께서 가세하셨으니⏎아군의 위세도⏎크게 오르겠지요
M06837.2	어머님,⏎아군을 도와주시니⏎진심으로 감사드립니다
M06838.0	여기서 거절하는 것은⏎효도에 어긋나겠지요⏎아버님, 잘 부탁드립니다
M06838.1	아버님께서 가세하셨으니⏎아군의 위세도⏎크게 오르겠지요
M06838.2	아버님,⏎아군을 도와주시니⏎진심으로 감사드립니다
M06839.0	고마운 제의입니다⏎기대하겠습니다
M06839.1	이제나저제나⏎기다리고 있었습니다⏎잘 부탁합니다
M06839.2	이제부터는⏎언제나 함께입니다⏎이제 두려울 게 없겠군요
M06840.0	잘 와 주었군요⏎그대의 힘에⏎기대하고 있겠어요
M06840.2	이제부터는⏎언제나 함께예요⏎이제 두려울 게 없어요
M06841.0	든든한 아군이 늘어⏎기쁘기 그지없습니다⏎의지하겠습니다
M06841.1	잘 사관해 주었습니다⏎이로써 아군의 위용도⏎한층 더해지겠지요
M06841.2	앞으로 아군을⏎지탱할 기둥이 되어 주십시오⏎기대하겠습니다
M06842.0	잘 와 주었네⏎그대의 힘에⏎기대하고 있겠네
M06844.0	잘 와 주었네⏎그대의 힘에⏎기대하고 있겠네
M06842.1	그대의 사관을⏎이제나저제나 기다렸네
M06842.2	이제부터는⏎언제나 부모 자식이 함께일세⏎이제 두려울 게 없군
M06843.0	고마운 제의요,⏎기대하겠소
M06843.1	이제나저제나 기다리고 있었소⏎잘 부탁하오
M06843.2	이제부터는⏎언제나 함께요⏎이제 두려울 것이 없소
M06844.1	음⏎그대의 사관을⏎이제나저제나 기다렸네
M06844.2	이제부터는⏎언제나 함께일세⏎이제 두려울 게 없군
M06845.0	든든한 아군이 늘어⏎기쁘기 그지없네⏎의지하겠네
M06845.1	잘 사관해 주었네⏎이로써 아군의 위용도⏎한층 더해지겠군
M06845.2	앞으로 아군을⏎지탱할 기둥이 되어 주게⏎기대하겠네
M06847.0	부모 자식이라 해도⏎특별 대우는 할 수 없어요⏎돌아가세요
M06847.1	천하 국가 앞에서⏎부모 자식의 정은 소용없어요⏎물러가세요
M06847.2	안타깝지만, 군주로서는⏎그대 재간에 기대할 수 없어요
M06848.0	부모 자식이라 해도⏎특별 대우는 할 수 없습니다⏎돌아가 주십시오
M06849.0	부모 자식이라 해도⏎특별 대우는 할 수 없습니다⏎돌아가 주십시오
M06848.1	안타깝지만⏎시대가 변했습니다⏎어머님, 돌아가 주십시오
M06848.2	아군에서는 어머님의⏎힘을 발휘하실 수 없습니다⏎부디 다른 곳을 알아보십시오
M06849.1	안타깝지만⏎시대가 변했습니다⏎아버님, 돌아가 주십시오
M06849.2	아군에서는 아버님의⏎힘을 발휘하실 수 없습니다⏎부디 다른 곳을 알아보십시오
M06850.0	일족이라 해도⏎특별 대우는 할 수 없습니다⏎돌아가 주십시오
M06850.1	천하 국가 앞에서⏎일족의 정은 상관없습니다⏎부디, 돌아가 주십시오
M06850.2	유감이지만⏎한 사람의 군주로서는⏎거절할 수밖에 없습니다
M06851.0	일족이라 해도⏎특별 대우는 할 수 없어요⏎물러가세요
M06851.1	천하 국가 앞에서⏎일족의 정은 소용없어요⏎돌아가세요
M06851.2	안타깝지만⏎한 사람의 군주로서는⏎거절할 수밖에 없어요
M06852.0	공교롭게도⏎인재는 충분합니다⏎사관은 거절하겠습니다
M06852.1	그대만 한 인재는⏎아군에게는 과분해요⏎다른 곳을 알아보세요
M06852.2	그대의 힘은⏎아군에게는 필요 없습니다⏎물러가 주십시오
M06853.0	부모 자식이라 해도⏎특별 대우는 할 수 없네⏎돌아가 주게
M06853.1	천하 국가 앞에서⏎부모 자식의 정은 소용없네⏎물러가 주게
M06853.2	안타깝지만, 군주로서⏎그대 재간에 기대할 수 없군
M06854.0	부모 자식이라 해도⏎특별 대우는 할 수 없소⏎돌아가 주시오
M06855.0	부모 자식이라 해도⏎특별 대우는 할 수 없소⏎돌아가 주시오
M06854.1	안타깝지만⏎시대가 변했소⏎어머님, 돌아가 주시오
