M06497.0	명령서가 없습니다
M06651.0	잠입할 대상 시설을 선택하십시오
M06652.0	{U:F0BC}버튼으로 잠입할 대상 시설을 선택하십시오
M06653.0	적 시설을 불태워 내구를 떨어뜨립니다
M06654.0	화공할 대상 시설을 선택하십시오
M06655.0	{U:F0BC}버튼으로 화공할 대상 시설을 선택하십시오
M06656.0	타세력 무장의 충성을 떨어뜨립니다
M06657.0	이간을 걸 적 무장을 선택하십시오
M06658.0	병사가 {V:65} 이상 필요합니다
M06659.0	구원할 수 있는 아군 부대가 없습니다
M06660.0	아군 부대에 원군을 보냅니다
M06661.0	구원할 아군 부대를 선택하십시오
M06662.0	{U:F0BC}버튼으로 구원할 아군 부대를 선택하십시오
M06663.0	격려할 수 있는 아군 부대가 없습니다
M06664.0	아군 부대의 사기를 잠시 높이고 상태 이상을 고칩니다
M06665.0	격려할 아군 부대를 선택하십시오
M06666.0	{U:F0BC}버튼으로 격려할 아군 부대를 선택하십시오
M06667.0	증정할 선물이 없습니다
M06668.0	선물을 보내 우호를 높입니다
M06669.0	증정할 상대 세력을 선택하십시오
M06670.0	타세력에 항복을 권고합니다
M06671.0	권고할 상대 세력을 선택하십시오
M06672.0	다른 시설이 없습니다
M06673.0	상태가 일반인 다른 시설이 없습니다
M06674.0	교전 중이 아닌 다른 시설이 없습니다
M06675.0	소환할 수 있는 무장이 없습니다
M06676.0	이동 목적지가 될 시설이 없습니다
M06677.0	자세력의 무장을 시설로 소환합니다
M06678.0	자기 군단의 무장을 대상 시설로 이동시킵니다
M06681.0	대상이 될 무장이 없습니다
M09500.0	대상이 될 무장이 없습니다
M06696.0	실행할 수 있는 임면이 없습니다
M06697.0	임면을 통해 세력의 조직을 정비합니다
M06698.0	실행할 수 있는 시설이 없습니다
M06699.0	시설에 명령을 내려 국력을 높입니다
M06700.0	선물을 받을지 말지 정합니다
M06701.0	요청에 어떻게 대응할지 정합니다
M06702.0	조건을 승낙할지 말지 정합니다
M06704.0	조건을 승낙할지 말지 정합니다
M06703.0	반환에 어떻게 대응할지 정합니다
M06705.0	권고에 따라 항복할지 정합니다
M06706.0	값을 입력합니다
M06707.0	해방할지 처단할지 정합니다
M06708.0	사관을 승낙할지 말지 정합니다
M06709.0	실행할 수 있는 인재 명령이 없습니다
M06710.0	인재를 이동시키거나 발굴합니다
M06711.0	선물에 대한 답을 정합니다
M06712.0	출병 요청에 대한 답을 정합니다
M06713.0	포로 반환에 대한 답을 정합니다
M06714.0	항복 권고에 대한 답을 정합니다
M06715.0	제시된 조건을 승낙할지 정합니다
M06716.0	아이템을 가진 무장이 시설에 없습니다
M06717.0	바꿀 수 있는 작위가 없습니다
M06718.0	이미 병량 매매를 실행했습니다
M06719.0	병량을 구입합니다
M06720.0	병량이 없습니다
M06721.0	병량을 매각합니다
M06722.0	자세력의 시설로 병사를 수송합니다
M06723.0	더 이상 병량을 구입할 수 없습니다
M06724.0	더 이상 병량을 매각할 수 없습니다
M06725.0	괜찮으시면 {U:F0BC}버튼을 한 번 더 누르십시오
M06726.0	이미 명령을 변경했습니다
M06727.0	수송 목적지를 바꿉니다
M06728.0	자세력의 시설로 향합니다
M06729.0	공격 목표를 바꿉니다
M06730.0	부대가 궤주 상태입니다
M06731.0	부대가 혼란 상태입니다
M06732.0	부대가 무진 상태입니다
M06733.0	부대가 허보 상태입니다
M06737.0	더 이상 징병할 수 없습니다
M06738.0	육성P가 부족합니다
M09680.0	육성P가 부족합니다
M06739.0	육성할 수 있는 무장이 없습니다
M06740.0	육성P를 써서 무장을 성장시킵니다
M06741.0	상세 정보를 표시합니다
M06742.0	올릴 수 있는 능력이 없습니다
M06743.0	습득할 수 있는 병법이 없습니다
M06744.0	{V:4761} 병법은 습득할 수 없습니다
M06745.0	명령을 내릴 수 있는 부대가 없습니다
M06746.0	명령을 내릴 수 있는 시설이 없습니다
M06747.0	명령을 내릴 부대를 선택하십시오
M06748.0	경험이 부족합니다
M06749.0	그 도시는 선택할 수 없습니다
M06750.0	공백지입니다
M06751.0	자세력입니다
M06752.0	그 세력은 선택할 수 없습니다
M06753.0	통솔은 올릴 수 없습니다
M06754.0	무력은 올릴 수 없습니다
M06755.0	지력은 올릴 수 없습니다
M06756.0	정치는 올릴 수 없습니다
M06758.0	명령을 내릴 시설을 선택하십시오
M06759.0	시설이나 부대를 선택하십시오
M06760.0	목표 또는 중계점을 선택하십시오
M09150.0	{U:F0BC}버튼으로 무장 선택 후 결정을 누르십시오(복수 가능)
M09152.0	{U:F0BC}버튼으로 무장 선택 후 결정을 누르십시오(복수 가능)
M09273.0	{U:F0BC}버튼으로 무장 선택 후 결정을 누르십시오(복수 가능)
M09276.0	{U:F0BC}버튼으로 무장 선택 후 결정을 누르십시오(복수 가능)
M09278.0	{U:F0BC}버튼으로 무장 선택 후 결정을 누르십시오(복수 가능)
M09151.0	대상 무장을 선택하십시오
M09154.0	이 내용을 해제합니다
M09155.0	군단의 방침을 선택하십시오
M09156.0	위임내용을 선택하십시오
M09157.0	아이템을 선택하십시오
M09158.0	군단을 선택하십시오
M09159.0	군단을 편성하지도 변경하지도 않았습니다
M09160.0	도시를 선택하십시오
M09161.0	{U:F0BC}버튼으로 도시 선택 후 결정을 누르십시오(복수 가능)
M09162.0	더 이상 군단을 만들 수 없습니다
M09163.0	위임방침을 선택하십시오
M09164.0	군사로 임명할 무장을 선택하십시오
M09165.0	작위를 내리지 않았습니다
M09166.0	작위가 바뀌지 않았습니다
M09167.0	이동할 거점을 선택하십시오
M09168.0	탐색할 지역을 선택하십시오
M09169.0	{U:F0BC}버튼으로 탐색할 지역(밝은 지역)을 선택하십시오
M09170.0	대상 부대를 선택하십시오
M09231.0	보고 싶은 동영상을 선택하십시오
M09232.0	이 동영상을 재생합니다
M09233.0	듣고 싶은 곡을 선택하십시오
M09234.0	이 곡을 재생합니다
M09235.0	곡을 선택하십시오
M09236.0	정지합니다
M09237.0	메뉴를 선택하십시오
M09238.0	더 이상 무장을 만들 수 없습니다
M09239.0	새 무장을 만듭니다
M09240.0	등록된 무장이 없습니다
M09242.0	등록된 무장이 없습니다
M09241.0	등록무장의 내용을 바꿉니다
M09243.0	등록무장을 삭제합니다
M09244.0	등록무장을 교환용 데이터로 내보냅니다
M09245.0	다운로드한 무장 데이터를 불러옵니다
M09246.0	삼국지Ⅷ의 등록무장 데이터를 불러옵니다
M09247.0	바뀌지 않았습니다
M09248.0	데이터를 저장하고 초기 메뉴로 돌아갑니다
M09249.0	데이터를 저장하지 않고 초기 메뉴로 돌아갑니다
M09250.0	신무장을 만드십시오
M09251.0	얼굴을 바꿉니다
M09252.0	얼굴을 선택하십시오
M09253.0	부모를 선택할 수 있습니다
M09254.0	부모로 삼을 무장을 선택하십시오
M09255.0	부모를 선택했으므로 상성은 부모에 맞춥니다
M09256.0	상성을 설정합니다
M09257.0	선택된 무장을 삭제합니다
M09258.0	상성을 좋게 할 무장을 선택하십시오
M09259.0	정의감이 강하고 큰 뜻을 품고 있다
M09260.0	사욕보다도 의리를 중시한다
M09261.0	세속적이며 출세욕은 남들만큼 있다
M09262.0	향상심이 넘치며 변혁을 바라고 있다
M09263.0	야심만만하며 자신의 영달을 꾀하고 있다
M09264.0	용맹과감하여 아무것도 두려워하지 않는다
M09265.0	용맹함과 냉정함을 겸비하고 있다
M09266.0	침착하게 상황을 판단한다
M09267.0	늘 만전을 기하여 일에 임한다
M09268.0	성・명・읽기를 입력하십시오
M09269.0	작성을 마칩니다
M09270.0	데이터를 저장하지 않고 마칩니다
M09271.0	내용을 바꿀 무장을 선택하십시오
M09272.0	삭제할 무장을 선택하십시오
M09274.0	파일로 내보낼 무장을 선택하십시오
M09275.0	불러올 무장을 선택하십시오
M09277.0	불러올 무장을 선택하십시오
M09279.0	병사 수가 바뀌지 않았습니다
M09280.0	병량이 바뀌지 않았습니다
M09281.0	정보를 볼 무장을 선택하십시오
M09282.0	정보를 볼 도시를 선택하십시오
M09283.0	정보를 볼 세력을 선택하십시오
M09284.0	정보를 볼 부대를 선택하십시오
M09285.0	정보를 볼 군단을 선택하십시오
M09286.0	정보를 볼 공작물을 선택하십시오
M09287.0	정보를 볼 아이템을 선택하십시오
M09288.0	실행 부대를 선택하십시오
M09289.0	실행 부대를 선택합니다
M09290.0	실행무장을 선택합니다
M09291.0	병사 수를 결정합니다
M09292.0	공작물을 선택합니다
M09293.0	공작물을 선택하십시오
M09294.0	명령을 중지합니다
M09295.0	아이템을 선택합니다
M09296.0	대상 무장을 선택합니다
M09297.0	개별적으로 설정합니다
M09298.0	한꺼번에 설정합니다
M09299.0	대상 시설을 선택합니다
M09300.0	대상 지역을 선택합니다
M09301.0	대상 부대를 선택합니다
M09302.0	대상 시설을 선택하십시오
M09303.0	{U:F0BC}버튼으로 대상 시설을 선택하십시오
M09306.0	대상 세력을 선택합니다
M09307.0	표적 세력을 선택합니다
M09308.0	금의 양을 정합니다
M09309.0	병량의 양을 정합니다
M09310.0	새로 만듭니다
M09311.0	대상의 내용을 바꿉니다
M09312.0	대상을 해체합니다
M09313.0	대상이 될 부대가 없습니다
M09314.0	내용이 바뀌지 않았습니다
M09315.0	출진 부대의 진형을 선택합니다
M09316.0	각 무장의 병법을 선택합니다
M09317.0	이 부대 설정으로 출진합니다
M09318.0	건설을 실행합니다
M09319.0	시설을 방어할 수비대를 결정합니다
M09320.0	위임내용을 바꿀 군단을 선택합니다
M09321.0	위임할 도시를 선택합니다
M09322.0	군단을 맡길 도독을 선택합니다
M09323.0	군단의 위임방침을 선택합니다
M09324.0	이 설정으로 군단을 위임합니다
M09325.0	군사로 임명할 수 있는 무장이 없습니다
M09326.0	군사를 결정합니다
M09327.0	이 무장에게 포상을 내립니다
M09328.0	부하 무장에게 수여합니다
M09329.0	부하 무장에게서 몰수합니다
M09330.0	새 작위를 결정합니다
M09331.0	이 무장을 처단합니다
M09332.0	이 무장을 추방합니다
M09333.0	순찰을 실행합니다
M09334.0	상업을 실행합니다
M09335.0	개간을 실행합니다
M09336.0	보수를 실행합니다
M09337.0	징병을 실행합니다
M09338.0	훈련을 실행합니다
M09339.0	매매를 실행합니다
M09340.0	소환을 실행합니다
M09341.0	이동을 실행합니다
M09342.0	탐색을 실행합니다
M09343.0	등용을 실행합니다
M09344.0	허보를 실행합니다
M09345.0	교란을 실행합니다
M09346.0	격려를 실행합니다
M09347.0	구원을 실행합니다
M09348.0	이간을 실행합니다
M09349.0	화공을 실행합니다
M09350.0	탈취를 실행합니다
M09351.0	유언을 실행합니다
M09352.0	선물을 선택하십시오
M09353.0	증정을 실행합니다
M09354.0	요청을 실행합니다
M09356.0	반환을 실행합니다
M09357.0	권고를 실행합니다
M09358.0	값을 1 줄임
M09359.0	값을 1 늘림
M09360.0	부대 목록 표시
M09361.0	무장 목록 표시
M09362.0	시설 목록 표시
M09363.0	대지도로 전환
M09364.0	중지도로 전환
M09365.0	소지도로 전환
M09366.0	도움말 화면 표시
M09369.0	페이지 전환
M09370.0	보병 계통
M09371.0	기병 계통
M09372.0	노병 계통
M09373.0	수군 계통
M09374.0	공성 계통
M09375.0	지식 계통
M09376.0	술책 계통
M09377.0	책략 계통
M09378.0	진행 페이즈로 넘어갑니다
M09379.0	지도에서 선택하는 방식으로 전환합니다
M09383.0	위에서부터 순서대로 자동 선택합니다
M09384.0	선택을 모두 해제합니다
M09385.0	세이브, 로드, 종료 등을 합니다
M09386.0	여러 가지 정보를 확인합니다
M09387.0	튜토리얼, 용어사전을 표시합니다
M09388.0	도독으로 임명할 무장을 선택하십시오
M09389.0	군주로 삼을 무장을 선택하십시오
M09390.0	병법을 선택하십시오
M09391.0	{U:F0BC}버튼으로 병법 선택 후 결정을 누르십시오(복수 가능)
M09392.0	진형을 선택하십시오
M09393.0	국호를 선택하십시오
M09394.0	작위를 선택하십시오
M09395.0	현재 데이터를 저장합니다
M09396.0	저장한 데이터를 불러옵니다
M09397.0	도시의 정보를 확인합니다
M09398.0	도시의 무장정보를 확인합니다
M09399.0	부대의 정보를 확인합니다
M09400.0	부대의 무장정보를 확인합니다
M09401.0	세력의 정보를 확인합니다
M09402.0	세력의 무장정보를 확인합니다
M09403.0	군단의 정보를 확인합니다
M09404.0	군단의 무장정보를 확인합니다
M09405.0	모든 무장의 정보를 확인합니다
M09406.0	모든 도시의 정보를 확인합니다
M09407.0	모든 세력의 정보를 확인합니다
M09408.0	모든 부대의 정보를 확인합니다
M09409.0	모든 아이템의 정보를 확인합니다
M09410.0	환경 설정을 바꿉니다
M09411.0	초기 메뉴로 돌아갑니다
M09412.0	게임을 종료합니다
M09413.0	모든 관작의 정보를 확인합니다
M09414.0	부대 목록으로 전환합니다
M09415.0	무장 목록으로 전환합니다
M09416.0	시설 목록으로 전환합니다
M09417.0	대지도로 전환합니다
M09418.0	중지도로 전환합니다
M09419.0	소지도로 전환합니다
M09421.0	선택할 수 있는 도시가 없습니다
M09422.0	불러올 데이터가 없습니다
M09423.0	포로를 선택합니다
M09425.0	출진 중인 부대에 퇴각을 명합니다
M09426.0	군단에 대한 위임내용을 선택합니다
M09427.0	승낙합니다
M09428.0	거부합니다
M09429.0	조건을 설정하지 않습니다
M09430.0	최솟값으로 합니다
M09431.0	최댓값으로 합니다
M09432.0	값을 한 자리 줄입니다
M09433.0	수치를 입력합니다
M09434.0	값을 0으로 합니다
M09435.0	조건이 될 만한 것이 없습니다
M09436.0	최솟값입니다
M09437.0	최댓값입니다
M09438.0	더 이상 줄일 수 없습니다
M09439.0	값이 0입니다
M09440.0	세력 색 표시・숨김을 전환합니다
M09441.0	시설 표시・숨김을 전환합니다
M09442.0	부대 표시・숨김을 전환합니다
M09443.0	부대의 행동 방침을 결정합니다
M09444.0	적이 접근할 때의 부대 행동을 정합니다
M09445.0	부대의 자주퇴각 여부를 정합니다
M09446.0	적 부대 추격 여부를 정합니다
M09447.0	시설을 선택하십시오
M09448.0	지역을 선택하십시오
M09449.0	입력할 수 없습니다
M09451.0	군단에 포로가 없습니다
M09453.0	포로 무장을 해방해 자유의 몸으로 만듭니다
M09454.0	군단 운영을 도독에게 일임합니다
M09455.0	내정을 중시하여 국력 향상에 힘씁니다
M09456.0	대상으로 선택할 수 있는 세력이 없습니다
M09457.0	특정 세력 타도를 위한 군사 행동에 힘씁니다
M09458.0	대상으로 선택할 수 있는 시설이 없습니다
M09459.0	특정 시설 공략을 위한 군사 행동에 힘씁니다
M09460.0	선물을 받습니다
M09461.0	선물 받기를 거부합니다
M09462.0	출병 요청을 받아들입니다
M09463.0	출병 요청을 거부합니다
M09464.0	포로 반환을 승낙합니다
M09465.0	포로 반환을 거부합니다
M09466.0	항복 권고를 받아들입니다
M09467.0	항복 권고를 거부합니다
M09469.0	요청을 취소합니다
M09470.0	반환을 취소합니다
M09471.0	군단정보를 표시합니다
M09472.0	통치하는 도시가 없습니다
M09473.0	도시정보를 표시합니다
M09474.0	지역정보를 표시합니다
M09475.0	소속 부대가 없습니다
M09476.0	부대정보를 표시합니다
M09477.0	소속 무장이 없습니다
M09478.0	무장정보를 표시합니다
M09479.0	이전 화면으로 돌아갑니다
M09480.0	아이템을 가지고 있지 않습니다
M09481.0	아이템정보를 표시합니다
M09482.0	세력정보를 표시하고 있습니다
M09483.0	군단정보를 표시하고 있습니다
M09484.0	도시정보를 표시하고 있습니다
M09485.0	지역정보를 표시하고 있습니다
M09486.0	부대정보를 표시하고 있습니다
M09487.0	무장정보를 표시하고 있습니다
M09488.0	아이템정보를 표시하고 있습니다
M09489.0	무장의 상태 정보로 전환합니다
M09490.0	병법 정보로 전환합니다
M09491.0	모든 군단의 정보를 확인합니다
M09492.0	모든 지역의 정보를 확인합니다
M09493.0	지역의 정보를 확인합니다
M09494.0	이 지역에는 무장이 없습니다
M09495.0	지역의 무장정보를 확인합니다
M09496.0	부대가 어디에도 없습니다
M09497.0	아무도 아이템을 가지고 있지 않습니다
M09498.0	군단을 편성하지 않았습니다
M09499.0	대상이 될 도시가 없습니다
M09501.0	성별을 바꿉니다
M09505.0	병량이 부족합니다
M09506.0	수비대가 바뀌지 않았습니다
M09507.0	관작 목록을 표시하고 있습니다
M09508.0	용어사전을 엽니다
M09509.0	게임 설명을 엽니다
M09510.0	버전 정보를 엽니다
M09511.0	문제 해결 안내를 엽니다
M09512.0	이 얼굴은 이미 쓰이고 있습니다
M09514.0	만든 신세력이 없습니다
M09669.0	만든 신세력이 없습니다
M09515.0	구입을 실행합니다
M09516.0	매각을 실행합니다
M09517.0	부모를 선택하지 않았습니다
M09518.0	부모가 설정되어 있습니다
M09519.0	상성이 좋은 무장을 선택하지 않았습니다
M09520.0	통솔 값을 설정합니다
M09521.0	무력 값을 설정합니다
M09522.0	지력 값을 설정합니다
M09523.0	정치 값을 설정합니다
M09524.0	다운로드한 시나리오입니다
M09525.0	진행 상황을 자세히 보고합니다
M09526.0	진행 상황을 간단히 보고합니다
M09527.0	진행 상황을 보고하지 않습니다
M09528.0	진행보고를 표시하고 있습니다
M09529.0	진행보고의 내용을 확인합니다
M09530.0	내릴 수 있는 작위가 없습니다
M09531.0	공석인 작위에 임명합니다
M09532.0	서열을 바꾸지 않고 상위 작위에 임명합니다
M09533.0	임명 중인 작위를 모두 해임합니다
M09534.0	이 도시에는 무장이 없습니다
M09535.0	저장할 곳을 선택하십시오
M09536.0	낙석 공격을 합니다
M09537.0	파괴 공격에 반격합니다
M09538.0	수비병의 공격범위가 넓어집니다
M09539.0	습득한 병법이 없습니다
M09540.0	배를 선택합니다
M09541.0	배를 선택하십시오
M09542.0	이름에 쓸 수 없는 문자가 들어 있습니다
M09543.0	읽기에 전각 문자가 들어 있습니다
M09546.0	모든 등록무장의 생년을 한꺼번에 바꿉니다
M09547.0	생년의 기준으로 삼을 무장을 선택하십시오
M09548.0	현역 무장이 있는 도시를 선택하십시오
M09549.0	금이 부족합니다(실행무장에게 조영 필요)
M09550.0	군주 군단에 남은 도시가 없습니다
M09551.0	경계선 표시를 전환합니다
M09552.0	세력이 임명할 수 있는 작위를 확인합니다
M09553.0	세력이 쓸 수 있는 병법을 확인합니다
M09554.0	세력이 쓸 수 있는 진형을 확인합니다
M09555.0	세력이 쓸 수 있는 배를 확인합니다
M09556.0	임명할 수 있는 작위를 표시하고 있습니다
M09557.0	쓸 수 있는 병법을 표시하고 있습니다
M09558.0	쓸 수 있는 진형을 표시하고 있습니다
M09559.0	쓸 수 있는 배를 표시하고 있습니다
M09560.0	세력도 표시를 전환합니다
M09561.0	부대 표시를 전환합니다
M09562.0	시설 표시를 전환합니다
M09563.0	시야에 들어온 적을 공격합니다
M09564.0	표적을 최우선으로 노립니다
M09565.0	대장의 판단으로 퇴각합니다
M09566.0	목표가 바뀔 때까지 명령을 지킵니다
M09567.0	퇴각한 표적을 추격합니다
M09568.0	퇴각한 표적을 추격하지 않습니다
M09569.0	표적이 사라지면 가까운 적에게 향합니다
M09570.0	표적이 사라지면 소속 시설로 퇴각합니다
M09571.0	설정한 일수가 지나면 진군합니다
M09572.0	능력의 상승치를 정합니다
M09573.0	습득할 병법을 선택합니다
M09574.0	육성 내용을 선택하십시오
M09575.0	육성을 실행합니다
M09601.0	작성을 중지합니다
M09602.0	태어난 해를 설정합니다(15세에 등장)
M09603.0	부모 및 상성이 좋은 무장을 설정합니다
M09604.0	습득할 병법을 설정합니다
M09876.0	습득할 병법을 설정합니다
M09605.0	한글을 입력합니다
M09606.0	히라가나를 입력합니다
M09607.0	가타카나를 입력합니다
M09608.0	알파벳이나 숫자를 입력합니다
M09609.0	기호를 입력합니다
M09617.0	반드시 퇴각할 수 있다
M09618.0	무력이 상승한다
M09619.0	통솔이 상승한다
M09620.0	정치가 상승한다
M09621.0	정치가 상승한다
M09623.0	정치가 상승한다
M09622.0	지력이 상승한다
M09624.0	병법 「파괴」를 습득할 수 있다
M09625.0	병법 「치료」를 습득할 수 있다
M09626.0	병법 「환술」 또는 「요술」을 습득할 수 있다
M09627.0	군주가 소유하면 신망이 상승한다
M09628.0	능력은 상승하지 않는다. 선물용 아이템
M09629.0	능력은 상승하지 않는다. 선물용 아이템
M09630.0	경험 또는 숙련의 획득량이 상승한다
M09637.0	답변 내용을 정합니다
M09638.0	포진과 병법을 정합니다
M09639.0	배치를 바꿉니다
M09640.0	포진을 결정합니다
M09641.0	포진을 중지합니다
M09642.0	배치를 바꿀 무장을 정합니다
M09643.0	배치할 곳을 정합니다
M09644.0	배치를 바꾸지 않았습니다
M09645.0	배치를 결정합니다
M09646.0	배치를 중지합니다
M09647.0	병법을 바꿀 무장을 선택합니다
M09648.0	병법을 바꾸지 않았습니다
M09649.0	병법을 결정합니다
M09650.0	병법 변경을 중지합니다
M09651.0	선물을 정합니다
M09652.0	실행할 수 있는 도시가 없습니다
M09653.0	순찰을 허가할지 정합니다
M09654.0	상업을 허가할지 정합니다
M09655.0	개간을 허가할지 정합니다
M09656.0	보수를 허가할지 정합니다
M09657.0	허가할 내정을 선택하십시오
M09658.0	허가할 내정을 결정합니다
