M12533.0	왔구나, {V:02DA}대⏎자, 각오해라
M12560.2	이 물살이면 피할 수 있다⏎허둥대지 말고 나아가라!
M12564.2	이 물살이면 피할 수 있다⏎허둥대지 말고 나아가라!
M12561.0	이 정도 장치로는⏎물고기 한 마리 못 잡겠네요
M12561.1	후후, 그리 쉽게⏎가라앉아 줄 수는 없지요
M12561.2	이 정도 장치로는⏎사는 물고기만 성가시겠네요
M12562.0	휴우……⏎장치가 허술해서 살았네요
M12562.1	알아채는 게 늦었다면⏎물귀신이 됐을 거예요……
M12562.2	멈추는 게 늦었다면⏎휩쓸리고 말았을 거예요……
M12563.1	이런 곳에서⏎빠져 죽을까 보냐!
M12564.0	이 정도라면, 물살만 읽으면⏎충분히 빠져나갈 수 있다!
M12565.0	이 정도 장치로는⏎물고기 한 마리 못 잡겠군
M12565.1	훗, 그리 쉽게⏎가라앉아 줄까 보냐
M12565.2	이 정도 장치로는⏎사는 물고기만 성가시겠군
M12566.0	휴우……⏎장치가 허술해서 살았다……
M12566.1	알아채는 게 늦었다면⏎물귀신이 됐을 거다……
M12566.2	멈추는 게 늦었다면⏎휩쓸리고 말았을 거다……
M12568.0	이 배는 이제 틀렸어요⏎옆 배로 옮겨 타세요!
M12568.1	배에서 떨어진 병사를⏎한 명이라도 더 구하라!
M12568.2	배는 그리 쉽게 안 가라앉아요⏎침착하게 대처하세요!
M12569.0	부서진 배는 내버려 두세요⏎승무원은 옆 배로 옮겨 타라
M12569.1	배의 침수를 막는 게 최우선⏎모두 힘을 합쳐 작업하세요
M12569.2	물에 빠진 병사를 구하세요⏎한 명이라도 더 건져 올리세요
M12571.0	이 배는 이제 틀렸다⏎옆 배로 옮겨 타라!
M12571.1	배에서 떨어진 병사를⏎한 명이라도 더 구해라!
M12571.2	배는 쉽게 가라앉지 않는다⏎침착하게 대처하라!
M12572.0	부서진 배는 내버려 둬라⏎승무원은 옆 배로 옮기게 하라
M12572.1	배의 침수를 막는 게 최우선⏎모두 힘을 합쳐 작업하라
M12572.2	물에 빠진 병사를 구하라⏎한 명이라도 더 건져 올려라
M12573.2	좀 더 주의했더라면⏎완전히 피할 수 있었건만……
M12575.0	태워라, 태워라!⏎몽땅 태워 버려라!
M12575.1	불을 질러라!⏎모조리 불살라 버려라!
M12579.1	불을 질러라!⏎모조리 불살라 버려라!
M12575.2	불화살을 쏴라!⏎불바다로 만들어 버려라!
M12579.2	불화살을 쏴라!⏎불바다로 만들어 버려라!
M12576.0	모두들,⏎{V:4761} 준비는 됐나요!?
M12576.1	적은 {V:4761}의 존재를 몰라요⏎일제히 불화살을 쏴라!
M12576.2	잘 끌어들였네요⏎지금이에요, 불을 질러라!
M12577.0	아무것도 모르고 왔군요⏎자, 일제히 불을 지르세요
M12577.1	역시 이곳을 지나는군요⏎{V:4761}의 제물로 삼아 주지요
M12577.2	후후, 불빛 보고 뛰어드는⏎불나방 꼴이네요
M12578.0	{V:4761} 병법을 펼치려면⏎이 근처겠지요
M12578.1	이 근처라면⏎잘 탈 것 같네요
M12578.2	지금 불을 지르면⏎배겨 내지 못하겠지요
M12579.0	태워라, 태워라!⏎몽땅 불태워 없애라!
M12580.0	모두들,⏎{V:4761} 준비는 됐겠지!?
M12580.1	적은 {V:4761}에 무방비다⏎일제히 불화살을 쏴라!
M12580.2	잘 끌어들였다⏎지금이다, 불을 질러라!
M12581.0	아무것도 모르고 왔구나⏎자, 일제히 불을 질러라
M12581.1	역시 이곳을 지나는구나⏎{V:4761}의 제물로 삼아 주마
M12581.2	훗, 불빛 보고 뛰어드는⏎불나방 꼴이구나
M12582.0	{V:4761} 병법을 펼치려면⏎이 근처겠지
M12582.1	이 근처라면⏎잘 타겠군
M12582.2	지금 불을 지르면⏎배겨 내지 못하겠지
M12584.1	이런 곳에서⏎타 죽기는 싫어요!
M12584.2	화계라고!⏎그런 건 안 통해!
M12585.0	불길이 번지는 게 느려요⏎충분히 빠져나갈 수 있어요!
M12585.1	정면에는 불길이 없어요⏎전속력으로 빠져나가라!
M12585.2	허둥댈 필요 없어요⏎불이 없는 쪽으로 피하라!
M12586.0	역시 덫을 놓아 뒀군요⏎그 수에는 안 넘어가요
M12611.0	역시 덫을 놓아 뒀군요⏎그 수에는 안 넘어가요
M12586.1	이 정도는 병법의 기초⏎제가 모를 리 없지요
M12586.2	화공으로 제게 도전하려면⏎지형을 더 잘 고르셔야죠
M12587.0	휴우……⏎냄새를 알아채서 살았어요
M12587.1	알아채는 게 늦었다면⏎타 죽을 뻔했어요
M12587.2	발을 멈췄더라면⏎불길에 둘러싸였을 거예요
M12588.1	이런 곳에서⏎타 죽기는 싫다!
M12588.2	화계라고!⏎그딴 게 통할 줄 아느냐!
M12589.0	불길이 번지는 게 느리다⏎충분히 빠져나갈 수 있다!
M12589.1	정면에는 불길이 없다⏎전속력으로 빠져나가라!
M12589.2	허둥댈 필요 없다⏎불이 없는 쪽으로 피하라!
M12590.0	역시 덫을 놓아 뒀나⏎그 수에는 안 넘어간다
M12590.1	이 정도는 병법의 기초⏎내가 모를 줄 알았느냐?
M12590.2	화공으로 내게 도전하려면⏎지형을 더 잘 골라야지
M12591.0	휴우……⏎냄새를 알아채서 살았다
M12591.1	알아채는 게 늦었다면⏎타 죽을 뻔했다
M12591.2	발을 멈췄더라면⏎불길에 둘러싸였겠지
M12593.0	서둘러 불을 끄세요!⏎부상자 구출이 최우선이에요!
M12593.1	이 정도면 불을 끌 수 있어요⏎피해를 최소한으로 줄여라!
M12593.2	지금이면 불길을 잡을 수 있다⏎전원, 진화에 나서라!
M12596.2	지금이면 불길을 잡을 수 있다⏎전원, 진화에 나서라!
M12594.0	이리 된 이상 한 명이라도 더⏎바람 위쪽으로 피신시켜야죠
M12594.1	다행히 바람이 세지 않으니⏎피해를 최소한으로 줄이겠네요
M12595.0	콜록, 콜록……⏎간신히 연기는 피했지만……
M12595.1	으으으……⏎신중하지 못했군요……
M12621.1	으으으……⏎신중하지 못했군요……
M12595.2	좀 더 주의했더라면⏎절반은 구할 수 있었는데……
M12596.0	서둘러 불을 끄게 하라!⏎부상자 구출이 최우선이다!
M12596.1	이 정도면 불을 끌 수 있다⏎피해를 최소한으로 줄여라!
M12597.0	이리 된 이상 한 명이라도 더⏎바람 위쪽으로 피신시켜야지
M12597.1	다행히 바람이 세지 않으니⏎피해를 최소한으로 줄이겠지
M12598.0	쿨럭, 쿨럭……⏎간신히 연기는 피했다만……
M12598.1	으윽……⏎신중하지 못했나……
M12625.1	으윽……⏎신중하지 못했나……
M12598.2	좀 더 주의했더라면⏎절반은 구할 수 있었건만……
M12600.0	좋아, {V:02DA}대를⏎떨어뜨려라!
M12604.0	좋아, {V:02DA}대를⏎떨어뜨려라!
M12600.1	{V:02DA}대 녀석들!⏎지옥에나 떨어져라!
M12604.1	{V:02DA}대 녀석들!⏎지옥에나 떨어져라!
M12600.2	{V:02DA}대 녀석들!⏎걸려들었네!
M12601.0	자, 적을 함정으로⏎끌어들여요!
M12601.1	좋아, 적을 꾀어내어⏎함정으로 끌어들여라!
M12605.1	좋아, 적을 꾀어내어⏎함정으로 끌어들여라!
M12601.2	자, 적을 나락 밑바닥으로⏎떨어뜨려 버려라!
M12605.2	자, 적을 나락 밑바닥으로⏎떨어뜨려 버려라!
M12602.0	아무것도 모르고 왔군요⏎자, 각오하시지요
M12602.1	역시 이곳을 지나는군요⏎함정이 있는 줄도 모르고
M12602.2	좋아요, 예정대로 함정으로⏎적을 끌어들이세요
M12603.0	{V:4761} 준비가 끝났어요⏎이제 적만 지나가면……
M12603.1	이대로라면 적도⏎{V:4761}에 걸려들겠지요
M12603.2	슬슬 {V:4761} 병법을 펼친⏎곳에 다다랐군요
M12604.2	{V:02DA}대 놈들!⏎걸려들었구나!
M12605.0	자, 적을 함정으로⏎끌어들여라!
M12606.0	아무것도 모르고 왔구나⏎자, 각오해라
M12606.1	역시 이곳을 지나는구나⏎함정이 있는 줄도 모르고
M12606.2	좋아, 예정대로 함정으로⏎적을 끌어들여라
M12607.0	{V:4761} 준비 완료다⏎이제 적만 지나가면……
M12607.1	이대로라면 적도⏎{V:4761}에 걸려들겠지
M12607.2	슬슬 {V:4761} 병법을 펼친⏎곳에 다다랐군
M12609.1	함정이라고!⏎에잇, 뚫고 나가라!
M12613.1	함정이라고!⏎에잇, 뚫고 나가라!
M12609.2	피해라, 피해라!⏎구덩이를 피해서 가라!
M12613.2	피해라, 피해라!⏎구덩이를 피해서 가라!
M12610.0	덫이 있어요!⏎전군, 회피하라!
M12610.1	적이 덫을 놓았어요!⏎서둘러 피하세요!
M12610.2	이런 곳에 덫이!⏎큰일 날 뻔했네요
M12611.1	후후, 이 정도 {V:4761}쯤은⏎조심하면 피할 수 있어요
M12611.2	이런 잔꾀를 못 알아볼⏎제가 아니랍니다
M12612.0	휴우……⏎알아채서 다행이야……
M12616.0	휴우……⏎알아채서 다행이야……
M12612.1	곧장 나아갔더라면⏎빠졌을 거예요……
M12612.2	큰일 날 뻔했어요……⏎정찰한 보람이 있었네요
M12614.0	덫이 있다!⏎전군, 회피하라!
M12614.1	적이 덫을 놓았다!⏎서둘러 피해라!
M12614.2	이런 곳에 덫이!⏎큰일 날 뻔했군
M12615.0	역시 덫을 놓아 뒀나⏎그 수에는 넘어가지 않는다
M12615.1	훗, 이 정도 {V:4761}쯤은⏎조심하면 피할 수 있지
M12615.2	이런 잔꾀를 못 알아볼⏎나라고 생각했느냐
M12616.1	곧장 나아갔더라면⏎빠졌겠군……
M12616.2	큰일 날 뻔했다……⏎정찰한 보람이 있었군
M12618.0	당한 만큼⏎되갚아 주겠어요!
M12618.1	큭!⏎두고 봐요!
M12618.2	이놈들!⏎이 원한, 잊지 않겠어요!
M12619.0	다친 아군을 구하세요!⏎한 명이라도 더 구해요!
M12619.1	살릴 수 있는 동료가 많아요!⏎힘을 합쳐 구출해요!
M12620.1	잠시 진군을 멈추세요⏎함정에 빠진 아군을 구하세요
M12621.0	헉, 헉……⏎간신히 기어올라 왔지만……
M12621.2	저답지 않게⏎너무 서둘렀네요……
M12622.0	당한 만큼⏎되갚아 주겠다!
M12622.1	큭!⏎두고 보자!
M12622.2	이놈들!⏎이 원한, 잊지 않겠다!
M12623.0	다친 아군을 구하라!⏎한 명이라도 더 구해라!
M12623.1	살릴 수 있는 동료가 많다!⏎힘을 합쳐 구출하라!
M12624.1	잠시 진군을 멈추게 하자⏎함정에 빠진 아군을 구하라
M12625.0	헉, 헉……⏎간신히 기어올라 왔다만……
M12625.2	나답지 않게⏎너무 서둘렀나……
M12627.0	뭐냐, 너희들!⏎저 무능한 놈을 아직 따르냐!
M12633.0	뭐냐, 너희들!⏎저 무능한 놈을 아직 따르냐!
M12627.1	뭐냐, 너희들!⏎저런 촌뜨기를 아직 따르냐!
M12633.1	뭐냐, 너희들!⏎저런 촌뜨기를 아직 따르냐!
M12627.2	뭐냐, 너희들!⏎저 야만인을 아직 따르냐!
M12633.2	뭐냐, 너희들!⏎저 야만인을 아직 따르냐!
M12628.0	적장은 나와라!⏎병사만 싸우게 할 셈이냐!
M12634.2	적장은 나와라!⏎병사만 싸우게 할 셈이냐!
M12628.1	적장은 나와서 싸워라!⏎병사를 방패로 삼을 셈이냐!
M12634.1	적장은 나와서 싸워라!⏎병사를 방패로 삼을 셈이냐!
M12628.2	적장, 어디 있어!⏎보아하니 도망쳤나 보네!
M12629.0	대장을 데려와라!⏎싸우는 법을 가르쳐 줄게!
M12629.1	너희 대장은 어디 있느냐!⏎오늘도 대책 없이 져 버려라!
M12635.1	너희 대장은 어디 있느냐!⏎오늘도 대책 없이 져 버려라!
M12629.2	너희 대장 따위⏎상대도 안 돼!
M12630.0	너희 대장은 어디 있어!⏎가끔은 전선에 나와 보시지!
M12630.1	너희 대장은 어디 있어!⏎벌써 도망칠 궁리라도 하나!
M12630.2	너희 대장은 어디 있어!⏎보아하니 병사를 버릴 셈이네!
M12631.0	좋아요⏎모두 함께 적장을 욕하세요
M12631.1	모두들, 큰 소리로 적장을⏎비웃어 주세요
M12631.2	여기선 적장에게 망신을 줘서⏎병사의 기를 꺾읍시다
M12632.0	좋아요, 병사들에게 적장을⏎욕하게 해 봅시다
M12632.1	적장에게 {V:4761} 세례를⏎퍼부어 동요시켜 봅시다
M12632.2	어디, 적장을 욕해서⏎사기를 꺾어 볼까요
M12634.0	적장은 어디 있느냐!⏎보아하니 도망쳤구나!
M12635.0	너희 대장 따위⏎상대도 안 된다!
M12635.2	대장을 데려와라!⏎싸우는 법을 가르쳐 주마!
M12636.0	너희 대장은 어디 있느냐!⏎가끔은 전선에 나서 봐라!
M12636.1	너희 대장은 어디 있느냐!⏎벌써 도망칠 궁리냐!
M12636.2	너희 대장은 어디 있느냐!⏎병사를 버릴 셈이냐!
M12637.0	좋아⏎모두 함께 적장을 욕하라
M12637.1	모두들, 큰 소리로 적장을⏎비웃어 줘라
M12637.2	여기선 적장에게 망신을 줘서⏎병사의 기를 꺾어 볼까
M12638.0	좋아, 병사들에게 적장을⏎욕하게 해 볼까
M12638.1	적장에게 {V:4761} 세례를⏎퍼부어 병사를 흔들어 볼까
M12638.2	어디, 적장을 욕해서⏎사기를 꺾어 볼까
M12640.0	그런 잔꾀,⏎나한텐 안 통해!
M12667.0	그런 잔꾀,⏎나한텐 안 통해!
M12640.1	오호호호호!⏎잘도 나불거리는구나!
M12640.2	오호호호호!⏎빈 수레가 요란한 법이지!
M12641.0	방금 퍼부은 욕설,⏎반드시 후회하게 해 주겠어!
M12641.1	이런 수를 쓰다니⏎어지간히 싸우기 무섭나 봐!
M12641.2	건방진 수를 쓰네⏎상대할 마음도 안 생겨!
M12642.0	후후, 그런 수를 쓰다니⏎꼭 애들 싸움 같군요
M12642.1	왁자지껄 잘도 짖는군요⏎목이나 쉬지 않게 조심하세요
M12642.2	참으로 품위 없는 공격이네요⏎상대할 마음도 들지 않아요
M12643.1	사기를 꺾을 속셈이군요……⏎그렇게는 안 되지요
M12644.1	하하하!⏎잘도 나불거리는구나!
M12644.2	하하하!⏎빈 수레가 요란한 법이다!
M12645.0	방금 퍼부은 욕설,⏎반드시 후회하게 해 주마!
M12645.1	이런 수를 쓰다니⏎어지간히 싸우기 무섭나 보군!
M12645.2	건방진 수를 쓰는군⏎상대할 마음도 안 든다!
M12646.0	훗, 그런 수를 쓰다니⏎꼭 애들 싸움 같군
M12646.1	왁자지껄 잘도 짖는군⏎목이나 쉬지 않게 조심해라
M12646.2	참으로 품위 없는 공격이군⏎상대할 마음도 들지 않는다
M12647.1	사기를 꺾을 속셈이군……⏎그렇게는 안 된다
M12649.0	동요하는 건 일부뿐이에요!⏎상관없다, 내버려 둬라!
M12649.1	뭘 허둥대고 있어!⏎현혹되지 마라!
M12649.2	에잇, 허둥대지 마라!⏎싸우지 않는 자는 벤다!
M12650.0	큭, 당하고만 있지는⏎않겠어요!
M12650.2	이렇게 된 이상 조금이라도⏎피해를 줄일 수밖에 없어요!
M12651.0	사기는 전황에 영향을 줘요⏎빨리 손을 써야겠어요
M12651.1	어떻게든 병사들의 의욕을⏎유지하며 싸우게 합시다
M12651.2	어떻게든 동요가 작을 때⏎막아 냅시다
M12652.0	일부 병사가 동요하네요……⏎어떻게든 해야겠어요……
M12652.1	동요하는 건 일부뿐이에요⏎아직은 어떻게든 되겠네요……
M12653.0	동요하는 건 일부뿐이다!⏎상관없다, 내버려 둬라!
M12653.1	뭘 허둥대고 있느냐!⏎현혹되지 마라!
M12653.2	에잇, 허둥대지 마라!⏎싸우지 않는 자는 벨 테다!
M12654.0	큭, 당하고만 있지는⏎않겠다!
M12654.2	이렇게 된 이상 조금이라도⏎피해를 줄여라!
M12655.0	사기는 전황에 영향을 준다⏎빨리 손을 써야겠군
M12655.1	어떻게든 병사들의 의욕을⏎유지하며 싸우게 할 수밖에
M12655.2	어떻게든 동요가 작을 때⏎막아 내야 한다
M12656.0	일부 병사가 동요하는군……⏎어떻게든 해야겠다……
M12656.1	동요하는 건 일부뿐이다⏎아직은 어떻게든 되겠지……
M12658.0	내 {V:4761} 계책을⏎받아 보아라!
M12662.0	내 {V:4761} 계책을⏎받아 보아라!
M12658.1	여기선 모략으로⏎단숨에 끝내겠어요!
M12658.2	좋아, {V:4761} 계책으로⏎적을 휘저어 놓겠다!
M12662.2	좋아, {V:4761} 계책으로⏎적을 휘저어 놓겠다!
M12659.0	지금부터 모략을 쓰겠어요⏎적이 무너지면 공세로 나가라!
M12659.1	적은 후방 경계가 허술해요⏎양동해 {V:4761}에 빠뜨려라!
M12659.2	좋아, 적의 지휘 계통을 끊어⏎통솔이 안 되게 만들어라!
M12663.2	좋아, 적의 지휘 계통을 끊어⏎통솔이 안 되게 만들어라!
M12660.0	마음대로 움직이면 성가셔요⏎얌전히 있어 줘야겠어요
M12660.1	이제야말로 모략을 쓸 때군요⏎그런 다음 공세로 나가겠어요
M12660.2	여기선 제 모략으로⏎전세를 뒤집어 봅시다
M12661.0	여기서 적진을 휘저으면⏎유리해지겠지요……
M12661.1	적병의 불안을 부추겨⏎{V:4761}에 빠뜨려 볼까요……
M12661.2	적이 {V:4761}에 빠지면⏎승기를 잡을 수 있겠군요……
M12662.1	여기선 모략으로⏎단숨에 끝내 볼까!
M12663.0	지금부터 모략을 쓰겠다⏎적이 무너지면 공세로 나가라!
M12663.1	적은 후방 경계가 허술하다⏎양동해 {V:4761}에 빠뜨려라!
M12664.0	마음대로 움직이면 성가시다⏎얌전히 있어 줘야겠군
M12664.1	이제야말로 모략을 쓸 때로군⏎그런 다음 공세로 나간다
M12664.2	여기선 내 모략으로⏎전세를 뒤집어 보겠다
M12665.0	여기서 적진을 휘저으면⏎유리해지겠지……
M12665.1	적병의 불안을 부추겨⏎{V:4761}에 빠뜨려 볼까……
M12665.2	적이 {V:4761}에 빠지면⏎승기를 잡을 수 있으련만……
M12667.1	우릴 {V:4761}에 빠뜨리려고?⏎감히 얕보다니!
M12671.1	우릴 {V:4761}에 빠뜨리려고?⏎감히 얕보다니!
M12667.2	오호호호호!⏎그런 건 안 통해!
M12668.0	이런 {V:4761}에 빠져서야⏎장수 노릇을 어찌 하겠어요!
M12668.1	현혹되지 마라!⏎이건 적의 모략이에요!
M12668.2	적의 수에 넘어가지 마라!⏎명령을 철저히 지키게 하라!
M12669.0	역시 이 수로 나왔군요⏎진작에 다 꿰뚫어 봤어요
M12669.1	이 정도 모략에 걸려들⏎제가 아니에요
M12669.2	후후⏎그 수에 넘어갈 것 같아요?
M12670.0	역시 모략으로 나왔군요……⏎대비해 둔 보람이 있었네요
M12670.1	소란스럽다 했더니⏎적의 모략이었군요……
M12670.2	적이 모략을 노리는군요……⏎경계를 강화해야겠어요……
M12671.2	하하하!⏎안 통한다, 안 통해!
M12672.0	이런 {V:4761}에 빠져서야⏎장수 노릇을 어찌 하겠느냐!
M12672.1	현혹되지 마라!⏎이건 적의 모략이다!
M12672.2	적의 수에 넘어가지 마라!⏎명령을 철저히 지키게 해라!
M12673.0	역시 이 수로 나왔나⏎진작에 다 꿰뚫어 봤다
M12673.1	이 정도 모략에 걸려들⏎나라고 생각했느냐?
M12673.2	훗,⏎그 수에 넘어갈 줄 아느냐
M12674.0	역시 모략으로 나왔나……⏎대비해 둔 보람이 있었다
M12674.1	소란스럽다 했더니⏎적의 모략이었나……
M12674.2	적이 모략을 노리는군……⏎경계를 강화해야겠다……
M12676.0	이놈들!⏎금방 회복해 보이겠어!
M12676.1	에잇, 물러서지 마라!⏎물러서는 자는 벨 거예요!
M12676.2	에잇!⏎당장 태세를 정비하라!
M12680.2	에잇!⏎당장 태세를 정비하라!
M12677.0	이 정도 {V:4761}쯤,⏎금방 회복해 보이겠어요!
M12677.2	이리 된 이상 조금이라도 빨리⏎회복시킬 뿐이에요!
M12678.0	이대로는 위험해요⏎빨리 태세를 정비해야겠어요
M12678.1	이래서는 패배할 게 뻔해⏎내 손으로 진정시켜야 해
M12682.1	이래서는 패배할 게 뻔해⏎내 손으로 진정시켜야 해
M12678.2	이리 된 이상 한시라도 빨리⏎진정시킬 수밖에 없겠네요
M12679.0	어, 어떻게든 피해를⏎최소한으로 막아야 해요……
M12679.1	이, 이건 적의 모략……⏎빨리 수습해야 해요……
M12679.2	다, 당했어요……⏎조금만 더 주의했더라면……
M12680.0	이놈들!⏎금방 회복해 보이겠다!
M12680.1	에잇, 물러서지 마라!⏎물러서는 자는 벤다!
M12681.0	이 정도 {V:4761}쯤,⏎금방 회복해 보이겠다!
M12681.2	이리 된 이상 조금이라도 빨리⏎회복시킬 뿐이다!
M12682.0	이대로는 위험하다⏎빨리 태세를 정비해야겠군
M12682.2	이리 된 이상 한시라도 빨리⏎진정시킬 수밖에 없겠지
M12683.0	어, 어떻게든 피해를⏎최소한으로 막아야 한다……
M12683.1	이, 이건 적의 모략인가……⏎빨리 수습해야 한다……
M12683.2	다, 당했다……⏎조금만 더 주의했더라면……
M12685.0	{C:25b}방원{C:32b}진을 친 우리 부대를⏎혼란시키려 하다니 어리석다!
M12688.0	{C:25b}방원{C:32b}진을 친 우리 부대를⏎혼란시키려 하다니 어리석다!
M12685.1	이 진형을 친 이상⏎{C:25b}혼란{C:32b} 따위 안 통해요!
M12686.1	{C:25b}방원{C:32b}진을 혼란시키려 하다니⏎얼빠진 책사로군요
M12686.2	{C:25b}방원{C:32b}진을 친 우리 부대를⏎혼란시키려다니 어리석은 짓을
M12689.2	{C:25b}방원{C:32b}진을 친 우리 부대를⏎혼란시키려다니 어리석은 짓을
M12687.0	{C:25b}방원{C:32b}진을 치고 있으니⏎첩자의 움직임은 훤히 보여요
M12687.1	{C:25b}방원{C:32b}진을 혼란시키려 하다니⏎헛된 짓을 하는군요
M12687.2	{C:25b}방원{C:32b}진을 친 우리 부대를⏎혼란시키려다니 무모한 짓을
