M07054.0	{V:3DAC} 공략에⏎힘을 빌려주셨으면 합니다
M07066.0	{V:3DAC} 공략에 성공하면⏎우리 세력도 커지겠군……⏎그 제안에 응하기로 하지
M07066.1	이건 우리 군에도⏎득이 되는 이야기로군……⏎맡기로 하지
M07066.2	이번에는 맡아 주지⏎허나 다음은 그쪽 차례일세
M07067.1	이렇게까지 부탁하시니⏎거절할 도리가 없군요⏎수락하겠습니다
M07068.0	알겠네⏎우리 군의 힘을⏎똑똑히 보여 주지
M07068.1	이렇게 청하니 거절할 수 없군⏎맡아 주지
M07068.2	음, 특별히 이의는 없네⏎요청을 받아들이지
M07070.0	맡고 싶은 마음은 있습니다만⏎적어도 {V:03DA}만큼은⏎풀어 주실 수 없겠습니까?
M07070.1	{V:3DAC} 공략에는⏎{V:03DA} 없이는 안 됩니다⏎풀어 주실 수는 없겠습니까?
M07070.2	죄송합니다만⏎{V:03DA}의 석방 없이는⏎거절할 수밖에 없습니다
M07076.2	죄송합니다만⏎{V:03DA}의 석방 없이는⏎거절할 수밖에 없습니다
M07071.0	맡고 싶은 마음은 있지만⏎적어도 {V:03DA}만큼은⏎풀어 줄 수 없을까요?
M07071.1	{V:3DAC} 공략에는⏎{V:03DA} 없이는 안 돼요……⏎풀어 주면 좋겠네요
M07071.2	미안하지만⏎{V:03DA}의 석방 없이는⏎거절할 수밖에 없네요
M07143.2	미안하지만⏎{V:03DA}의 석방 없이는⏎거절할 수밖에 없네요
M07072.0	무슨 말씀인가 했더니……⏎{V:03DA}의 석방이 먼저입니다⏎이야기는 그다음에 합시다
M07144.0	무슨 말씀인가 했더니……⏎{V:03DA}의 석방이 먼저입니다⏎이야기는 그다음에 합시다
M07150.0	무슨 말씀인가 했더니……⏎{V:03DA}의 석방이 먼저입니다⏎이야기는 그다음에 합시다
M07072.1	{V:03DA}의 석방을 바랍니다⏎그것이 최소한의 조건입니다
M07144.1	{V:03DA}의 석방을 바랍니다⏎그것이 최소한의 조건입니다
M07072.2	먼저 {V:03DA}부터 석방하여⏎그만한 성의를⏎보여 주실 수 없겠습니까
M07150.2	먼저 {V:03DA}부터 석방하여⏎그만한 성의를⏎보여 주실 수 없겠습니까
M07073.0	무슨 말인가 했더니……⏎{V:03DA}의 석방이 먼저예요⏎이야기는 그다음이에요!
M07073.1	{V:03DA}의 석방을 요구해요⏎그게 최소한의 조건이에요!
M07073.2	먼저 {V:03DA}부터 석방해서⏎그만한 성의를⏎보여 주셔야겠어요
M07145.2	먼저 {V:03DA}부터 석방해서⏎그만한 성의를⏎보여 주셔야겠어요
M07074.0	포로로 잡혀 있는⏎{V:03DA}만 풀어 주신다면⏎맡도록 하겠습니다
M07146.0	포로로 잡혀 있는⏎{V:03DA}만 풀어 주신다면⏎맡도록 하겠습니다
M07074.1	{V:03DA}의 석방이 조건입니다⏎받아들여 주신다면⏎맡도록 하겠습니다
M07080.1	{V:03DA}의 석방이 조건입니다⏎받아들여 주신다면⏎맡도록 하겠습니다
M07146.1	{V:03DA}의 석방이 조건입니다⏎받아들여 주신다면⏎맡도록 하겠습니다
M07074.2	{V:03DA} 없이는⏎{V:3DAB} 공략도 어렵겠지요⏎{V:03DA}의 석방이 먼저입니다
M07080.2	{V:03DA} 없이는⏎{V:3DAB} 공략도 어렵겠지요⏎{V:03DA}의 석방이 먼저입니다
M07075.0	포로로 잡혀 있는⏎{V:03DA}만 풀어 주신다면⏎맡아도 좋아요
M07075.1	{V:03DA}의 석방이 조건이에요⏎받아들여 준다면⏎맡도록 하지요
M07075.2	{V:03DA} 없이는⏎{V:3DAC} 공략도 어려워요⏎{V:03DA}의 석방이 먼저예요
M07076.0	맡고 싶은 마음은 있습니다만⏎적어도 {V:03DA}만큼은⏎풀어 주시지 않겠습니까?
M07076.1	{V:3DAC} 공략에는⏎{V:03DA} 없이는 안 됩니다⏎풀어 주시지 않겠습니까?
M07077.0	맡고 싶은 마음은 있네만⏎적어도 {V:03DA}만큼은⏎풀어 주지 않겠나?
M07077.1	{V:3DAC} 공략에는⏎{V:03DA} 없이는 안 되네……⏎풀어 줄 수 없겠나?
M07077.2	미안하네만⏎{V:03DA}의 석방 없이는⏎거절할 수밖에 없군
M07078.0	무슨 말인가 했더니……⏎{V:03DA}의 석방이 먼저입니다⏎이야기는 그다음에 합시다
M07078.1	{V:03DA}의 석방을 청합니다⏎그것이 최소한의 조건입니다
M07150.1	{V:03DA}의 석방을 청합니다⏎그것이 최소한의 조건입니다
M07078.2	먼저 {V:03DA}부터 석방하여⏎그만한 성의를⏎보여 주셨으면 합니다
M07079.0	무슨 말인가 했더니……⏎먼저 {V:03DA}부터 석방하라!⏎이야기는 그다음이다
M07079.1	{V:03DA}의 석방을 요구한다⏎그것이 최소한의 조건이다!
M07079.2	먼저 {V:03DA}부터 석방해서⏎그만한 성의를⏎보여 주어야겠군
M07151.2	먼저 {V:03DA}부터 석방해서⏎그만한 성의를⏎보여 주어야겠군
M07080.0	포로로 잡혀 있는 {V:03DA}만⏎풀어 주신다면⏎맡도록 하겠습니다
M07081.0	포로로 잡혀 있는 {V:03DA}만⏎풀어 준다고 한다면⏎맡아 줄 수도 있겠지
M07081.1	{V:03DA}의 석방이 조건일세⏎받아들여 준다면⏎맡아 주지
M07081.2	{V:03DA} 없이는⏎{V:3DAC} 공략은 어렵네⏎{V:03DA}의 석방이 먼저일세
M07083.0	상당한 국력을 소모합니다⏎적어도 금 {V:65}쯤은⏎내주실 수 없겠습니까?
M07089.0	상당한 국력을 소모합니다⏎적어도 금 {V:65}쯤은⏎내주실 수 없겠습니까?
M07083.1	{V:3DAC} 공략에는⏎금이 {V:65} 필요합니다……⏎지불해 주시겠습니까?
M07083.2	죄송합니다만⏎금 {V:65} 정도의 대가는⏎받고 싶습니다
M07084.0	상당한 국력을 소모하게 돼요⏎적어도 금 {V:65}쯤은⏎내주면 좋겠네요
M07084.1	{V:3DAC} 공략에는⏎금이 {V:65} 필요해요……⏎지불해 줄 수 없을까요?
M07084.2	미안하지만⏎금 {V:65} 정도의 대가는⏎받고 싶네요
M07085.0	공짜로 싸움을 시키려 하다니⏎염치없는 이야기군요⏎대가는 금 {V:65}입니다
M07085.1	금 {V:65}도 없이는⏎이야기가 안 되지요
M07085.2	지금까지의 일을 생각하면⏎금 {V:65} 정도는⏎싸다고 생각지 않으십니까?
M07091.2	지금까지의 일을 생각하면⏎금 {V:65} 정도는⏎싸다고 생각지 않으십니까?
M07157.2	지금까지의 일을 생각하면⏎금 {V:65} 정도는⏎싸다고 생각지 않으십니까?
M07086.0	공짜로 싸움을 시키려 하다니⏎염치없는 이야기네요⏎금 {V:65}쯤은 내셔야죠!
M07086.1	금 {V:65}도⏎받지 못한다면⏎이야기가 안 되겠네요
M07086.2	지금까지의 일을 생각하면⏎금 {V:65} 정도는⏎싸다고 생각지 않나요?
M07087.0	전쟁은 이래저래 돈이 듭니다⏎금 {V:65}만 지불하신다면⏎맡도록 하겠습니다
M07087.1	조건은 금 {V:65}입니다⏎받아들여 주신다면⏎맡도록 하겠습니다
M07087.2	{V:3DAC} 공략의 자금입니다⏎금 {V:65}쯤은⏎내주셔야겠습니다
M07088.0	전쟁은 이래저래 돈이 들어요⏎금 {V:65}만 주신다면⏎맡아 드려도 좋아요
M07088.1	금 {V:65}, 그게 조건이에요⏎받아들여 주신다면⏎맡도록 하지요
M07088.2	{V:3DAC} 공략 자금으로⏎금 {V:65}쯤은⏎내주셔야겠네요
M07089.1	{V:3DAC} 공략에는⏎금이 {V:65} 필요합니다……⏎지불해 주실 수는 없겠습니까?
M07089.2	죄송합니다만⏎금 {V:65} 정도의 대가는⏎받았으면 합니다
M07090.0	상당한 국력을 소모하게 되네⏎적어도 금 {V:65}쯤은⏎내주지 않겠나?
M07090.1	{V:3DAC} 공략에는⏎금이 {V:65} 필요하네……⏎지불해 줄 수 없겠나?
M07090.2	미안하네만⏎금 {V:65} 정도의 대가는⏎받고 싶군
M07091.0	공짜로 싸움을 시키려 하다니⏎염치없는 이야기 아닙니까⏎금 {V:65}쯤은 받아야겠군요
M07091.1	금 {V:65}도 없이는⏎이야기가 안 되겠군요
M07092.0	공짜로 싸움을 시키려 하다니⏎염치없는 이야기로군⏎금 {V:65}쯤은 내놓아야겠네
M07092.1	금 {V:65}도 없이는⏎이야기가 안 되지
M07092.2	지금까지의 일을 생각하면⏎금 {V:65} 정도는⏎싸다고 생각하지 않나?
M07164.2	지금까지의 일을 생각하면⏎금 {V:65} 정도는⏎싸다고 생각하지 않나?
M07093.0	전쟁은 이래저래 돈이 듭니다⏎금 {V:65}만 주신다면⏎맡도록 하겠습니다
M07093.1	조건은 금 {V:65}입니다⏎받아들여 주시겠다면⏎맡도록 하겠습니다
M07093.2	{V:3DAC} 공략의 자금입니다⏎금 {V:65}쯤은⏎지불해 주셔야겠습니다
M07094.0	전쟁은 이래저래 돈이 드네⏎금 {V:65}만 지불한다면⏎맡아 줄 수도 있겠지
M07094.1	조건은 금 {V:65}일세⏎받아들여 준다면⏎맡아 주지
M07094.2	{V:3DAC} 공략 자금으로⏎금 {V:65}쯤은⏎내주어야겠네
M07096.0	이쪽도 무리를 하는 것이니⏎적어도 {V:1543}만큼은⏎넘겨주셨으면 합니다만
M07102.0	이쪽도 무리를 하는 것이니⏎적어도 {V:1543}만큼은⏎넘겨주셨으면 합니다만
M07168.0	이쪽도 무리를 하는 것이니⏎적어도 {V:1543}만큼은⏎넘겨주셨으면 합니다만
M07174.0	이쪽도 무리를 하는 것이니⏎적어도 {V:1543}만큼은⏎넘겨주셨으면 합니다만
M07096.1	{V:3DAC} 공략을 위해서입니다⏎{V:1543}의 양도를⏎부탁드릴 수 없겠습니까?
M07096.2	죄송합니다만⏎{V:1543}쯤은⏎주실 수 없겠습니까?
M07168.2	죄송합니다만⏎{V:1543}쯤은⏎주실 수 없겠습니까?
M07097.0	이쪽도 무리를 하는 것이니⏎적어도 {V:1543}만큼은⏎넘겨주면 좋겠네요
M07097.1	{V:3DAC} 공략을 위해서예요⏎{V:1543}의 양도를⏎부탁해도 될까요?
M07097.2	미안하긴 하지만⏎{V:1543}쯤은⏎내주면 좋겠네요
M07098.0	꽤나 염치없는 이야기로군요⏎{V:1543}쯤은⏎준비하실 수 없습니까?
M07098.1	{V:1543}도 없이는⏎이야기가 안 됩니다⏎싫으시면 돌아가 주십시오
M07170.1	{V:1543}도 없이는⏎이야기가 안 됩니다⏎싫으시면 돌아가 주십시오
M07098.2	{V:1543}만 주신다면⏎그런대로⏎성의는 인정하겠습니다
M07104.2	{V:1543}만 주신다면⏎그런대로⏎성의는 인정하겠습니다
M07099.0	꽤나 염치없는 이야기네요⏎{V:1543}쯤은⏎준비할 수 없나요?
M07099.1	{V:1543}도 없이는⏎이야기가 안 돼요⏎싫으면 돌아가도 좋아요
M07099.2	{V:1543}만 내놓는다면⏎그런대로⏎성의는 인정해 드리지요
M07100.0	이쪽도 국력을 쏟는 것이니⏎{V:1543}만 주신다면⏎맡도록 하겠습니다
M07106.0	이쪽도 국력을 쏟는 것이니⏎{V:1543}만 주신다면⏎맡도록 하겠습니다
M07100.1	조건은 {V:1543}입니다⏎넘겨주신다면⏎기꺼이 맡겠습니다
M07106.1	조건은 {V:1543}입니다⏎넘겨주신다면⏎기꺼이 맡겠습니다
M07100.2	{V:3DAC} 공략에는⏎{V:1543} 없이는 안 됩니다⏎넘겨주실 수 없겠습니까?
M07101.0	이쪽도 국력을 쏟는 것이니⏎{V:1543}만 주신다면⏎맡아 드려도 좋아요
M07101.1	{V:1543}, 그게 조건이에요⏎넘겨준다면⏎기꺼이 맡아 드리지요
M07101.2	{V:3DAC} 공략에는⏎{V:1543} 없이는 안 돼요⏎넘겨주면 좋겠네요
M07102.1	{V:3DAC} 공략을 위해서입니다⏎{V:1543}의 양도를⏎부탁드려도 되겠습니까?
M07102.2	죄송합니다만⏎{V:1543}쯤은⏎주시지 않겠습니까?
M07174.2	죄송합니다만⏎{V:1543}쯤은⏎주시지 않겠습니까?
M07103.0	이쪽도 무리를 하는 것이니⏎적어도 {V:1543}만큼은⏎넘겨주었으면 하네만……
M07103.1	{V:3DAC} 공략을 위해서일세⏎{V:1543}의 양도를⏎부탁할 수 없겠나?
M07103.2	미안하긴 하네만⏎{V:1543}쯤은⏎받고 싶군
M07104.0	꽤나 염치없는 이야기로군요⏎{V:1543}쯤은⏎준비해 주시지 않겠습니까?
M07104.1	{V:1543}도 없이는⏎이야기가 되지 않습니다⏎싫으시면 돌아가 주시지요
M07176.1	{V:1543}도 없이는⏎이야기가 되지 않습니다⏎싫으시면 돌아가 주시지요
M07105.0	꽤나 염치없는 이야기로군⏎{V:1543}쯤은⏎준비할 수 없단 말인가?
M07177.0	꽤나 염치없는 이야기로군⏎{V:1543}쯤은⏎준비할 수 없단 말인가?
M07105.1	{V:1543}도 없이는⏎이야기가 안 되겠군⏎싫다면 돌아가 주게!
M07105.2	{V:1543}만 내놓는다면⏎그런대로⏎성의는 인정하지
M07106.2	{V:3DAC} 공략에는⏎{V:1543} 없이는 안 됩니다⏎넘겨주시지 않겠습니까?
M07107.0	이쪽도 국력을 쏟는 것이니⏎{V:1543}만 준다면⏎맡아 줄 수도 있겠지
M07107.1	조건은 {V:1543}일세⏎넘겨준다면⏎기꺼이 맡아 주지
M07107.2	{V:3DAC} 공략에는⏎{V:1543} 없이는 안 되네⏎넘겨주지 않겠나?
M07109.0	죄송합니다만⏎출병할 형편이 못 됩니다⏎다음 기회로 미뤄 주십시오
M07115.0	죄송합니다만⏎출병할 형편이 못 됩니다⏎다음 기회로 미뤄 주십시오
M07109.1	승낙하려 했습니다만⏎부하들이 만류했습니다⏎이 일은 다음 기회에
M07115.1	승낙하려 했습니다만⏎부하들이 만류했습니다⏎이 일은 다음 기회에
M07181.1	승낙하려 했습니다만⏎부하들이 만류했습니다⏎이 일은 다음 기회에
M07187.1	승낙하려 했습니다만⏎부하들이 만류했습니다⏎이 일은 다음 기회에
M07109.2	다름 아닌 귀하의 부탁인 줄은⏎알고 있습니다만⏎이번에는 단념해 주십시오
M07115.2	다름 아닌 귀하의 부탁인 줄은⏎알고 있습니다만⏎이번에는 단념해 주십시오
M07181.2	다름 아닌 귀하의 부탁인 줄은⏎알고 있습니다만⏎이번에는 단념해 주십시오
M07187.2	다름 아닌 귀하의 부탁인 줄은⏎알고 있습니다만⏎이번에는 단념해 주십시오
M07110.0	미안하지만⏎지금은 출병할 형편이 못 돼요⏎다음 기회로 미뤄 주세요
M07110.1	승낙하려 했지만⏎부하들이 말려서요⏎……미안해요
M07110.2	다름 아닌 귀하의 부탁인 줄은⏎알고 있지만⏎이번에는 단념해 주세요
M07111.0	허튼소리를……⏎그런 요청을⏎들어줄 거라 생각했습니까!
M07111.1	거절하겠습니다⏎……어부지리를 얻지 못해⏎아쉽게 됐군요
M07111.2	상대를 보고 말씀하십시오⏎우리 군을 얕보는 것은⏎그만두셨으면 합니다
M07112.0	허튼소리 마세요!⏎그런 요청을⏎들어줄 거라 생각하나요!?
M07112.1	거절하겠어요!⏎……어부지리를 얻지 못해⏎아쉽게 됐네요!
M07112.2	상대를 보고 말하시지 그래요?⏎우리 군을 얕보는 것도⏎적당히 좀 하셨으면 하네요!
M07113.0	우리 군에는⏎그만한 여유가 없습니다⏎다음 기회로 미뤄 주십시오
M07113.1	우리 군에는 우리 군 나름의⏎전략이 있습니다⏎그 부탁은 맡기 어렵습니다
M07119.1	우리 군에는 우리 군 나름의⏎전략이 있습니다⏎그 부탁은 맡기 어렵습니다
M07113.2	귀군의 실력이라면⏎우리 군의 힘 따위⏎필요 없지 않겠습니까?
M07119.2	귀군의 실력이라면⏎우리 군의 힘 따위⏎필요 없지 않겠습니까?
M07114.0	우리 군에는⏎그만한 여유가 없어요⏎다음 기회로 미뤄 주세요
M07114.1	우리 군에는 우리 군 나름의⏎전략이 있어요⏎맡을 수 없겠네요
M07114.2	귀군의 실력이라면⏎우리 군의 힘 따위⏎필요 없잖아요?
M07116.0	미안하네만⏎지금은 출병할 형편이 못 되네⏎다음 기회로 미뤄 주게
M07116.1	승낙하려 했네만⏎부하들이 말려서 말일세⏎……미안하네
M07188.1	승낙하려 했네만⏎부하들이 말려서 말일세⏎……미안하네
M07116.2	다름 아닌 그쪽 부탁인 줄은⏎알고 있네만⏎이번에는 단념해 주게
M07117.0	허튼소리를……⏎그런 요청을⏎들어줄 줄 알았습니까
M07117.1	거절하겠습니다⏎……어부지리를 얻지 못해⏎아쉽게 되었군요
M07117.2	상대를 봐 가며 말씀하시지요⏎우리 군을 얕보는 것은⏎그만두셨으면 합니다
M07118.0	헛소리 마라!⏎그런 요청을⏎들어줄 줄 알았느냐!
M07118.1	거절한다!⏎……어부지리를 얻지 못해⏎아쉽게 됐군!
M07118.2	상대를 봐 가며 말하라!⏎우리 군을 얕보는 것도⏎정도껏 하거라!
M07119.0	우리 군에는⏎그만한 여유가 없습니다⏎다음 기회로 미뤄 주시지요
M07120.0	우리 군에는⏎그만한 여유가 없네⏎다음 기회로 미뤄 주게
M07120.1	우리 군에는 우리 군 나름의⏎전략이 있네⏎맡을 수 없겠군
M07120.2	그쪽 군의 실력이라면⏎우리 군의 힘 따위⏎필요 없을 테지
M07121.0	{V:1FC7}군은⏎{V:3DA3} 출병 요청을⏎수락했습니다
M07122.0	{V:1FC7}군은⏎{V:20C7}군과의 공동 출병을⏎무효로 했습니다
M07123.0	{V:1FC7}군은⏎{V:3DA3} 출병 요청을⏎거절했습니다
M07125.0	우리 군의 {V:03DA},⏎풀어 주실 수는⏎없을까요?
M07125.1	부탁해요⏎어떻게든 {V:03DA}만은⏎돌려주실 수 없을까요
M07125.2	우리 군도 원만하게⏎일을 매듭짓고 싶어요……⏎{V:03DA}의 석방을 부탁해요
M07125.3	{V:03DA} 장군은 우리 군에⏎없어서는 안 될 사람이에요⏎어떻게든 선처해 줄 수 없나요
M07126.0	우리 군의 {V:03DA},⏎풀어 줄 수 없겠나?
M07126.1	부탁하네⏎어떻게든 {V:03DA}만은⏎돌려주었으면 하네
M07126.2	우리 군도 원만하게⏎일을 매듭짓고 싶네……⏎{V:03DA}의 석방을 부탁하네
M07126.3	{V:03DA} 장군은 우리 군에⏎없어서는 안 될 사람일세⏎어떻게 안 되겠나?
M07127.0	우리 군의 {V:03DA},⏎풀어 주실 수는⏎없겠습니까?
M07127.1	간청드립니다⏎부디 {V:03DA}만은⏎돌려주십시오
M07127.2	우리 군도 원만하게⏎일을 매듭짓고 싶습니다……⏎{V:03DA}의 석방을 부탁합니다
M07127.3	{V:03DA} 장군은 우리 군에⏎없어서는 안 될 사람⏎부디 너그러운 처분을……
M07129.0	그렇게까지 부탁하시니⏎거절할 수 없군요⏎즉시 돌려보내겠습니다
M07129.1	알겠습니다⏎곧바로 풀어 드리지요
M07135.1	알겠습니다⏎곧바로 풀어 드리지요
M07129.2	안심하십시오⏎이 {V:01DA}의 이름을 걸고⏎포로를 석방하겠습니다
M07130.0	그렇게까지 부탁하니⏎거절할 수 없네요⏎즉시 돌려보내지요
M07130.1	알겠어요⏎곧바로 풀어 드리지요
M07130.2	안심하세요⏎이 {V:01DA}의 이름을 걸고⏎포로를 석방하지요
M07131.0	특별히 풀어 드리지요⏎앞으로는 우리 군에⏎대드는 일이 없기를 바랍니다
M07131.1	여기서 빚을 지워 두면⏎훗날 이용할 수 있겠군요……⏎좋습니다, 넘겨 드리지요
M07131.2	이번에는 특별히 석방합니다⏎하지만 다음은 없다고⏎생각하십시오
M07137.2	이번에는 특별히 석방합니다⏎하지만 다음은 없다고⏎생각하십시오
M07132.0	특별히 풀어 드리지요⏎앞으로는 우리 군에⏎대드는 일이 없도록 하세요
M07132.1	여기서 빚을 지워 두면⏎훗날 이용할 수 있겠네요……⏎좋아요, 넘겨 드리지요
M07132.2	이번에는 특별히⏎풀어 드리지요⏎하지만 다음은 없어요!
M07133.0	알겠습니다⏎우리 군의 성의를⏎잊지 말아 주십시오
M07133.1	이렇게까지 부탁하시니⏎거절할 수가 없습니다⏎돌려 드리겠습니다
M07139.1	이렇게까지 부탁하시니⏎거절할 수가 없습니다⏎돌려 드리겠습니다
M07133.2	특별히 이의는 없습니다⏎석방하겠습니다
M07139.2	특별히 이의는 없습니다⏎석방하겠습니다
M07134.0	알겠어요⏎우리 군의 성의를⏎잊지 마세요
M07134.1	이렇게까지 부탁하시니⏎거절할 수가 없네요⏎돌려 드릴게요
M07134.2	특별히 이의는 없어요⏎석방하지요
M07135.0	그렇게까지 부탁하시니⏎거절할 수 없습니다⏎즉시 돌려 드리지요
M07135.2	부디 안심하십시오⏎이 {V:01DA}의 이름을 걸고⏎포로를 석방해 드리겠습니다
M07136.0	그렇게까지 부탁하니⏎거절할 수 없군⏎즉시 돌려주지
M07136.1	음, 알겠네⏎곧바로 풀어 주지
M07136.2	안심하게⏎이 {V:01DA}의 이름을 걸고⏎포로를 석방하겠네
M07137.0	특별히 풀어 드리지요⏎앞으로는 우리 군에⏎대들지 말아 주십시오
M07137.1	여기서 빚을 지워 두면⏎훗날 이용할 수 있겠군……⏎좋습니다, 넘겨 드리지요
M07138.0	특별히 풀어 주마⏎앞으로는 우리 군에⏎대들지 말거라!
M07138.1	여기서 빚을 지워 두면⏎훗날 이용할 수 있겠군……⏎좋다, 넘겨주마
M07138.2	이번에는 특별히⏎풀어 주마!⏎허나 다음은 없는 줄 알라!
M07139.0	알겠습니다⏎우리 군의 성의를⏎잊지 마십시오
M07140.0	알겠네⏎우리 군의 성의를⏎잊지 말게
M07140.1	이렇게까지 부탁하니⏎거절할 수가 없군⏎돌려주지
M07140.2	음, 특별히 이의는 없네⏎석방하지
M07142.0	응하고는 싶습니다만⏎적어도 {V:03DA}만큼은⏎풀어 주실 수 없겠습니까?
M07142.1	우리 군의 {V:03DA}도⏎그쪽에 있을 것입니다⏎{V:03DA}의 석방이 먼저입니다
M07142.2	죄송합니다만⏎{V:03DA}의 석방 없이는⏎거절할 도리밖에 없습니다
M07143.0	응하고는 싶지만⏎먼저 {V:03DA}부터⏎풀어 줄 수 없을까요?
M07143.1	우리 군의 {V:03DA}도⏎그쪽에 있지요?⏎{V:03DA}의 석방이 먼저예요
M07144.2	먼저 {V:03DA}부터 석방하여⏎그만한 성의를⏎보여 줄 수 없겠습니까
M07145.0	무슨 말인가 했더니……⏎{V:03DA}의 석방이 먼저예요!⏎이야기는 그다음이에요!
M07145.1	{V:03DA}의 석방을 요구해요!⏎그게 최소한의 조건이에요!
M07146.2	대등한 교섭이 아니면⏎수지가 맞지 않습니다⏎{V:03DA}의 석방이 조건입니다
M07152.2	대등한 교섭이 아니면⏎수지가 맞지 않습니다⏎{V:03DA}의 석방이 조건입니다
M07147.0	포로로 잡혀 있는⏎{V:03DA}만 풀어 준다면⏎응해도 좋아요
M07147.1	{V:03DA}의 석방이 조건이에요⏎받아들여 준다면⏎응하도록 하지요
M07147.2	대등한 교섭이 아니면⏎수지가 맞지 않아요⏎{V:03DA}의 석방이 조건이에요
M07148.0	응하고는 싶습니다만⏎먼저 {V:03DA}부터⏎풀어 주시지 않겠습니까?
M07148.1	우리 군의 {V:03DA}도⏎그쪽에 있지 않습니까?⏎{V:03DA}의 석방이 먼저입니다
M07148.2	죄송합니다만⏎{V:03DA}의 석방 없이는⏎거절할 수밖에 없습니다
M07149.0	응하고는 싶네만……⏎먼저 {V:03DA}부터⏎풀어 주지 않겠나?
M07149.1	우리 군의 {V:03DA}도⏎그쪽에 있지 않나?⏎{V:03DA}의 석방이 먼저일세
M07149.2	미안하네만⏎{V:03DA}의 석방 없이는⏎거절할 수밖에 없군
M07151.0	무슨 헛소리인가 했더니……⏎먼저 {V:03DA}부터 석방하라⏎이야기는 그다음이다
M07151.1	{V:03DA}의 석방을 요구한다⏎그것이 최소한의 조건이다
M07152.0	포로로 잡혀 있는⏎{V:03DA}만 풀어 주신다면⏎이쪽도 넘겨 드리지요
M07152.1	{V:03DA}의 석방이 조건입니다⏎받아들여 주신다면⏎석방하겠습니다
M07153.0	포로로 잡혀 있는⏎{V:03DA}만 풀어 준다면⏎이쪽도 넘겨주지
M07153.1	{V:03DA}의 석방이 조건일세⏎받아들여 준다면⏎석방하지
M07153.2	대등한 교섭이 아니면⏎수지가 맞지 않지⏎{V:03DA}의 석방이 조건일세
M07155.0	친한 사이에도 예의는 있는 법⏎적어도 금 {V:65}쯤은⏎지불해 주실 수 없겠습니까?
M07155.1	{V:03DA}쯤 되는 인물입니다⏎금 {V:65} 정도는⏎지불해 주실 수 없겠습니까?
M07155.2	죄송합니다만⏎금 {V:65} 정도의 대가는⏎받았으면 합니다
M07156.0	친한 사이에도 예의는 있는 법⏎적어도 금 {V:65}쯤은⏎지불해 주면 좋겠네요
M07156.1	{V:03DA}쯤 되는 인물이잖아요⏎금 {V:65} 정도는⏎내주셔야겠어요
M07156.2	미안하지만⏎금 {V:65} 정도는⏎받고 싶네요
