M08914.0	{V:01DA} 장군은⏎도적떼에게 도리어 당했습니다
M08947.3	내가 뭘 하든⏎네놈이 상관할 일은 아니지?⏎⏎방해되니까⏎딴 데 가 있어!
M08948.0	{V:01DA}의 처우를 정하십시오⏎　실행무장: {V:02DA}
M08949.0	{V:02DA} 님은 {V:02DA} 님의⏎방식으로, 저는 제 방식으로⏎만백성을 위해 힘씁시다
M08949.1	우리 서로⏎천하 만백성을 위해⏎힘써 나갑시다
M08949.2	말귀를 잘 알아듣는 친구로군⏎흠……⏎싹수가 있을지도 모르겠군……
M08949.3	알면 됐다!⏎앞으로도⏎방해하지 마라!
M08950.0	무슨 짓을 해도⏎천명은 바꿀 수 없습니다
M08950.1	이런 짓을 되풀이해도⏎천명은 거스를 수 없습니다
M08950.2	껄껄껄……⏎머지않아⏎또 만나게 될 것 같구먼
M08950.3	이봐! 거울을 잘 들여다봐라!⏎죽을상이 뚜렷하게⏎떠올라 있다고!
M08951.0	무슨…… 윽……
M08951.1	헛소리를……⏎……윽……
M08952.0	{V:01DA} 장군은 {C:25b}아미{C:32b}산에서⏎{C:25b}좌자{C:32b}와 마주쳤다
M08953.0	어떤가?⏎나와 함께 선도의 진수를⏎터득해 보지 않겠나?⏎지금이라면 금 {V:65}에⏎가르쳐 주겠네
M08954.0	그렇다면 이것을 써서⏎부지런히 정진하게
M08955.0	금 {V:65}에 {C:25b}둔갑천서{C:32b}가⏎{V:01DA}의 손에 들어왔습니다
M08956.0	아깝구먼……⏎할 수 없지⏎얼굴 본 값만 받고 봐주지
M08957.0	{C:25b}좌자{C:32b}가 {V:01DA}에게서⏎금을 {V:65} 뺏어 갔습니다
M08958.0	{V:3DA2}에 들른 {V:01DA}에게⏎괴이한 돌풍이 몰아쳤다
M08959.0	원래 {C:25b}둔갑천서{C:32b}는 내 것이었네⏎어떤가⏎돌려주지 않겠나?
M08960.0	뭐라? 싱겁구먼⏎그런 착한 척하는 놈에게⏎{C:25b}둔갑천서{C:32b}는 과분하지
M08961.0	{C:25b}좌자{C:32b}가 {V:01DA}에게서⏎{C:25b}둔갑천서{C:32b}를 빼앗아 갔습니다
M08962.0	껄껄껄……⏎솔직해서 좋구먼⏎덤일세, 받게나!
M08963.0	{V:3DA2}에서 {V:01DA} 장군은⏎{C:25b}예형{C:32b}과 마주쳤다
M08964.0	군침 흘리는 패배자 군단!⏎이번엔 누구를⏎불행하게 만들 셈이냐?
M08964.1	재주 없는 무능한 {V:1FC7}군!⏎대체 무슨 꿍꿍이로⏎무식함을 드러내느냐?
M08964.2	물가의 무능한 개구리야!⏎뭍에 올라와서 뭘 하느냐?⏎장강이라도 말라붙었느냐?
M08964.3	원숭이 무리의 대장!⏎얼빠진 낯짝으로 뭘 하느냐?
M08964.4	맹수만도 못한 {V:1FC7}군!⏎멍청한 낯짝으로 어딜 가느냐?
M08964.5	이봐!⏎이 몸보다 한참 무식한 범부!⏎멍청한 낯짝으로 뭘 하느냐?
M08965.0	쳇! 도망쳤군⏎배짱도 없는 놈
M08966.0	멍청한 놈!⏎이 {C:25b}예형{C:32b}이 너 따위에게⏎베일 리가 있겠느냐?
M08967.0	{V:02DA}, {V:01DA} 두 사람은⏎{V:3DA2}에서 마주쳤다
M08967.1	{V:02DA} 장군이 간 {V:3DA2}에⏎마침 {V:01DA}의 숙소가 있었다
M08967.2	{V:3DA2}에 들른 {V:02DA}의 앞에⏎불쑥 {V:01DA}의 모습이 나타났다
M08969.0	자네, 제법 싹수가 있구먼!⏎일단 나 대신⏎술값 {V:65} 좀 내 주게!
M08969.1	이거 {V:02DA} 아닌가!⏎내가 {C:25b}좌자{C:32b}일세⏎미안하네만 금 {V:65} 주겠나?
M08969.2	거기 자네!⏎가련한 이 늙은이를 위해⏎술값 {V:65} 좀 내 주겠나!
M08970.0	거기 너!⏎한턱낼 기회를 줄 테니⏎금 {V:65} 내놓고 가라!
M08970.1	마침 잘 왔다!⏎술값이 모자라⏎금 {V:65} 두고 가라!
M08970.2	아무 말 할 필요 없다!⏎내 숙박비를 위해⏎잠자코 금 {V:65} 내놔라!
M08972.0	수고했네!⏎다음에도 부탁하지
M08972.1	생각했던 대로⏎싹수가 있구먼
M08972.2	그럼⏎나는 바빠서⏎이만 실례하겠네
M08973.0	수고했다!⏎또 부탁해 줄 테니⏎영광으로 알아라
M08973.1	좋아! 칭찬해 주마⏎다음에도 부탁한다
M08973.2	다 냈느냐?⏎그렇다면 냉큼⏎꺼져 버려!
M08975.0	원 참……⏎보통 인간이⏎나를 이길 리가 없지 않은가?
M08975.1	헛수고를……⏎수행을 쌓고 다시 오게나
M08975.2	조금 더⏎냉정하게⏎생각하는 게 좋을 걸세
M08976.0	무리한 짓은⏎그만두는 게 현명할걸?⏎시간 낭비다
M08976.1	분수도 모르는 놈!⏎이기지도 못할 싸움을 걸다니⏎멍청한 녀석
M08976.2	이래 봬도 나도 명사다⏎날 베면 백성이 반발할걸?⏎뭐, 벨 수 있다면 말이지만
M08977.0	{C:25b}평양({C:25b}낙양{C:32b}){C:32b}에서 {V:01DA} 장군은⏎탐색을 하던 중에⏎{C:25b}채염{C:32b}의 소식을 듣게 되었다⏎{C:25b}채염{C:32b}은 {C:25b}동탁{C:32b}의 난리 통에⏎흉노에게 끌려가⏎지금도 그 땅에 산다고 한다
M08978.0	흉노에게 금을 {V:65} 보내⏎{C:25b}채염{C:32b}을 데려오시겠습니까?⏎　실행무장: {V:01DA}⏎　군단금: {V:66}
M08979.0	흉노가 {C:25b}채염{C:32b}과 함께⏎금 {V:65}도 돌려보냈습니다
M08980.0	아아, 다시 이 땅으로⏎돌아올 날이 오다니……⏎⏎{V:01DA} 님,⏎답례로 흉노에서 배운 것을⏎가르쳐 드리겠어요
M08981.0	그 뒤로 {C:25b}채염{C:32b}이 중원 땅을 밟는 일은⏎두 번 다시 없었다……
M08982.0	{V:01DA} 장군이 찾아갔을 때⏎{V:3DA2}의 백성은⏎{V:79}에 시달리고 있었다
M08982.1	{V:01DA}의 {V:3DA2} 방문에⏎{V:79}에 시달리는 백성들이⏎{V:01DA}의 곁으로 몰려왔다
M08983.0	{V:02DA} 님!⏎부디 {V:79}에서⏎저희를 구해 주십시오!
M08983.1	{V:79}의 피해가 극심해⏎살아가기조차 힘듭니다⏎{V:02DA} 님, 자비를……
M08983.2	{V:79}에 가족이……⏎{V:02DA} 님, 부디 도와주십시오!
M08984.0	{V:1FC7}군 분들은⏎백성 따위는⏎아무래도 좋다는 건가……
M08984.1	{V:02DA} 님은⏎자기만 좋으면⏎남은 안중에도 없으신가……
M08984.2	이것이 {V:1FC7}군의⏎방식이란 말이군……
M08985.0	{V:02DA} 님,⏎저희 의용병 {V:65}명도⏎나라를 위해 싸우게 하십시오!
M08985.1	{V:02DA} 님,⏎의용병 {V:65}명 모았습니다⏎부디 저희를 병사로!
M08985.2	{V:02DA} 님,⏎의용병 {V:65}명 모았습니다⏎{V:1FC7}군에 받아 주십시오!
M08986.0	{V:01DA} 장군은⏎의용병 {V:65}명을⏎{V:3DA2} 병사로 편입했습니다
M08987.0	감사합니다⏎하루빨리 공을 세울 수 있도록⏎힘내겠습니다!
M08987.1	저희의 활약을⏎기대해 주십시오
M08987.2	나라를 위해⏎분골쇄신하겠습니다!
M08988.0	저희의 의욕을⏎알아주셨으면 했는데……
M08988.1	{V:02DA} 님이라면⏎저희 마음에 응해 주실 거라고⏎생각했는데……
M08988.2	저희의 끓어오르는 마음을⏎헤아려 주셨으면 했는데……
M08989.0	백성들은 떠나갔습니다
M08989.1	백성들이 {V:02DA}에게서⏎물러갔습니다
M08990.0	못된 {V:79} 놈이⏎판을 치고 있어서……⏎도와주실 수 없겠습니까?
M08990.1	{V:02DA} 님,⏎부디 못된 {V:79} 놈을⏎여기서 쫓아내 주십시오!
M08990.2	{V:02DA} 님,⏎부디 못된 {V:79}에게서⏎저희를 구해 주십시오!
M08991.0	{V:01DA} 장군은⏎악덕 {V:79}들을⏎보기 좋게 몰아냈습니다
M08991.1	{V:01DA} 장군은 {V:3DA2}에서⏎악덕 {V:79}들을 쫓았습니다
M08991.2	{V:01DA}의 활약으로⏎악덕 {V:79}들은⏎{V:3DA2}에서 달아났습니다
M08992.0	악덕 {V:79} 제거에⏎{V:01DA} 장군이 실패했습니다
M08992.1	{V:01DA}의 노력도 헛되이⏎악덕 {V:79}들은 {V:3DA2}에⏎눌러앉았습니다
M08992.2	{V:01DA} 장군은⏎악덕 {V:79}들에게 역습당했습니다
M08993.0	{V:02DA} 님도⏎저놈들과 한패였단 말인가……
M08993.1	{V:1FC7}군에서는⏎악덕 {V:79} 같은 자들이⏎이득을 보는 모양이군
M08993.2	이런 나라에서는⏎어서 떠나고 싶구나
M08994.0	{V:3DA2}에 들른 {V:01DA}에게⏎웬 {V:79} 한 명이 다가왔다
M08994.1	{V:01DA}의 {V:3DA2} 방문을⏎{V:79} 한 명이 활짝 웃으며⏎반겨 맞았다
M08994.2	{V:3DA2}에서는⏎{V:79} 한 명이 {V:01DA}에게⏎찾아와 있었다
M08995.0	오늘은 {V:02DA} 님께⏎긴히 부탁드릴 것이⏎있습니다만……⏎금을 {V:65} 드릴 테니⏎저에게 특별한 편의를⏎봐주실 수 없겠습니까?
M08995.1	{V:02DA} 님,⏎여기, 금 {V:65}입니다⏎⏎이것으로 저를⏎잘 봐주실 수 없겠습니까?
M08995.2	요즘은 이래저래⏎백성들이 시끄러워서⏎견딜 수가 없습니다⏎{V:02DA} 님,⏎금을 {V:65} 드릴 테니⏎편의를 봐주실 수 없겠습니까?
M08996.0	역시 {V:02DA} 님이십니다⏎앞으로도 서로 주고받으며⏎잘 지내 보시지요
M08996.1	{V:02DA} 님이라면⏎받아 주실 거라고⏎믿고 있었습니다
M08996.2	{V:02DA} 님과 손잡는다면⏎두려울 것이 없겠군요
M08997.0	{V:02DA} 님도 짓궂으셔……⏎그럼 금 {V:65}에⏎거래를 매듭짓지요
M08997.1	{V:02DA} 님도 수완가시군요⏎그렇다면⏎금 {V:65}까지 내지요
M08997.2	금을 {V:65} 드리면⏎{V:02DA} 님도 납득하시겠지요
M08998.0	흥⏎꽉 막힌 녀석 같으니……
M08998.1	원 참……⏎{V:1FC7}군 분들과는⏎영 거래하기 어렵군
M08998.2	{V:02DA} 님도⏎보는 눈이 없군……
M08999.0	{V:3DA2}에 들른 {V:01DA}에게⏎한 나그네가 다가왔다
M08999.1	{V:3DA2}에 들른⏎{V:01DA}의 곁으로⏎한 나그네가 다가왔다
M08999.2	{V:3DA2}에서 {V:01DA}에게⏎한 나그네가 말을 걸어왔다
M09000.0	이 근방에서⏎장사를 하고 싶습니다만⏎허락해 주실 수 없겠습니까?
M09000.1	이 근방에서⏎무대 공연을 열고 싶습니다만⏎괜찮겠습니까?
M09001.0	역시 {V:02DA} 님이십니다⏎흔쾌히 허락해 주셔서⏎감사합니다
M09001.1	소문대로 {V:1FC7}군 분들은⏎너그러우시군요
M09001.2	{V:02DA} 님이라면⏎흔쾌히 허락해 주실 거라⏎생각했습니다
M09002.0	……알겠습니다⏎필요한 만큼⏎지불하겠습니다
M09002.1	{V:1FC7} 세력에서는⏎무슨 일이든 돈이 먼저로군요
M09002.2	아니, 이런!⏎{V:1FC7}군은 나그네에게도⏎돈을 받는 겁니까?
M09003.0	그렇습니까……⏎어쩔 수 없군요⏎다른 곳을 알아보겠습니다
M09003.1	{V:1FC7}군의 영내에서는⏎뭐 하나 자유롭지 못하군요
M09003.2	알겠습니다⏎저희로서도⏎오래 머물고 싶지 않습니다
M09004.0	{V:01DA} 장군이 찾아갔을 때⏎{V:3DA2}의 축제가 한창이었다
M09004.1	{V:01DA} 장군이 가 보니⏎{V:3DA2}에서 차려입은 이들이⏎축제를 즐기고 있었다
M09005.0	{V:02DA} 님도⏎함께 즐기지 않으시겠습니까?
M09005.1	{V:02DA} 님도⏎축제에 참여하지 않겠습니까?
M09005.2	마침 잘⏎오셨습니다⏎{V:02DA} 님도 함께 어떠세요?
M09006.0	그럼⏎신나게 즐겨 봅시다!
M09006.1	{V:02DA} 님,⏎우선 한 잔 받으시지요
M09006.2	이렇게 {V:02DA} 님과 함께⏎축제를 즐길 수 있다니⏎뜻밖의 큰 기쁨입니다
M09007.0	그렇습니까……⏎그거 아쉽군요
M09007.1	{V:02DA} 님도⏎바쁘신 걸까요?
M09007.2	다음에는⏎함께 즐기시지요!
M09008.0	백성들이 {V:02DA}에게서⏎축제로 돌아갔습니다
M09008.1	백성들은 축제로⏎돌아갔습니다
M09009.0	무, 무슨 짓을……!⏎일 년에 한 번뿐인 축제를⏎즐겼을 뿐이란 말입니다……
M09009.1	어째서 저희가 이런 일을……⏎……윽……
M09009.2	히익……⏎무, 무슨 짓을 하십니까!⏎……으악……
M09010.0	{V:01DA} 장군은⏎축제에 참가한 이들을 처단해⏎백성에게 위엄을 보였습니다
M09010.1	{V:01DA}의 백성 처단으로⏎영내의 기강이 바로잡혔습니다
M09010.2	{V:01DA} 장군은 태만의 본보기로⏎축제에 참가한 이들을 처단했습니다
M09011.0	토지신께서 저희에게 벌을……⏎{V:02DA} 님!⏎부디 도와주십시오!
M09011.1	{V:02DA} 님!⏎부디 토지신님의 노여움에서⏎저희를 구해 주십시오!
M09011.2	도와주십시오!⏎토지신님의 노여움을 달래려고⏎딸이 제물로……!
M09012.0	{V:01DA}의 활약으로⏎토지신을 사칭하던 도적이⏎마을 사람들에게 넘겨졌습니다
M09012.1	{V:01DA} 장군은 토지신을⏎사칭하던 도적의 정체를 밝혀⏎{V:3DA2}에서 쫓아냈습니다
M09012.2	{V:01DA} 장군은⏎토지신 이름을 팔던 도적을⏎멋지게 퇴치했습니다
M09013.0	{V:01DA} 장군은⏎토지신의 습격을 받고⏎{V:3DA2}에서 달아났습니다
M09013.1	토지신의 재앙으로⏎{V:01DA} 장군이 역습당했습니다
M09013.2	{V:01DA} 장군은 토지신에게⏎여지없이 패배했습니다
M09014.0	{V:01DA} 장군은⏎금을 {V:65} 써서 도적떼를⏎설득해 횡포를 막았습니다
M09014.1	금 {V:65}의 힘으로 도적떼와⏎{V:01DA}의 담판이 성사됐습니다
M09014.2	금을 {V:65} 써서 도적에게⏎{V:01DA}의 회유가 통했습니다
M09015.0	{V:79}에게 쫓기던 나그네가⏎{V:01DA}에게 구원을 청했습니다
M09015.1	{V:01DA} 장군은 {V:3DA2}에서⏎{V:79}에 쫓기는 나그네를 봤다
M09015.2	{V:3DA2}에 간 {V:01DA}의 곁으로⏎{V:79}에게 쫓기던 나그네가⏎황급히 달려왔다
M09016.0	{V:01DA} 장군은⏎답례로 사례금을⏎{V:65} 받았습니다
M09016.1	{V:01DA}에게 사례로⏎금이 {V:65} 전해졌습니다
M09016.2	나그네로부터⏎{V:01DA}에게 사례금이⏎{V:65} 전해졌습니다
M09017.0	{V:01DA} 장군이 가 보니⏎{V:3DA2}에서 {V:79}끼리⏎영역 다툼을 벌이고 있었다
M09018.0	뭐야? 넌 뭐냐?⏎우린 바쁘단 말이다!⏎썩 꺼져!
M09018.1	이봐!⏎다치기 싫으면⏎외지 놈은 빠져 있어!
M09018.2	외지 놈이 무슨 볼일이냐?⏎꺼져!
M09019.0	{V:01DA} 장군은⏎{V:79}들의 다툼을⏎훌륭히 중재했습니다
M09019.1	{V:01DA} 장군은⏎{V:79}들을 싸운 죄로⏎양쪽 모두 벌했습니다
M09020.0	그 붉은 두건은……⏎소, {C:25b}손견{C:32b} 님!!⏎도, 돌아와 계셨습니까!⏎옛날부터 신세를 지면서도⏎꼴사나운 모습을……⏎부디 이걸로 용서해 주십시오
M09020.1	그 귀! 그 팔! 그 얼굴!⏎아, 나리께서는…… 혹시⏎우리 의협의 별・{C:25b}유비{C:32b} 님!⏎이건, 그게……⏎크나큰 무례를 범했습니다⏎부디 이걸로 용서해 주십시오
M09020.2	그, 그 갑옷과 투구는……⏎설마, 신위장군님!?⏎몰라뵈어 죄송합니다⏎그런 줄도 모르고⏎크나큰 무례를 범했습니다⏎부디 자비를……
M09020.3	그, 그 극은……!?⏎설마, 나리께서는⏎천하무쌍의 {C:25b}여포{C:32b} 님!⏎이, 이거 죄송합니다⏎무례를 범하고 말았습니다⏎……부디, 목숨만은……
M09020.4	이거, 몰라뵈었습니다요⏎부디 저희도⏎한 식구로 받아 주십쇼
M09021.0	아, 나리께서는……⏎분명 {V:1FC7} 님 휘하의 분!⏎이거 꼴사나운 모습을……⏎죄송했습니다⏎부디 {V:1FC9} 님께는 비밀로⏎이건 중재해 주신 사례입니다
M09022.0	끼어들지 말라고!
M09023.0	{V:3DA2}의 {V:79} 난동으로⏎백성이 막대한 피해를 입었다
M09023.1	{V:3DA2}에서 {V:01DA} 장군은⏎{V:79}에 떠는 백성을 봤다
M09023.2	{V:01DA} 장군이 찾아갔을 때⏎{V:3DA2}에서는⏎{V:79}들이 날뛰고 있었다
M09024.0	{V:01DA} 장군은 {V:79} 두목을⏎사로잡고 도적떼를 쫓았습니다
M09024.1	{V:79} 두목이 {V:01DA}에게⏎사로잡혔습니다
M09024.2	{V:01DA} 장군은 도적을 쳐서⏎{V:79} 두목을 생포했습니다
M09025.0	{V:79} 두목을 어떻게 할까요?⏎　실행무장: {V:01DA}
M09026.0	{V:01DA} 장군이 {V:3DA2}에 가 보니⏎많은 백성이 {V:79} 피해에 시달렸다
M09026.1	{V:01DA} 장군이 찾아갔을 때⏎{V:3DA2}의 주민들은⏎{V:79} 공포에 떨고 있었다
M09027.0	{V:79} 때문에⏎마음 놓고 살 수가 없습니다⏎부디 살려 주십시오……
M09027.1	{V:79}에게 가족이……⏎{V:02DA} 님,⏎부디 도와주십시오
M09027.2	{V:02DA} 님,⏎{V:79} 놈을 처치해 주십시오
M09028.1	{V:01DA}의 활약으로⏎{V:79}에게서⏎산을 되찾았습니다
M09028.2	{V:01DA} 장군은⏎{V:79}에게 멋지게 이겼습니다
M09029.0	{V:01DA} 장군은 {V:79}에게⏎공격받고 줄행랑을 쳤습니다
M09029.1	{V:01DA} 장군은 혼비백산하여⏎{V:79}에게서 도망쳤습니다
M09029.2	{V:79}의 맹공에⏎{V:01DA} 장군은 {V:3DA2}에서⏎쫓겨났습니다
M09030.0	{V:3DA2}에 온 {V:01DA} 앞에⏎한 줄기 괴풍과 함께⏎{V:79}의 모습이 나타났다
M09031.0	어떻게 하시겠습니까?⏎　실행무장: {V:01DA}⏎　무력: {V:65}
M09032.0	{V:01DA} 장군은 사투 끝에⏎{V:79}에게 멋지게 이겼습니다
M09033.0	{V:01DA} 장군은 구사일생으로⏎{V:79}에게서 달아났습니다
M09034.0	{V:01DA} 장군은 전력을 다해⏎{V:79}에게서 도망쳤습니다
M09035.0	{V:01DA} 장군이 탐색하던 중⏎궁중에서는 {C:25b}동작{C:32b}이⏎신비로운 빛을 발하고 있었다
M09036.0	금을 {V:65} 들여 동작대를⏎조영하도록 건의하시겠습니까?⏎　실행무장: {V:01DA}⏎　군단금: {V:66}
M09037.0	{V:01DA}의 보고가 올라오자⏎{V:1FC9}의 명으로 동작대가 서고⏎성대한 연회가 열렸다
M09038.0	{V:01DA} 장군은 {V:1FC9}에게⏎동작대 조영을⏎진언하지 않았습니다
M09039.0	{V:3DA2} 땅은⏎{V:79}의 연고지로⏎알려져 있었다
M09039.1	{V:01DA} 장군이 찾아갔을 때⏎{V:3DA2}에서는 사람들이 고장의⏎선현과 유적을 기리고 있었다
