M00000.0	황건적의 난과 도원결의
M00011.0	조조가 마초를 물리친 「위수⏎전투」 직전. 손권은 적벽에서⏎이겨 강릉을 얻었으나 기둥인⏎주유가 병사해 유비에게 형주를⏎넘긴다. 유비는 손권의 누이⏎손상향과 혼인해 형주 남부를⏎지배. 「복룡」 제갈량, 「봉추」⏎방통을 얻어 큰 세력이 된다.⏎남하를 단념한 조조는 후환인⏎마등을 모살했으나 마초의⏎역습에 장안을 잃었다. 마초군은⏎진용이 얇아 고전하겠지만⏎장안에서 병력을 늘리고 있다.
M00012.0	한중왕 유비와 관우의 실책
M00013.0	한중왕이 된 유비가 관우에게⏎양양 공략을 명한 직후. 유비는⏎유장을 항복시켜 익주를 얻고⏎조조가 지배하던 한중도⏎빼앗았다. 관우, 장비, 조운,⏎황충, 마초의 오호장군이 모여⏎전성기를 맞았다. 조조는 관우의⏎북상에 대비해 우금과 방덕을⏎파견. 형주를 노리는 손권도⏎적벽 이래의 유비와의 우호를⏎깨고 조조에게 접근했다. 군을⏎이끄는 이는 여몽, 형주 공략의⏎숨은 공로자 육손도 함께한다.
M00014.0	남만왕 맹획과 제갈량 남정
M00015.0	제갈량이 남만왕 맹획의 반란을⏎진압하는 「남만 정벌」. 조조의⏎후계자 조비가 위를 세워 한은⏎멸망했다. 유비는 촉을 세웠으나⏎관우가 패해 형주를 잃고,⏎탈환을 노린 「이릉대전」에서도⏎패해 제갈량에게 뒤를 맡기고⏎타계했다. 손권은 이릉에서 이긴⏎육손을 앞세워 강릉 이남 형주를⏎장악. 남쪽에서는 촉의 쇠퇴를⏎본 맹획이 운남에서 거병했다.⏎맹획군은 지장이 없지만 독특한⏎병법을 쓰는 무장이 많다.
M00016.0	제5차 북벌과 제갈량의 죽음
M00017.0	「출사표」를 올린 제갈량이⏎위를 치려고 거듭 싸운 「북벌」.⏎그 다섯 번째인 「오장원 전투」⏎장면. 위 황제 조예는 조비의⏎아들로, 몸소 오와의 전선에⏎나가 있다. 촉 전선에는⏎제갈량의 숙적 사마의가 포진.⏎촉은 남만을 누르고 있으나⏎국력도 진용도 위에 크게 뒤진다.⏎손권과 우호를 유지하며 장안⏎방면에 전력을 모아야 한다.⏎손권은 오를 건국. 육손이⏎여전히 군의 기둥이다.
M00018.0	검각 공방과 촉의 멸망
M00019.0	촉 멸망 직전. 위는 사마씨⏎일족이 정권을 장악했다.⏎사마소의 명으로 종회와 등애가⏎촉을 치려고 전선에 집결해 있다.⏎촉은 진용이 크게 약해져, 군을⏎이끄는 강유와 함께 싸울 만한⏎인재가 적다. 역사에서는 오의⏎황제 손휴가 강유의 요청으로⏎원군을 보냈으나 늦고 말았다.⏎위가 촉을 병합하면 오에는 맞설⏎힘이 남지 않는다. 세 나라 모두⏎무장이 적어 전력 집중과 빠른⏎공략이 관건이다.
M00020.0	손견의 중흥
M00021.0	「반동탁 연합」의 일원인⏎손견이 동탁에게서 낙양을⏎빼앗아 머무르고 있는 정세.⏎「정사」에서 동탁군을 이겨⏎낙양을 차지한 것은 손견 혼자의⏎공이며, 다른 연합 제후는⏎싸움을 피하거나 패했다. 손견은⏎장사에서 낙양으로 옮겨 병력을⏎늘렸다. 장사에서 출발하는 일반⏎시나리오로는 어려운 동탁과의⏎싸움을 해 볼 수 있다. 다만⏎주위가 다른 세력의 지배 아래⏎있어 난이도는 높다.
M00022.0	백마장군의 위세
M00023.0	「반동탁 연합」에 참가한⏎제후들은 곧 내분을 일으켜 서로⏎다투게 된다. 「정사」에 따르면⏎당시 큰 세력은 공손찬, 원소,⏎원술, 그리고 동탁이었다.⏎조조는 원소의, 손견은 원술의⏎일개 장수에 지나지 않았다.⏎「백마장군」의 위명으로 알려진⏎공손찬은 기주부터 서주까지⏎지배하는 큰 세력으로, 휘하에⏎유비, 관우, 장비, 조운 등이⏎모여 있다.
M00024.0	황제 여포
M00026.0	한의 충신 여기 있다
M00027.0	조조의 전횡에 시달리던 헌제가⏎동승에게 조조 타도의 밀칙을⏎내리고, 한의 부흥을 꿈꾸는⏎유비, 마등 등이 가담한다.⏎역사에서는 발각돼 좌절되나⏎여기서는 절반쯤 성공했다고⏎가정했다. 유비는 헌제를 모시고⏎허창을 탈출해 마등과 함께 낙양⏎서쪽을 지배. 조조에게는 북의⏎원소, 남의 손책에 버금가는⏎강적이 생겼다. 유비가 서주로⏎가지 않아 원술은 토벌되지⏎않았고 완의 장수도 건재하다.
M00028.0	화북의 패자 원소
M00030.0	주유의 천하이분지계
M00031.0	제갈량의 천하삼분지계가⏎유명하지만 주유 역시⏎천하이분지계를 품고 있었다.⏎연의에서는 제갈량이 간파했지만⏎여기서는 성공했다고 가정했다.⏎주유는 몸소 원정해 유장을⏎항복시키고 익주를 빼앗았다.⏎마등과도 사이가 좋아 함께⏎조조와 싸울 준비가 되어 있다.⏎주유가 유비를 적대해 손상향은⏎유비와 혼인하지 않았다.⏎눈엣가시인 유비를 조조와의⏎결전 전에 쓰러뜨려야 한다.
M00032.0	조씨 일가 분열
M00034.0	서촉 동란
M00036.0	초・삼국지
M00037.0	「초・삼국지」(이마도 에이이치⏎편역)를 소재로 한 시나리오.⏎신야의 유비는 병든 유표에게서⏎형주를 물려받는다. 남하한⏎조조는 손권에게 패해 서쪽의⏎한중을 제압한다. 마등은⏎조조에게 모살되고, 복수를⏎맹세한 마초는 유비와 손잡는다.⏎오호장군과 제갈량, 방통, 서서⏎세 군사가 유비군에 모이고,⏎강유와 제갈첨, 맹획도 처음부터⏎등장한다. 생년과 수명 제한이⏎없는 완전 가상 시나리오.
M00038.0	영웅 집결
M00040.0	들어가며
M00042.0	신야 전투・내정편
M00044.0	신야 전투・군비편
M00046.0	신야 전투・출진편
M00048.0	신야 전투・공성편
M00050.0	하비공방전
M00136.0	유주
M00137.0	{ESC:k}
M00138.0	기주
M00139.0	{ESC:k}
M00140.0	병주
M00141.0	{ESC:k}
M00142.0	청주
M00143.0	{ESC:k}
M00144.0	연주
M00145.0	{ESC:k}
M00146.0	서주
M00147.0	{ESC:k}
M00148.0	예주
M00149.0	{ESC:k}
M00150.0	사례
M00151.0	{ESC:k}
M00152.0	옹주
M00153.0	{ESC:k}
M00154.0	양주
M00155.0	{ESC:k}
M00156.0	양주
M00157.0	{ESC:k}
M00158.0	형주
M00159.0	{ESC:k}
M00160.0	익주
M00161.0	{ESC:k}
M00162.0	교주
M00163.0	{ESC:k}
M00164.0	이민
M00165.0	{ESC:k}
M00166.0	대방
M00167.0	{ESC:k}
M00168.0	낙랑
M00169.0	{ESC:k}
M00170.0	환도
M00171.0	{ESC:k}
M00172.0	창려
M00173.0	{ESC:k}
M00174.0	안평
M00175.0	{ESC:k}
M00176.0	유성
M00177.0	{ESC:k}
M00178.0	역경
M00179.0	{ESC:k}
M00180.0	어양
M00181.0	{ESC:k}
M00182.0	대현
M00183.0	{ESC:k}
M00184.0	탁현
M00185.0	{ESC:k}
M00186.0	하간
M00187.0	{ESC:k}
M00188.0	낙릉
M00189.0	{ESC:k}
M00190.0	계교
M00191.0	{ESC:k}
M00192.0	청하
M00193.0	{ESC:k}
M00194.0	안덕
M00195.0	{ESC:k}
M00196.0	돈구
M00197.0	{ESC:k}
M00198.0	고당
M00199.0	{ESC:k}
M00200.0	거록
M00201.0	{ESC:k}
M00202.0	상산
M00203.0	{ESC:k}
M00204.0	백마
M00205.0	{ESC:k}
M00206.0	안문
M00207.0	{ESC:k}
M00208.0	태원
M00209.0	{ESC:k}
M00210.0	양원
M00211.0	{ESC:k}
M00212.0	서하
M00213.0	{ESC:k}
M00214.0	호관
M00215.0	{ESC:k}
M00216.0	장자
M00217.0	{ESC:k}
M00218.0	동래
M00219.0	{ESC:k}
M00220.0	즉묵
M00221.0	{ESC:k}
M00222.0	임치
M00223.0	{ESC:k}
M00224.0	동무
M00225.0	{ESC:k}
M00226.0	동아
M00227.0	{ESC:k}
M00228.0	동평
M00229.0	{ESC:k}
M00230.0	태산
M00231.0	{ESC:k}
M00232.0	정도
M00233.0	{ESC:k}
M00234.0	임성
M00235.0	{ESC:k}
M00236.0	광릉
M00237.0	{ESC:k}
M00238.0	낭야
M00239.0	{ESC:k}
M00240.0	회음
M00241.0	{ESC:k}
M00242.0	팽성
M00243.0	{ESC:k}
M00244.0	중모
M00245.0	{ESC:k}
M00246.0	영천
M00247.0	{ESC:k}
M00248.0	초현
M00249.0	{ESC:k}
M00250.0	송현
M00251.0	{ESC:k}
M00252.0	양안
M00253.0	{ESC:k}
M00254.0	조가
M00255.0	{ESC:k}
M00256.0	하내
M00257.0	{ESC:k}
M00258.0	평양
M00259.0	{ESC:k}
M00260.0	하동
M00261.0	{ESC:k}
M00262.0	관도
M00263.0	{ESC:k}
M00264.0	호뢰관
M00265.0	{ESC:k}
M00266.0	맹진
M00267.0	{ESC:k}
M00268.0	홍농
M00269.0	{ESC:k}
M00270.0	하남
M00271.0	{ESC:k}
M00272.0	임진
M00273.0	{ESC:k}
M00274.0	동관
M00275.0	{ESC:k}
M00276.0	상현
M00277.0	{ESC:k}
M00278.0	무관
M00279.0	{ESC:k}
M00280.0	미
M00281.0	{ESC:k}
M00282.0	자오곡
M00283.0	{ESC:k}
M00284.0	진창
M00285.0	{ESC:k}
M00286.0	오장원
M00287.0	{ESC:k}
M00288.0	가정
M00289.0	{ESC:k}
M00290.0	단곡
M00291.0	{ESC:k}
M00292.0	농서
M00293.0	{ESC:k}
M00294.0	적도
M00295.0	{ESC:k}
M00296.0	금성
M00297.0	{ESC:k}
M00298.0	영거
M00299.0	{ESC:k}
M00300.0	장액
M00301.0	{ESC:k}
M00302.0	주천
M00303.0	{ESC:k}
M00304.0	합비
M00305.0	{ESC:k}
M00306.0	오강
M00307.0	{ESC:k}
M00308.0	석정
M00309.0	{ESC:k}
M00310.0	심양
M00311.0	{ESC:k}
M00312.0	부릉
M00313.0	{ESC:k}
M00314.0	단양
M00315.0	{ESC:k}
M00316.0	곡아
M00317.0	{ESC:k}
M00318.0	장안
M00319.0	{ESC:k}
M00320.0	시신
M00321.0	{ESC:k}
M00322.0	건안
M00323.0	{ESC:k}
M00324.0	구강
M00325.0	{ESC:k}
M00326.0	무창
M00327.0	{ESC:k}
M00328.0	파양
M00329.0	{ESC:k}
M00330.0	남창
M00331.0	{ESC:k}
M00332.0	고창
M00333.0	{ESC:k}
M00334.0	육구
M00335.0	{ESC:k}
M00336.0	양현
M00337.0	{ESC:k}
M00338.0	박망
M00339.0	{ESC:k}
M00340.0	호양
M00341.0	{ESC:k}
M00342.0	융중
M00343.0	{ESC:k}
M00344.0	한진
M00345.0	{ESC:k}
M00346.0	신성
M00347.0	{ESC:k}
M00348.0	맥성
M00349.0	{ESC:k}
M00350.0	화용
M00351.0	{ESC:k}
M00352.0	오림
M00353.0	{ESC:k}
M00354.0	의도
M00355.0	{ESC:k}
M00356.0	이릉
M00357.0	{ESC:k}
M00358.0	강진
M00359.0	{ESC:k}
M00360.0	공안
M00361.0	{ESC:k}
M00362.0	안륙
M00363.0	{ESC:k}
M00364.0	하구
M00365.0	{ESC:k}
M00366.0	멱라
M00367.0	{ESC:k}
M00368.0	형양
M00369.0	{ESC:k}
M00370.0	위흥
M00371.0	{ESC:k}
M00372.0	상용
M00373.0	{ESC:k}
M00374.0	안양
M00375.0	{ESC:k}
M00376.0	무현
M00377.0	{ESC:k}
M00378.0	양평관
M00379.0	{ESC:k}
M00380.0	정군산
M00381.0	{ESC:k}
M00382.0	무도
M00383.0	{ESC:k}
M00384.0	답중
M00385.0	{ESC:k}
M00386.0	음평
M00387.0	{ESC:k}
M00388.0	백수
M00389.0	{ESC:k}
M00390.0	가맹관
M00391.0	{ESC:k}
M00392.0	검각
M00393.0	{ESC:k}
M00394.0	한수
M00395.0	{ESC:k}
M00396.0	파서
M00397.0	{ESC:k}
M00398.0	한창
M00399.0	{ESC:k}
M00400.0	강유
M00401.0	{ESC:k}
M00402.0	광유
M00403.0	{ESC:k}
M00404.0	면죽
M00405.0	{ESC:k}
M00406.0	도안
M00407.0	{ESC:k}
M00408.0	부수관
M00409.0	{ESC:k}
M00410.0	아미
M00411.0	{ESC:k}
M00412.0	광한
M00413.0	{ESC:k}
M00414.0	임강
M00415.0	{ESC:k}
M00416.0	강양
M00417.0	{ESC:k}
M00418.0	주제
M00419.0	{ESC:k}
M00420.0	저란
M00421.0	{ESC:k}
M00422.0	완온
M00423.0	{ESC:k}
M00424.0	태등
M00425.0	{ESC:k}
M00426.0	영창
M00427.0	{ESC:k}
M00428.0	남해
M00429.0	{ESC:k}
M00430.0	창오
M00431.0	{ESC:k}
M00432.0	합포
M00433.0	{ESC:k}
M00434.0	말로
M00435.0	{ESC:k}
M00436.0	조서산
M00437.0	{ESC:k}
M00438.0	남성
M00439.0	{ESC:k}
M00567.0	세력
M00568.0	병사
M00571.0	사기
M00573.0	대장
M00574.0	현역
M00582.0	시설
M00593.0	세력
M00594.0	세력
M00596.0	도시
M00597.0	도시
M00599.0	병사
M00601.0	인구
M00604.0	현역
M00608.0	대장
M00610.0	대장
M00611.0	통솔
M00612.0	지력
M00615.0	사기
M00620.0	민심
M00621.0	수익
M00622.0	최대수익
M00623.0	수확
M00624.0	최대수확
M00625.0	내구
M00626.0	최대내구
M00627.0	분전
M00628.0	분투
M00629.0	분신
M00630.0	돌파
M00631.0	돌진
M00632.0	돌격
M00723.0	양평
M00724.0	{ESC:k}
M00725.0	북평
M00726.0	{ESC:k}
M00727.0	계
M00728.0	{ESC:k}
M00729.0	남피
M00730.0	{ESC:k}
M00731.0	평원
M00732.0	{ESC:k}
M00733.0	업
M00734.0	{ESC:k}
M00735.0	진양
M00736.0	{ESC:k}
M00737.0	상당
M00738.0	{ESC:k}
M00739.0	북해
M00740.0	{ESC:k}
M00741.0	복양
M00742.0	{ESC:k}
M00743.0	진류
M00744.0	{ESC:k}
M00745.0	하비
M00746.0	{ESC:k}
M00747.0	소패
M00748.0	{ESC:k}
M00749.0	허창
M00750.0	{ESC:k}
M00751.0	여남
M00752.0	{ESC:k}
M00753.0	낙양
M00754.0	{ESC:k}
M00755.0	장안
M00756.0	{ESC:k}
M00757.0	안정
M00758.0	{ESC:k}
M00759.0	천수
M00760.0	{ESC:k}
M00761.0	서평
M00762.0	{ESC:k}
M00763.0	무위
M00764.0	{ESC:k}
M00765.0	수춘
M00766.0	{ESC:k}
M00767.0	여강
M00768.0	{ESC:k}
M00769.0	말릉
M00770.0	{ESC:k}
M00771.0	오
M00772.0	{ESC:k}
M00773.0	회계
M00774.0	{ESC:k}
M00775.0	시상
M00776.0	{ESC:k}
M00777.0	완
M00778.0	{ESC:k}
M00779.0	신야
M00780.0	{ESC:k}
M00781.0	양양
M00782.0	{ESC:k}
M00783.0	강릉
M00784.0	{ESC:k}
M00785.0	강하
M00786.0	{ESC:k}
M00787.0	장사
M00788.0	{ESC:k}
M00789.0	무릉
M00790.0	{ESC:k}
M00791.0	계양
M00792.0	{ESC:k}
M00793.0	영릉
M00794.0	{ESC:k}
M00795.0	서성
M00796.0	{ESC:k}
M00797.0	영안
M00798.0	{ESC:k}
M00799.0	한중
M00800.0	{ESC:k}
M00801.0	자동
M00802.0	{ESC:k}
M00803.0	성도
M00804.0	{ESC:k}
M00805.0	강주
M00806.0	{ESC:k}
M00807.0	건녕
M00808.0	{ESC:k}
M00809.0	운남
M00810.0	{ESC:k}
M00811.0	교지
M00812.0	{ESC:k}
M00813.0	왜
M00814.0	{ESC:k}
M00815.0	오환
M00816.0	{ESC:k}
M00817.0	강
M00818.0	{ESC:k}
M00819.0	산월
M00820.0	{ESC:k}
M00821.0	남만
M00822.0	{ESC:k}
M00824.0	세력
M00825.0	병사
M00828.0	사기
M00830.0	대장
M00831.0	현역
M00834.0	도시
M00837.0	도시
M00839.0	시설
M00850.0	세력
M00851.0	세력
M00853.0	도시
M00854.0	도시
M00856.0	병사
M00858.0	인구
M00861.0	현역
M00865.0	대장
M00867.0	대장
M00868.0	통솔
M00869.0	지력
M00872.0	사기
M00877.0	민심
M00878.0	수익
M00879.0	최대수익
M00880.0	수확
M00881.0	최대수확
M00882.0	내구
M00883.0	최대내구
M00884.0	분전
M00885.0	분투
M00886.0	분신
M00887.0	돌파
M00888.0	돌진
M00889.0	돌격
M00963.0	도시
M00984.0	최대내구
M00991.0	분전
M00992.0	분투
M00993.0	분신
M00994.0	돌파
M00995.0	돌진
M00996.0	돌격
M01037.0	세력
M01038.0	세력
M01046.0	군사
M01048.0	신망
M01049.0	관작
M01050.0	관작
M01051.0	금
M01053.0	병량
M01055.0	금
M01057.0	병량
M01059.0	인구
M01061.0	병사
M01063.0	인구
M01065.0	병사
M01067.0	분전
M01068.0	분투
M01069.0	분신
M01070.0	돌파
M01071.0	돌진
M01072.0	돌격
M01173.0	도시
M01174.0	현역
M01176.0	도시
M01177.0	현역
M01195.0	금
M01196.0	금
M01203.0	병량
M01204.0	병량
M01213.0	무장
M01214.0	무장
M01224.0	분전
M01227.0	분투
M01230.0	분신
M01233.0	돌파
M01236.0	돌진
M01239.0	돌격
M01771.0	통솔
M01772.0	무력
M01773.0	지력
M01774.0	정치
M01775.0	보병
M01776.0	기병
M01785.0	황제
M01786.0	{ESC:k}
M01787.0	왕
M01788.0	{ESC:k}
M01789.0	공
M01790.0	{ESC:k}
M01791.0	대사마
M01792.0	{ESC:k}
M01793.0	대장군
M01794.0	{ESC:k}
M01795.0	중랑장
M01796.0	{ESC:k}
M01797.0	주자사
M01798.0	{ESC:k}
M01799.0	주목
M01800.0	{ESC:k}
M01803.0	관작
M01804.0	관작
M01807.0	신망
M01810.0	세력
M01811.0	아회
M01812.0	남
M01815.0	위
M01816.0	소
M01817.0	홍사
M01819.0	이
M01820.0	적
M01821.0	기백
M01823.0	윤
M01824.0	상
M01827.0	윤
M01828.0	대목
M01831.0	윤
M01832.0	묵
M01833.0	사잠
M01867.0	원
M01868.0	술
M01869.0	공로
M01875.0	원
M01876.0	소
M01877.0	본초
M02007.0	왕
M02008.0	랑
M02009.0	경흥
M02159.0	하
M02160.0	진
M02161.0	수고
M02271.0	한
M02272.0	복
M02273.0	문절
M02415.0	엄
M02416.0	백호
M02495.0	공손
M02496.0	찬
M02497.0	백규
M02503.0	공손
M02504.0	도
M02505.0	승제
M02511.0	공
M02512.0	주
M02513.0	공서
M02535.0	공
M02536.0	융
M02537.0	문거
M03115.0	조
M03116.0	조
M03117.0	맹덕
M03199.0	손
M03200.0	견
M03201.0	문대
M03215.0	손
M03216.0	책
M03217.0	백부
M03331.0	장
M03332.0	연
M03351.0	장
M03352.0	각
M03491.0	장
M03492.0	양
M03493.0	아숙
M03511.0	장
M03512.0	로
M03513.0	공기
M03695.0	도
M03696.0	겸
M03697.0	공조
M03735.0	동
M03736.0	탁
M03737.0	중영
M03827.0	마
M03828.0	등
M03829.0	수성
M04063.0	양
M04064.0	홍
M04143.0	이
M04144.0	각
M04145.0	치연
M04215.0	유
M04216.0	언
M04217.0	군랑
M04227.0	유
M04228.0	우
M04229.0	백안
M04251.0	유
M04252.0	장
M04253.0	계옥
M04283.0	유
M04284.0	대
M04285.0	공산
M04295.0	유
M04296.0	비
M04297.0	현덕
M04299.0	유
M04300.0	표
M04301.0	경승
M04319.0	유
M04320.0	요
M04321.0	정례
M04379.0	여
M04380.0	포
M04381.0	봉선
M04411.0	왜
M04412.0	여왕
M04431.0	오환
M04432.0	대왕
M04435.0	오환
M04436.0	대인
M04439.0	오환
M04440.0	솔중
M04443.0	오환
M04444.0	도독
M04451.0	강
M04452.0	대왕
M04471.0	산월
M04472.0	대왕
M04491.0	남만
M04492.0	대왕
M05151.0	무장
M05154.0	무장
M05166.0	세력
M05167.0	세력
M05175.0	대장
M05176.0	성별
M05177.0	성별
M05178.0	통솔
M05179.0	무력
M05180.0	지력
M05181.0	정치
M05246.0	성격
M05247.0	성격
M05248.0	보병
M05249.0	보병숙련
M05250.0	기병
M05251.0	기병숙련
M05272.0	분전
M05273.0	분투
M05274.0	분신
M05275.0	돌파
M05276.0	돌진
M05277.0	돌격
M05336.0	통솔
M05337.0	무력
M05338.0	지력
M05339.0	정치
M05340.0	통솔
M05341.0	무력
M05342.0	지력
M05343.0	정치
M05344.0	통솔
M05345.0	무력
M05346.0	지력
M05347.0	정치
M05348.0	통솔
M05349.0	무력
M05350.0	지력
M05351.0	정치
M05354.0	편집
M05518.0	무장
M05519.0	통솔
M05520.0	무력
M05521.0	지력
M05522.0	정치
M05525.0	세력
M05526.0	병사
M05529.0	사기
M05531.0	대장
M05532.0	현역
M05537.0	병사
M05543.0	사기
M05554.0	현역
M05557.0	세력
M05558.0	세력
M05560.0	대장
M05561.0	대장
M05653.0	세력
M06032.0	도시
M06596.0	　{V:01DA} 님,⏎　분부를
M06597.0	명령을 내릴 시설이나 부대를 선택하십시오
M06684.0	전략을 시작하기 전에⏎현재 아군의 상황을⏎확인해 두시지요
M06684.1	전략을 시작하기 전에⏎현재 아군의 상황을⏎확인해 두세
M06684.2	전략을 시작하기 전에⏎현재 아군의 상황을⏎확인해 둘게요. 군사는⏎이 {V:01DA}, 제가 맡겠습니다
M06684.3	전략을 시작하기 전에⏎현재 아군의 상황을⏎확인해 두시지요⏎군사는⏎이 {V:01DA}, 제가 맡겠습니다
M06684.4	전략을 시작하기 전에⏎현재 아군의 상황을⏎확인해 두도록 하세⏎군사는⏎이 {V:01DA}, 내가 맡겠네
M06684.5	전략을 시작하기 전에⏎현재 아군의 상황을⏎확인해 두시지요⏎군사는⏎이 {V:01DA}, 제가 맡겠습니다
M06684.6	전략을 시작하기 전에⏎현재 아군의 상황을⏎확인해 둘게요
M06684.7	전략을 시작하기 전에⏎현재 아군의 상황을⏎확인해 두시지요
M06684.8	전략을 시작하기 전에⏎현재 아군의 상황을⏎확인해 두도록 하세
M06684.9	전략을 시작하기 전에⏎현재 아군의 상황을⏎확인해 두시지요
M06687.0	우선 {V:1FC7}군,⏎{V:20C7}군 등과는⏎적대 관계에 있습니다
M06687.1	우선 {V:1FC7}군,⏎{V:20C7}군 등과는⏎적대 관계에 있네
M06687.10	우선 {V:1FC7}군과는⏎적대 관계에 있습니다
M06687.11	우선 {V:1FC7}군과는⏎적대 관계에 있습니다
M06687.12	우선 {V:1FC7}군과는⏎적대 관계에 있네
M06687.13	우선 {V:1FC7}군과는⏎적대 관계에 있습니다
M06687.14	우선 특별히 적대하는⏎세력은 없습니다
M06687.15	우선 특별히 적대하는⏎세력은 없습니다
M06687.16	우선 특별히 적대하는⏎세력은 없네
M06687.17	우선 특별히 적대하는⏎세력은 없습니다
M06687.2	우선 {V:1FC7}군과는⏎적대 관계에 있습니다
M06687.3	우선 {V:1FC7}군과는⏎적대 관계에 있네
M06687.4	우선 특별히 적대하는⏎세력은 없습니다
M06687.5	우선 특별히 적대하는⏎세력은 없네
M06687.6	우선 {V:1FC7}군,⏎{V:20C7}군 등과는⏎적대 관계에 있습니다
M06687.7	우선 {V:1FC7}군,⏎{V:20C7}군 등과는⏎적대 관계에 있습니다
M06687.8	우선 {V:1FC7}군,⏎{V:20C7}군 등과는⏎적대 관계에 있네
M06687.9	우선 {V:1FC7}군,⏎{V:20C7}군 등과는⏎적대 관계에 있습니다
M06688.0	또 {V:1FC7}군,⏎{V:20C7}군 등과는⏎우호 관계에 있습니다
M06688.1	또 {V:1FC7}군,⏎{V:20C7}군 등과는⏎우호 관계에 있네
M06688.10	또 {V:1FC7}군과는⏎우호 관계에 있습니다
M06688.11	또 {V:1FC7}군과는⏎우호 관계에 있습니다
M06688.12	또 {V:1FC7}군과는⏎우호 관계에 있네
M06688.13	또 {V:1FC7}군과는⏎우호 관계에 있습니다
M06688.14	또 특별히 우호적인⏎세력은 없습니다
M06688.15	또 특별히 우호적인⏎세력은 없습니다
M06688.16	또 특별히 우호적인⏎세력은 없네
M06688.17	또 특별히 우호적인⏎세력은 없습니다
M06688.2	또 {V:1FC7}군과는⏎우호 관계에 있습니다
M06688.3	또 {V:1FC7}군과는⏎우호 관계에 있네
M06688.4	또 특별히 우호적인⏎세력은 없습니다
M06688.5	또 특별히 우호적인⏎세력은 없네
M06688.6	또 {V:1FC7}군,⏎{V:20C7}군 등과는⏎우호 관계에 있습니다
M06688.7	또 {V:1FC7}군,⏎{V:20C7}군 등과는⏎우호 관계에 있습니다
M06688.8	또 {V:1FC7}군,⏎{V:20C7}군 등과는⏎우호 관계에 있네
M06688.9	또 {V:1FC7}군,⏎{V:20C7}군 등과는⏎우호 관계에 있습니다
M06689.0	무장에게는 녹봉으로 금을,⏎병사에게는 병량을 주어야⏎합니다⏎금은 계절마다,⏎병량은 가을에 들어옵니다⏎모자라지 않게 유의하시지요
M06689.1	무장에게는 녹봉으로 금을,⏎병사에게는 병량을⏎주어야 하네⏎금은 계절마다,⏎병량은 가을에 들어오네⏎모자라지 않게 유의하게
M06689.2	무장에게는 녹봉으로 금을,⏎병사에게는 병량을⏎주어야 해요⏎금은 계절마다,⏎병량은 가을에 들어오니⏎모자라지 않게 유의하시지요
