M00000.0	황건적의 난과 도원결의
M00434.0	말로
M00435.0	{ESC:k}
M00436.0	조서산
M00437.0	{ESC:k}
M00438.0	남성
M00439.0	{ESC:k}
M00440.0	없음
M00441.0	{ESC:k}
M00442.0	없음
M00443.0	{ESC:k}
M00444.0	없음
M00445.0	{ESC:k}
M00446.0	없음
M00447.0	{ESC:k}
M00448.0	없음
M00449.0	{ESC:k}
M00450.0	없음
M00451.0	{ESC:k}
M00452.0	없음
M00453.0	{ESC:k}
M00454.0	없음
M00455.0	{ESC:k}
M00456.0	없음
M00457.0	{ESC:k}
M00458.0	없음
M00459.0	{ESC:k}
M00460.0	없음
M00461.0	{ESC:k}
M00462.0	없음
M00463.0	{ESC:k}
M00464.0	없음
M00465.0	{ESC:k}
M00466.0	없음
M00467.0	{ESC:k}
M00468.0	없음
M00469.0	{ESC:k}
M00470.0	없음
M00471.0	{ESC:k}
M00472.0	없음
M00473.0	{ESC:k}
M00474.0	없음
M00475.0	{ESC:k}
M00476.0	없음
M00477.0	{ESC:k}
M00478.0	없음
M00479.0	{ESC:k}
M00480.0	없음
M00481.0	{ESC:k}
M00482.0	없음
M00483.0	{ESC:k}
M00484.0	없음
M00485.0	{ESC:k}
M00486.0	없음
M00487.0	{ESC:k}
M00488.0	없음
M00489.0	{ESC:k}
M00490.0	없음
M00491.0	{ESC:k}
M00492.0	없음
M00493.0	{ESC:k}
M00494.0	없음
M00495.0	{ESC:k}
M00496.0	없음
M00497.0	{ESC:k}
M00498.0	없음
M00499.0	{ESC:k}
M00500.0	없음
M00501.0	{ESC:k}
M00502.0	없음
M00503.0	{ESC:k}
M00504.0	없음
M00505.0	{ESC:k}
M00506.0	없음
M00507.0	{ESC:k}
M00508.0	없음
M00509.0	{ESC:k}
M00510.0	없음
M00511.0	{ESC:k}
M00512.0	없음
M00513.0	{ESC:k}
M00514.0	없음
M00515.0	{ESC:k}
M00516.0	없음
M00517.0	{ESC:k}
M00518.0	없음
M00519.0	{ESC:k}
M00520.0	없음
M00521.0	{ESC:k}
M00522.0	없음
M00523.0	{ESC:k}
M00524.0	없음
M00525.0	{ESC:k}
M00526.0	없음
M00527.0	{ESC:k}
M00528.0	없음
M00529.0	{ESC:k}
M00530.0	없음
M00531.0	{ESC:k}
M00532.0	없음
M00533.0	{ESC:k}
M00534.0	없음
M00535.0	{ESC:k}
M00536.0	없음
M00537.0	{ESC:k}
M00538.0	없음
M00539.0	{ESC:k}
M00540.0	없음
M00541.0	{ESC:k}
M00542.0	없음
M00543.0	{ESC:k}
M00544.0	없음
M00545.0	{ESC:k}
M00546.0	없음
M00547.0	{ESC:k}
M00548.0	없음
M00549.0	{ESC:k}
M00550.0	없음
M00551.0	{ESC:k}
M00552.0	없음
M00553.0	{ESC:k}
M00554.0	없음
M00555.0	{ESC:k}
M00556.0	없음
M00557.0	{ESC:k}
M00558.0	없음
M00559.0	{ESC:k}
M00560.0	없음
M00561.0	{ESC:k}
M00562.0	없음
M00563.0	{ESC:k}
M00564.0	없음
M00565.0	{ESC:k}
M00566.0	대상
M00567.0	세력
M00568.0	병사
M00569.0	부상병
M00570.0	상태
M00571.0	사기
M00572.0	군단
M00573.0	대장
M00574.0	현역
M00575.0	포로
M00576.0	부대
M00577.0	공작물
M00578.0	종류
M00579.0	공작물
M00580.0	공작물
M00581.0	{ESC:k}
M00582.0	시설
M00583.0	상인상주플래그
M00584.0	상인
M00585.0	주
M00586.0	주
M00587.0	중지도X좌표
M00588.0	중지도Y좌표
M00589.0	유효플래그
M00590.0	최대획득육성P
M00591.0	획득육성P
M00592.0	군단
M00593.0	세력
M00594.0	세력
M00595.0	군단
M00596.0	도시
M00597.0	도시
M00598.0	합계병사
M00599.0	병사
M00600.0	부상병
M00601.0	인구
M00602.0	일반인구
M00603.0	병역인구
M00604.0	현역
M00605.0	포로
M00606.0	재야
M00607.0	도독
M00608.0	대장
M00609.0	도독
M00610.0	대장
M00611.0	통솔
M00612.0	지력
M00613.0	전투력
M00614.0	상태
M00615.0	사기
M00616.0	병과
M00617.0	명령
M00618.0	목표
M00619.0	사후명령
M00620.0	민심
M00621.0	수익
M00622.0	최대수익
M00623.0	수확
M00624.0	최대수확
M00625.0	내구
M00626.0	최대내구
M00627.0	분전
M00628.0	분투
M00629.0	분신
M00630.0	돌파
M00631.0	돌진
M00632.0	돌격
M00633.0	기사
M00634.0	주사
M00635.0	비사
M00636.0	제사
M00637.0	연사
M00638.0	연노
M00639.0	몽충
M00640.0	누선
M00641.0	투함
M00642.0	정란
M00643.0	충차
M00644.0	투석
M00645.0	상병
M00646.0	조영
M00647.0	석병
M00648.0	파괴
M00649.0	교사
M00650.0	혼란
M00651.0	덫
M00652.0	배반
M00653.0	환술
M00654.0	매도
M00655.0	고무
M00656.0	치료
M00657.0	요술
M00658.0	시우
M00659.0	난사
M00660.0	강습
M00661.0	강공
M00662.0	함정
M00663.0	불덫
M00664.0	물덫
M00665.0	돌덫
M00666.0	낙석
M00667.0	사대
M00668.0	특성
M00669.0	인접
M00670.0	지역
M00671.0	수비대
M00672.0	공격력
M00673.0	수비력
M00674.0	금수입
M00675.0	병량수입
M00676.0	군단금
M00677.0	군단병량
M00678.0	색지역
M00679.0	색지역2
M00680.0	색세력
M00681.0	색군단
M00682.0	색도독
M00683.0	색대장
M00684.0	색주역
M00685.0	도착
M00686.0	{ESC:k}
M00687.0	색지역없음
M00688.0	색지역2없음
M00689.0	도착
M00690.0	증가병역
M00691.0	우호
M00692.0	후한황제
M00693.0	전선
M00694.0	특징
M00695.0	지역
M00696.0	인접
M00697.0	전선
M00698.0	지역
M00699.0	목표2
M00700.0	교전1
M00701.0	교전2
M00702.0	병법
M00703.0	회복
M00704.0	적정무장
M00705.0	적정병사
M00706.0	숲
M00707.0	암
M00708.0	흙
M00709.0	풀
M00710.0	흙풀
M00711.0	풀숲
M00712.0	습지
M00713.0	흙습
M00714.0	풀습
M00715.0	여울
M00716.0	물
M00717.0	교
M00718.0	물가
M00719.0	암풀
M00720.0	암흙
M00721.0	물2
M00722.0	물3
M00723.0	양평
M00724.0	{ESC:k}
M00725.0	북평
M00726.0	{ESC:k}
M00727.0	계
M00728.0	{ESC:k}
M00729.0	남피
M00730.0	{ESC:k}
M00731.0	평원
M00732.0	{ESC:k}
M00733.0	업
M00734.0	{ESC:k}
M00735.0	진양
M00736.0	{ESC:k}
M00737.0	상당
M00738.0	{ESC:k}
M00739.0	북해
M00740.0	{ESC:k}
M00741.0	복양
M00742.0	{ESC:k}
M00743.0	진류
M00744.0	{ESC:k}
M00745.0	하비
M00746.0	{ESC:k}
M00747.0	소패
M00748.0	{ESC:k}
M00749.0	허창
M00750.0	{ESC:k}
M00751.0	여남
M00752.0	{ESC:k}
M00753.0	낙양
M00754.0	{ESC:k}
M00755.0	장안
M00756.0	{ESC:k}
M00757.0	안정
M00758.0	{ESC:k}
M00759.0	천수
M00760.0	{ESC:k}
M00761.0	서평
M00762.0	{ESC:k}
M00763.0	무위
M00764.0	{ESC:k}
M00765.0	수춘
M00766.0	{ESC:k}
M00767.0	여강
M00768.0	{ESC:k}
M00769.0	말릉
M00770.0	{ESC:k}
M00771.0	오
M00772.0	{ESC:k}
M00773.0	회계
M00774.0	{ESC:k}
M00775.0	시상
M00776.0	{ESC:k}
M00777.0	완
M00778.0	{ESC:k}
M00779.0	신야
M00780.0	{ESC:k}
M00781.0	양양
M00782.0	{ESC:k}
M00783.0	강릉
M00784.0	{ESC:k}
M00785.0	강하
M00786.0	{ESC:k}
M00787.0	장사
M00788.0	{ESC:k}
M00789.0	무릉
M00790.0	{ESC:k}
M00791.0	계양
M00792.0	{ESC:k}
M00793.0	영릉
M00794.0	{ESC:k}
M00795.0	서성
M00796.0	{ESC:k}
M00797.0	영안
M00798.0	{ESC:k}
M00799.0	한중
M00800.0	{ESC:k}
M00801.0	자동
M00802.0	{ESC:k}
M00803.0	성도
M00804.0	{ESC:k}
M00805.0	강주
M00806.0	{ESC:k}
M00807.0	건녕
M00808.0	{ESC:k}
M00809.0	운남
M00810.0	{ESC:k}
M00811.0	교지
M00812.0	{ESC:k}
M00813.0	왜
M00814.0	{ESC:k}
M00815.0	오환
M00816.0	{ESC:k}
M00817.0	강
M00818.0	{ESC:k}
M00819.0	산월
M00820.0	{ESC:k}
M00821.0	남만
M00822.0	{ESC:k}
M00823.0	대상
M00824.0	세력
M00825.0	병사
M00826.0	부상병
M00827.0	상태
M00828.0	사기
M00829.0	군단
M00830.0	대장
M00831.0	현역
M00832.0	포로
M00833.0	부대
M00834.0	도시
M00835.0	종류
M00836.0	공작물
M00837.0	도시
M00838.0	{ESC:k}
M00839.0	시설
M00840.0	상인상주플래그
M00841.0	상인
M00842.0	주
M00843.0	주
M00844.0	중지도X좌표
M00845.0	중지도Y좌표
M00846.0	유효플래그
M00847.0	최대획득육성P
M00848.0	획득육성P
M00849.0	군단
M00850.0	세력
M00851.0	세력
M00852.0	군단
M00853.0	도시
M00854.0	도시
M00855.0	합계병사
M00856.0	병사
M00857.0	부상병
M00858.0	인구
M00859.0	일반인구
M00860.0	병역인구
M00861.0	현역
M00862.0	포로
M00863.0	재야
M00864.0	도독
M00865.0	대장
M00866.0	도독
M00867.0	대장
M00868.0	통솔
M00869.0	지력
M00870.0	전투력
M00871.0	상태
M00872.0	사기
M00873.0	병과
M00874.0	명령
M00875.0	목표
M00876.0	사후명령
M00877.0	민심
M00878.0	수익
M00879.0	최대수익
M00880.0	수확
M00881.0	최대수확
M00882.0	내구
M00883.0	최대내구
M00884.0	분전
M00885.0	분투
M00886.0	분신
M00887.0	돌파
M00888.0	돌진
M00889.0	돌격
M00890.0	기사
M00891.0	주사
M00892.0	비사
M00893.0	제사
M00894.0	연사
M00895.0	연노
M00896.0	몽충
M00897.0	누선
M00898.0	투함
M00899.0	정란
M00900.0	충차
M00901.0	투석
M00902.0	상병
M00903.0	조영
M00904.0	석병
M00905.0	파괴
M00906.0	교사
M00907.0	혼란
M00908.0	덫
M00909.0	배반
M00910.0	환술
M00911.0	매도
M00912.0	고무
M00913.0	치료
M00914.0	요술
M00915.0	시우
M00916.0	난사
M00917.0	강습
M00918.0	강공
M00919.0	함정
M00920.0	불덫
M00921.0	물덫
M00922.0	돌덫
M00923.0	낙석
M00924.0	사대
M00925.0	특성
M00926.0	인접
M00927.0	지역
M00928.0	수비대
M00929.0	공격력
M00930.0	수비력
M00931.0	금수입
M00932.0	병량수입
M00933.0	군단금
M00934.0	군단병량
M00935.0	색지역
M00936.0	색지역2
M00937.0	색세력
M00938.0	색군단
M00939.0	색도독
M00940.0	색대장
M00941.0	색주역
M00942.0	도착
M00943.0	{ESC:k}
M00944.0	색지역없음
M00945.0	색지역2없음
M00946.0	도착
M00947.0	증가병역
M00948.0	우호
M00949.0	후한
M00950.0	전선
M00951.0	특징
M00952.0	지역
M00953.0	인접
M00954.0	전선
M00955.0	지역
M00956.0	목표2
M00957.0	교전1
M00958.0	교전2
M00959.0	병법
M00960.0	회복
M00961.0	적정무장
M00962.0	적정병사
M00963.0	도시
M00964.0	항
M00965.0	관
M00966.0	관
M00967.0	관
M00968.0	관
M00969.0	진
M00970.0	채
M00971.0	노
M00972.0	성채
M00973.0	책
M00974.0	책
M00975.0	토사
M00976.0	토사
M00977.0	토루
M00978.0	토루
M00979.0	석병
M00980.0	공작물번호
M00981.0	공작물
M00982.0	CG번호
M00983.0	비용
M00984.0	최대내구
M00985.0	최소내구
M00986.0	오브젝트 크기X
M00987.0	오브젝트 크기Y
M00988.0	공격범위
M00989.0	회복
M00990.0	공작필요병법번호
M00991.0	분전
M00992.0	분투
M00993.0	분신
M00994.0	돌파
M00995.0	돌진
M00996.0	돌격
M00997.0	기사
M00998.0	주사
M00999.0	비사
M01000.0	제사
M01001.0	연사
M01002.0	연노
M01003.0	몽충
M01004.0	누선
M01005.0	투함
M01006.0	정란
M01007.0	충차
M01008.0	투석
M01009.0	상병
M01010.0	조영
M01011.0	석병
M01012.0	파괴
M01013.0	교사
M01014.0	혼란
M01015.0	덫
M01016.0	배반
M01017.0	환술
M01018.0	매도
M01019.0	고무
M01020.0	치료
M01021.0	요술
M01022.0	시우
M01023.0	난사
M01024.0	강습
M01025.0	강공
M01026.0	함정
M01027.0	불덫
M01028.0	물덫
M01029.0	돌덫
M01030.0	낙석
M01031.0	사대
M01032.0	{ESC:k}
M01033.0	방향
M01034.0	병법
M01035.0	특성
M01036.0	군단
M01037.0	세력
M01038.0	세력
M01039.0	국호
M01040.0	군단
M01041.0	국호
M01042.0	국호
M01043.0	군주무장번호
M01044.0	군주얼굴번호
M01045.0	군주
M01046.0	군사
M01047.0	신용
M01048.0	신망
M01049.0	관작
M01050.0	관작
M01051.0	금
M01052.0	금수지
M01053.0	병량
M01054.0	병량수지
M01055.0	금
M01056.0	금수지
M01057.0	병량
M01058.0	병량수지
M01059.0	인구
M01060.0	병역인구
M01061.0	병사
M01062.0	부상병
M01063.0	인구
M01064.0	병역인구
M01065.0	병사
M01066.0	부상병
M01067.0	분전
M01068.0	분투
M01069.0	분신
M01070.0	돌파
M01071.0	돌진
M01072.0	돌격
M01073.0	기사
M01074.0	주사
M01075.0	비사
M01076.0	제사
M01077.0	연사
M01078.0	연노
M01079.0	몽충
M01080.0	누선
M01081.0	투함
M01082.0	정란
M01083.0	충차
M01084.0	투석
M01085.0	상병
M01086.0	조영
M01087.0	석병
M01088.0	파괴
M01089.0	교사
M01090.0	혼란
M01091.0	덫
M01092.0	배반
M01093.0	환술
M01094.0	매도
M01095.0	고무
M01096.0	치료
M01097.0	요술
M01098.0	시우
M01099.0	난사
M01100.0	강습
M01101.0	강공
M01102.0	함정
M01103.0	불덫
M01104.0	물덫
M01105.0	돌덫
M01106.0	낙석
M01107.0	사대
M01108.0	병법
M01109.0	연합플래그
M01110.0	연합맹주플래그
M01111.0	연합표적플래그
M01112.0	연합
M01113.0	표적
M01114.0	방침
M01115.0	표적
M01116.0	세력0우호
M01117.0	세력1우호
M01118.0	세력2우호
M01119.0	세력3우호
M01120.0	세력4우호
M01121.0	세력5우호
M01122.0	세력6우호
M01123.0	세력7우호
M01124.0	세력8우호
M01125.0	세력9우호
M01126.0	세력10우호
M01127.0	세력11우호
M01128.0	세력12우호
M01129.0	세력13우호
M01130.0	세력14우호
M01131.0	세력15우호
M01132.0	세력16우호
M01133.0	세력17우호
M01134.0	세력18우호
M01135.0	세력19우호
M01136.0	세력20우호
M01137.0	세력21우호
M01138.0	세력22우호
M01139.0	세력23우호
M01140.0	세력24우호
M01141.0	세력25우호
M01142.0	세력26우호
M01143.0	세력27우호
M01144.0	세력28우호
M01145.0	세력29우호
M01146.0	세력30우호
M01147.0	세력31우호
M01148.0	세력32우호
M01149.0	세력33우호
M01150.0	세력34우호
M01151.0	세력35우호
M01152.0	세력36우호
M01153.0	세력37우호
M01154.0	세력38우호
M01155.0	세력39우호
M01156.0	세력40우호
M01157.0	세력41우호
M01158.0	세력42우호
M01159.0	세력43우호
M01160.0	세력44우호
M01161.0	세력45우호
M01162.0	세력46우호
M01163.0	세력47우호
M01164.0	세력48우호
M01165.0	세력49우호
M01166.0	우호
M01167.0	요청원
M01168.0	표적시설
M01169.0	조건
M01170.0	요청기간
M01171.0	연합기간
M01172.0	군단
M01173.0	도시
M01174.0	현역
M01175.0	포로
M01176.0	도시
M01177.0	현역
M01178.0	포로
M01179.0	깃발번호
M01180.0	본거도시번호
M01181.0	본거
M01182.0	황제판정
M01183.0	유저담당판정
M01184.0	도착
M01185.0	색국호
M01186.0	색관작
M01187.0	색군주
M01188.0	색본거
M01189.0	색군단
M01190.0	{ESC:k}
M01191.0	{ESC:k}
M01192.0	색도독
M01193.0	부대
M01194.0	도착
M01195.0	금
M01196.0	금
M01197.0	지출
M01198.0	지출
M01199.0	수입
M01200.0	수입
M01201.0	예상
M01202.0	예상
M01203.0	병량
M01204.0	병량
M01205.0	지출
M01206.0	지출
M01207.0	수입
M01208.0	수입
M01209.0	예상
M01210.0	예상
M01211.0	근위
M01212.0	우호
M01213.0	무장
M01214.0	무장
M01215.0	충족
M01216.0	충족
M01217.0	충족
M01218.0	충족
M01219.0	랭크
M01220.0	강약
M01221.0	타입
M01222.0	대상
M01223.0	육성P
M01224.0	분전
M01225.0	{ESC:k}
M01226.0	보병의 강력한 공격입니다
M01227.0	분투
M01228.0	{ESC:k}
M01229.0	분전보다 강력한 보병 공격입니다
M01230.0	분신
M01231.0	{ESC:k}
M01232.0	보병 최강의 병법입니다
M01233.0	돌파
M01234.0	{ESC:k}
M01235.0	기병의 강력한 공격입니다
M01236.0	돌진
M01237.0	{ESC:k}
M01238.0	돌파보다 강력한 기병 공격입니다
M01239.0	돌격
M01240.0	{ESC:k}
M01241.0	기병 최강의 병법입니다
M01242.0	기사
M01243.0	{ESC:k}
M01244.0	기병의 강력한 간접 공격입니다
M01245.0	주사
M01246.0	{ESC:k}
M01247.0	기사보다 강력한 간접 공격입니다
M01248.0	비사
M01249.0	{ESC:k}
M01250.0	궁기 최강의 병법입니다
M01251.0	제사
M01252.0	{ESC:k}
M01253.0	노병의 강력한 간접 공격입니다
M01254.0	연사
M01255.0	{ESC:k}
M01256.0	제사보다 강력한 간접 공격입니다
M01257.0	연노
M01258.0	{ESC:k}
M01259.0	노병 최강의 병법입니다
M01260.0	몽충
M01261.0	{ESC:k}
M01262.0	몽충을 편성할 수 있습니다
M01263.0	누선
M01264.0	{ESC:k}
M01265.0	누선을 편성할 수 있습니다
M01266.0	투함
M01267.0	{ESC:k}
M01268.0	투함을 편성할 수 있습니다
M01269.0	정란
M01270.0	{ESC:k}
M01271.0	정란을 편성할 수 있습니다
M01272.0	충차
M01273.0	{ESC:k}
M01274.0	충차를 편성할 수 있습니다
M01275.0	투석
M01276.0	{ESC:k}
M01277.0	투석을 편성할 수 있습니다
M01278.0	상병
M01279.0	{ESC:k}
M01280.0	상병을 편성할 수 있습니다
M01281.0	조영
M01282.0	{ESC:k}
M01283.0	건설 비용이 줄어듭니다
M01284.0	석병
M01285.0	{ESC:k}
M01286.0	석병을 건설할 수 있습니다
M01287.0	파괴
M01288.0	{ESC:k}
M01289.0	덫에 걸리지 않습니다
M01290.0	교사
M01291.0	{ESC:k}
M01292.0	상태 이상이 되지 않습니다
M01293.0	혼란
M01294.0	{ESC:k}
M01295.0	적을 혼란시킵니다
M01296.0	덫
M01297.0	{ESC:k}
M01298.0	지형에 맞는 덫으로 공격합니다
M01299.0	배반
M01300.0	{ESC:k}
M01301.0	적의 병사를 아군으로 만듭니다
M01302.0	환술
M01303.0	{ESC:k}
M01304.0	여러 적에게 피해를 주고 혼란시킵니다
M01305.0	매도
M01306.0	{ESC:k}
M01307.0	적의 사기를 떨어뜨립니다
M01308.0	고무
M01309.0	{ESC:k}
M01310.0	아군의 사기를 올립니다
M01311.0	치료
