# 라벨 번역 2
色付き本拠	색본거
南蛮	남만
走舸	주가
正船	정선
輸船	수선
異船	이선
無陣	무진
説明	설명
色付き兵法	색병법
陸上	육상
水上	수상
能力	능력
効果	효과
効果１	효과1
上昇	상승
所有	소유
状態番号	상태번호
地域番号	지역번호
所在	소재
色付き武将	색무장
護符識別フラグ	호부식별플래그
武力	무력
政治	정치
歩兵	보병
騎兵	기병
弓騎	궁기
弩兵	노병
水軍	수군
攻城	공성
知識	지식
謀略	모략
策略	책략
所有・所在	소유・소재
親密上昇	친밀상승
指揮	지휘
姓	성
名	명
字	자
顔番号	얼굴번호
固有番号	고유번호
登場年	등장년
生年	생년
年齢	나이
仕官	사관
所属	소속
旧所属勢力番号	구소속세력번호
身分	신분
大将フラグ	대장플래그
性別	성별
勢力０親密	세력0친밀
勢力１親密	세력1친밀
勢力２親密	세력2친밀
勢力３親密	세력3친밀
勢力４親密	세력4친밀
勢力５親密	세력5친밀
勢力６親密	세력6친밀
勢力７親密	세력7친밀
勢力８親密	세력8친밀
勢力９親密	세력9친밀
勢力１０親密	세력10친밀
勢力１１親密	세력11친밀
勢力１２親密	세력12친밀
勢力１３親密	세력13친밀
勢力１４親密	세력14친밀
勢力１５親密	세력15친밀
勢力１６親密	세력16친밀
勢力１７親密	세력17친밀
勢力１８親密	세력18친밀
勢力１９親密	세력19친밀
勢力２０親密	세력20친밀
勢力２１親密	세력21친밀
勢力２２親密	세력22친밀
勢力２３親密	세력23친밀
勢力２４親密	세력24친밀
勢力２５親密	세력25친밀
勢力２６親密	세력26친밀
勢力２７親密	세력27친밀
勢力２８親密	세력28친밀
勢力２９親密	세력29친밀
勢力３０親密	세력30친밀
勢力３１親密	세력31친밀
勢力３２親密	세력32친밀
勢力３３親密	세력33친밀
勢力３４親密	세력34친밀
勢力３５親密	세력35친밀
勢力３６親密	세력36친밀
勢力３７親密	세력37친밀
勢力３８親密	세력38친밀
勢力３９親密	세력39친밀
勢力４０親密	세력40친밀
勢力４１親密	세력41친밀
勢力４２親密	세력42친밀
勢力４３親密	세력43친밀
勢力４４親密	세력44친밀
勢力４５親密	세력45친밀
勢力４６親密	세력46친밀
勢力４７親密	세력47친밀
勢力４８親密	세력48친밀
勢力４９親密	세력49친밀
忠誠	충성
親密	친밀
爵位	작위
俸禄	녹봉
寿命	수명
健康	건강
血縁番号	혈연번호
親	부모
子	자식
相性	상성
義理	의리
野望	야망
性格	성격
歩兵熟練	보병숙련
騎兵熟練	기병숙련
弓騎熟練	궁기숙련
弩兵熟練	노병숙련
水軍熟練	수군숙련
攻城熟練	공성숙련
知識熟練	지식숙련
謀略熟練	모략숙련
策略熟練	책략숙련
習得	습득
旗文字番号	깃발글자번호
登録	등록
布陣	포진
色付き姓名	색성명
色付き姓	색성
色付き名	색명
色付き字	색자
色付き施設	색시설
抜擢	발탁
編集	편집
必要官爵番号	필요관작번호
忠誠上昇	충성상승
状態カウンター	상태카운터
策略カウンター	책략카운터
目標Ｘ座標	목표X좌표
目標Ｙ座標	목표Y좌표
目標マップオブジェクト番号	목표 맵 오브젝트 번호
地形	지형
大将統率	대장통솔
最高知力	최고지력
船	배
陣形	진형
敵接近時	적접근시
自主退却	자주퇴각
追撃	추격
対部隊	대부대
対守兵	대수병
対城壁	대성벽
守備	수비
機動	기동
命令変更	명령변경
行軍中	행군중
助言	조언
退却	퇴각
未接近	미접근
出陣	출진
功績	공적
国号番号	국호번호
州１番号	주1번호
州２番号	주2번호
歩兵系兵法が有利な速攻向けの陣形です	보병계 병법이 유리한 속공용 진형입니다
歩兵系兵法や敵武将の捕獲を狙った迎撃向けの陣形です	보병계 병법과 적장 포획을 노리는 요격용 진형입니다
機動力に優れ、様々な場面に活用できる陣形です	기동력이 뛰어나 여러 상황에 쓸 수 있는 진형입니다
騎兵系兵法や一騎討ちを狙った超攻撃型の陣形です	기병계 병법과 일기토를 노리는 초공격형 진형입니다
弩兵系兵法が有利な攻城戦向けの陣形です	노병계 병법이 유리한 공성전용 진형입니다
狙撃で大将の統率低下を狙う攻城戦向きの陣形です	저격으로 대장의 통솔 저하를 노리는 공성전용 진형입니다
最高の機動力を誇る、移動・奇襲向きの陣形です	최고의 기동력을 자랑하는 이동・기습용 진형입니다
兵士の損失を防ぐ、守備や長期戦に適した陣形です	병사 손실을 막는, 수비와 장기전에 알맞은 진형입니다
対守兵に威力を発揮する攻城戦用陣形です	수비병 상대로 위력을 떨치는 공성전용 진형입니다
最高の対城壁破壊力を誇る攻城戦用陣形です	최고의 성벽 파괴력을 자랑하는 공성전용 진형입니다
強力で射程の長い投石攻撃を行う攻城戦用陣形です	강력하고 사정이 긴 투석 공격을 하는 공성전용 진형입니다
部隊相手にも威力を発揮する攻城戦用陣形です	부대 상대로도 위력을 떨치는 공성전용 진형입니다
攻撃以外で使用する陣形です	공격 외에 쓰는 진형입니다
建設専用の陣形です	건설 전용 진형입니다
輸送専用の陣形です	수송 전용 진형입니다
倭軍専用の陣形です	왜군 전용 진형입니다
烏丸軍専用の陣形です	오환군 전용 진형입니다
羌軍専用の陣形です	강군 전용 진형입니다
山越軍専用の陣形です	산월군 전용 진형입니다
南蛮軍専用の陣形です	남만군 전용 진형입니다
機動力に優れた船です	기동력이 뛰어난 배입니다
直接攻撃に優れた攻撃的な船です	직접 공격에 뛰어난 공격적인 배입니다
間接攻撃に優れた大型船です	간접 공격에 뛰어난 대형선입니다
バランスの取れた最強の大型船です	균형 잡힌 최강의 대형선입니다
攻撃以外で使用する水軍陣形です	공격 외에 쓰는 수군 진형입니다
輸送専用の水軍陣形です	수송 전용 수군 진형입니다
異民族の水軍陣形です	이민족의 수군 진형입니다
崩れた陣形。打たれ弱くなります	무너진 진형. 공격에 약해집니다
配置１	배치1
配置２	배치2
配置３	배치3
配置４	배치4
配置５	배치5
視界半径	시야반경
視界角度	시야각도
