# k	성(원문)	이름(원문)	자(원문)	성	이름	자
0	阿会	喃		아회	남	
90	何	{S:FAE9}	元幹	하	정	원간
91	賈	範		가	범	
92	華	雄		화	웅	
93	関	彝		관	이	
94	韓	胤		한	윤	
95	関	羽	雲長	관	우	운장
96	管	亥		관	해	
97	{U:F07B}丘	倹	仲恭	관구	검	중공
98	{U:F07B}丘	秀		관구	수	
99	{U:F07B}丘	甸	子邦	관구	전	자방
100	韓	玄		한	현	
101	韓	浩	元嗣	한	호	원사
102	関	興	安国	관	흥	안국
103	関	索		관	색	
104	韓	遂	文約	한	수	문약
105	韓	嵩	徳高	한	숭	덕고
106	関	靖	士起	관	정	사기
107	韓	暹		한	섬	
108	{U:F051}	沢	徳潤	감	택	덕윤
109	韓	忠		한	충	
110	関	統		관	통	
111	韓	当	義公	한	당	의공
112	韓	徳		한	덕	
113	甘	寧	興覇	감	녕	흥패
114	桓	範	元則	환	범	원칙
115	韓	馥	文節	한	복	문절
116	関	平		관	평	
117	簡	雍	憲和	간	옹	헌화
118	顔	良		안	량	
119	魏	延	文長	위	연	문장
120	麹	義		국	의	
121	戯	志才		희	지재	
122	魏	続		위	속	
123	魏	{U:F04E}		위	막	
124	魏	攸		위	유	
125	牛	金		우	금	
126	丘	建		구	건	
127	牛	輔		우	보	
128	丘	本		구	본	
129	姜	維	伯約	강	유	백약
130	鞏	志		공	지	
131	橋	{U:F079}		교	유	
132	{U:F084}	都		공	도	
133	橋	瑁	元偉	교	모	원위
134	許	儀		허	의	
135	許	貢		허	공	
136	許	靖	文休	허	정	문휴
137	許	{U:F05D}	仲康	허	저	중강
138	許	攸	子遠	허	유	자원
139	紀	霊		기	령	
140	金環	三結		금환	삼결	
141	金	旋	元機	김	선	원기
142	虞	{U:F048}	世洪	우	사	세홍
143	虞	翻	仲翔	우	번	중상
144	{U:F054}	道栄		형	도영	
145	郤	正	令先	극	정	영선
146	厳	顔		엄	안	
147	牽	弘		견	홍	
148	厳	綱		엄	강	
149	厳	{U:F050}	曼才	엄	준	만재
150	厳	政		엄	정	
151	厳	白虎		엄	백호	
152	厳	輿		엄	여	
153	呉	懿	子遠	오	의	자원
154	句	安		구	안	
155	黄	蓋	公覆	황	개	공복
156	高	幹	元才	고	간	원재
157	黄	権	公衡	황	권	공형
158	黄	皓		황	호	
159	高	柔	文恵	고	유	문혜
160	高	順		고	순	
161	高	翔		고	상	
162	高	昇		고	승	
163	黄	崇		황	숭	
164	侯	成		후	성	
165	侯	選		후	선	
166	黄	祖		황	조	
167	公孫	越		공손	월	
168	公孫	淵		공손	연	
169	公孫	恭		공손	공	
170	公孫	康		공손	강	
171	公孫	{U:F040}	伯珪	공손	찬	백규
172	公孫	続		공손	속	
173	公孫	度	升済	공손	도	승제
174	公孫	範		공손	범	
175	孔	{U:F05C}	公緒	공	주	공서
176	黄	忠	漢升	황	충	한승
177	高	定		고	정	
178	高	沛		고	패	
179	皇甫	{U:F056}		황보	개	
180	皇甫	嵩	義真	황보	숭	의진
181	孔	融	文挙	공	융	문거
182	高	覧		고	람	
183	胡	淵	世元	호	연	세원
184	伍	延		오	연	
185	呉	巨		오	거	
186	吾	彦	子則	오	언	자칙
187	呉	綱		오	강	
188	胡	済	偉度	호	제	위도
189	吾	粲	孔休	오	찬	공휴
190	胡	質	文徳	호	질	문덕
191	呉	質	季重	오	질	계중
192	胡	車児		호	거아	
193	胡	遵		호	준	
194	胡	軫	文才	호	진	문재
195	顧	譚	子黙	고	담	자묵
196	胡	沖		호	충	
197	兀	突骨		올	돌골	
198	胡	班		호	반	
199	呉	班	元雄	오	반	원웅
200	胡	奮	玄威	호	분	현위
201	顧	雍	元歎	고	옹	원탄
202	呉	蘭		오	란	
203	胡	烈	玄武	호	열	현무
204	崔	{U:F080}	季珪	최	염	계규
205	蔡	和		채	화	
206	蔡	貢		채	공	
207	蔡	中		채	중	
208	蔡	瑁	徳珪	채	모	덕규
209	左	奕		좌	혁	
210	{U:F077}	融		착	융	
211	施	朔		시	삭	
212	師	纂		사	찬	
213	司馬	懿	仲達	사마	의	중달
214	司馬	炎	安世	사마	염	안세
215	司馬	師	子元	사마	사	자원
216	司馬	昭	子尚	사마	소	자상
217	司馬	{U:F05C}	子将	사마	주	자장
218	司馬	孚	叔達	사마	부	숙달
219	司馬	望	子初	사마	망	자초
220	司馬	攸	大猷	사마	유	대유
221	司馬	朗	伯達	사마	랑	백달
222	謝	旌		사	정	
223	車	冑		차	주	
224	沙	摩柯		사	마가	
225	朱	異	季文	주	이	계문
226	脩	允		수	윤	
227	周	{U:F075}	大明	주	흔	대명
228	周	旨		주	지	
229	周	浚		주	준	
230	周	倉		주	창	
231	脩	則		수	칙	
232	周	泰	幼平	주	태	유평
233	州	泰		주	태	
234	周	魴	子魚	주	방	자어
235	周	瑜	公瑾	주	유	공근
236	朱	桓	休穆	주	환	휴목
237	朱	拠	子範	주	거	자범
238	祝	融		축	융	
239	朱	儁	公偉	주	준	공위
240	朱	然	義封	주	연	의봉
241	朱	治	君理	주	치	군리
242	朱	褒		주	포	
243	朱	霊	文博	주	령	문박
244	荀	{U:F042}	文若	순	욱	문약
245	淳于	瓊	仲簡	순우	경	중간
246	荀	{S:FAC4}		순	개	
247	荀	{U:F053}	景倩	순	의	경천
248	荀	勗		순	욱	
249	荀	{U:F073}	友若	순	심	우약
250	荀	攸	公達	순	유	공달
251	焦	彝		초	이	
252	鍾	毓	稚叔	종	육	치숙
253	蒋	{U:F059}	公{U:F080}	장	완	공염
254	鍾	会	士季	종	회	사계
255	蒋	幹	子翼	장	간	자익
256	蒋	義渠		장	의거	
257	蒋	欽	公奕	장	흠	공혁
258	蒋	顕		장	현	
259	蒋	済	子通	장	제	자통
260	{U:F058}	周	允南	초	주	윤남
261	蒋	舒		장	서	
262	向	寵		향	총	
263	邵	悌	元伯	소	제	원백
264	蒋	班		장	반	
265	蒋	斌		장	빈	
266	鍾	{U:F04D}	元常	종	요	원상
267	鍾離	斐		종리	비	
268	向	朗	巨達	향	랑	거달
269	徐	栄		서	영	
270	諸葛	恪	元遜	제갈	각	원손
271	諸葛	瑾	子瑜	제갈	근	자유
272	諸葛	均		제갈	균	
273	諸葛	緒		제갈	서	
274	諸葛	尚		제갈	상	
275	諸葛	{U:F07E}	仲思	제갈	정	중사
276	諸葛	瞻	思遠	제갈	첨	사원
277	諸葛	誕	公休	제갈	탄	공휴
278	諸葛	亮	孔明	제갈	량	공명
279	徐	晃	公明	서	황	공명
280	徐	質		서	질	
281	徐	庶	元直	서	서	원직
282	徐	盛	文嚮	서	성	문향
283	徐	{U:F04E}	景山	서	막	경산
284	沈	瑩		심	영	
285	申	儀		신	의	
286	岑	昏		잠	혼	
287	辛	敞	泰雍	신	창	태옹
288	申	耽	義挙	신	탐	의거
289	審	配	正南	심	배	정남
290	辛	{U:F08E}	佐治	신	비	좌치
291	辛	評	仲治	신	평	중치
292	秦	{U:F090}	子{U:F09D}	진	밀	자칙
293	秦	朗	元明	진	랑	원명
294	{U:F085}	固	白兎	수	고	백토
295	鄒	靖		추	정	
296	鄒	丹		추	단	
297	成	宜		성	의	
298	盛	曼		성	만	
299	石	苞	仲容	석	포	중용
300	薛	瑩	道言	설	영	도언
301	薛	{U:F091}		설	후	
302	薛	綜	敬文	설	종	경문
303	全	{U:F092}		전	의	
304	全	懌		전	역	
305	全	紀		전	기	
306	単	経		선	경	
307	全	尚		전	상	
308	全	{U:F05B}	子{U:F07A}	전	종	자황
309	全	端		전	단	
310	曹	宇	彭祖	조	우	팽조
311	曹	叡	元仲	조	예	원중
312	曹	奐	景明	조	환	경명
313	曹	羲		조	희	
314	曹	休	文烈	조	휴	문열
315	曹	訓		조	훈	
316	宋	憲		송	헌	
317	宋	謙		송	겸	
318	曹	昂	子脩	조	앙	자수
319	曹	洪	子廉	조	홍	자렴
320	曹	純	子和	조	순	자화
321	曹	彰	子文	조	창	자문
322	曹	植	子建	조	식	자건
323	曹	真	子丹	조	진	자단
324	曹	仁	子孝	조	인	자효
325	曹	性		조	성	
326	曹	操	孟徳	조	조	맹덕
327	曹	爽	昭伯	조	상	소백
328	曹	沖	倉舒	조	충	창서
329	臧	覇	宣高	장	패	선고
330	曹	丕	子桓	조	비	자환
331	曹	豹		조	표	
332	曹	芳	蘭卿	조	방	난경
333	曹	髦	彦士	조	모	언사
334	曹	熊		조	웅	
335	沮	鵠		저	곡	
336	沮	授		저	수	
337	蘇	飛		소	비	
338	祖	茂	大栄	조	무	대영
339	蘇	由		소	유	
340	孫	異		손	이	
341	孫	和	子孝	손	화	자효
342	孫	桓	叔武	손	환	숙무
343	孫	冀		손	기	
344	孫	休	子烈	손	휴	자열
345	孫	匡	季佐	손	광	계좌
346	孫	{U:F055}		손	흠	
347	孫	堅	文台	손	견	문대
348	孫	乾	公祐	손	건	공우
349	孫	権	仲謀	손	권	중모
350	孫	皓	元宗	손	호	원종
351	孫	策	伯符	손	책	백부
352	孫	秀		손	수	
353	孫	述		손	술	
354	孫	峻	子遠	손	준	자원
355	孫	韶	公礼	손	소	공례
356	孫	尚香		손	상향	
357	孫	震		손	진	
358	孫	静	幼台	손	정	유대
359	孫	仲		손	중	
360	孫	{U:F072}	子通	손	침	자통
361	孫	登	子高	손	등	자고
362	孫	覇	子威	손	패	자위
363	孫	瑜	仲異	손	유	중이
364	孫	翊	叔弼	손	익	숙필
365	孫	亮	子明	손	량	자명
366	孫	礼	徳達	손	례	덕달
367	孫	朗	早安	손	랑	조안
368	孫	{U:F0AB}		손	만	
369	太史	享	元復	태사	향	원복
370	太史	慈	子義	태사	자	자의
371	帯来	洞主		대래	동주	
372	戴	陵		대	릉	
373	朶思	大王		타사	대왕	
374	譚	雄		담	웅	
375	張	允		장	윤	
376	趙	雲	子龍	조	운	자룡
377	張	衛		장	위	
378	張	英		장	영	
379	張	潁		장	영	
380	張	燕		장	연	
381	張	横		장	횡	
382	張	温	恵恕	장	온	혜서
383	張	華	茂先	장	화	무선
384	張	{U:F056}		장	개	
385	張	角		장	각	
386	張	既	徳容	장	기	덕용
387	張	休	叔嗣	장	휴	숙사
388	張	球		장	구	
389	張	喬		장	교	
390	張	嶷	伯岐	장	억	백기
391	張	勳		장	훈	
392	張	儼	子節	장	엄	자절
393	張	虎		장	호	
394	張	紘	子綱	장	굉	자강
395	張	{U:F043}	儁艾	장	합	준애
396	趙	広		조	광	
397	趙	弘		조	홍	
398	張	済		장	제	
399	張	繍		장	수	
400	張	緝	敬仲	장	집	경중
401	張	遵		장	준	
402	張	昭	子布	장	소	자포
403	張	松	永年	장	송	영년
404	張	紹		장	소	
405	張	承	仲嗣	장	승	중사
406	張	象		장	상	
407	張	尚		장	상	
408	張	任		장	임	
409	張	節		장	절	
410	張	悌	巨先	장	제	거선
411	趙	統		조	통	
412	張	特	子産	장	특	자산
413	張	南	文進	장	남	문진
414	張	{U:F04E}	孟卓	장	막	맹탁
415	趙	範		조	범	
416	張	飛	翼徳	장	비	익덕
417	張	布		장	포	
418	張	苞		장	포	
419	張	宝		장	보	
420	張	楊	雅叔	장	양	아숙
421	張	翼	伯恭	장	익	백공
422	張	遼	文遠	장	료	문원
423	張	梁		장	량	
424	趙	累		조	루	
425	張	魯	公祺	장	로	공기
426	陳	横		진	횡	
427	陳	応		진	응	
428	陳	紀		진	기	
429	陳	宮	公台	진	궁	공대
430	陳	矯	季弼	진	교	계필
431	陳	羣	長文	진	군	장문
432	陳	珪	漢瑜	진	규	한유
433	陳	騫	休淵	진	건	휴연
434	陳	元		진	원	
435	陳	寿	承祚	진	수	승조
436	陳	俊		진	준	
437	陳	式		진	식	
438	陳	震	孝起	진	진	효기
439	陳	泰	玄伯	진	태	현백
440	陳	登	元龍	진	등	원룡
441	陳	到	叔至	진	도	숙지
442	陳	表	文奥	진	표	문오
443	陳	武	子烈	진	무	자열
444	陳	蘭		진	란	
445	陳	琳	孔璋	진	림	공장
446	程	{U:F041}	仲徳	정	욱	중덕
447	程	遠志		정	원지	
448	丁	儀	正礼	정	의	정례
449	程	銀		정	은	
450	丁	原	建陽	정	원	건양
451	鄭	沖	文和	정	충	문화
452	丁	謐	彦靖	정	밀	언정
453	程	普	徳謀	정	보	덕모
454	程	武		정	무	
455	程	秉	徳枢	정	병	덕추
456	丁	奉	承淵	정	봉	승연
457	丁	封		정	봉	
458	典	韋		전	위	
459	田	楷		전	해	
460	田	章		전	장	
461	田	続		전	속	
462	田	疇	子泰	전	주	자태
463	田	豊	元皓	전	풍	원호
464	典	満		전	만	
465	田	豫	国譲	전	예	국양
466	滕	胤	承嗣	등	윤	승사
467	董	允	休昭	동	윤	휴소
468	{U:F04A}	艾	士載	등	애	사재
469	党	均		당	균	
470	董	厥	{U:F084}襲	동	궐	공습
471	陶	謙	恭祖	도	겸	공조
472	{U:F04A}	賢		등	현	
473	陶	{U:F0A6}		도	황	
474	{U:F04A}	芝	伯苗	등	지	백묘
475	唐	咨		당	자	
476	董	襲	元代	동	습	원대
477	滕	脩		등	수	
478	陶	濬		도	준	
479	董	承		동	승	
480	董	昭	公仁	동	소	공인
481	董	卓	仲穎	동	탁	중영
482	{U:F04A}	忠		등	충	
483	董	朝		동	조	
484	董	荼那		동	도나	
485	唐	彬	儒宗	당	빈	유종
486	董	旻	叔穎	동	민	숙영
487	{U:F04A}	茂		등	무	
488	{U:F04A}	良		등	량	
489	董	和	幼宰	동	화	유재
490	杜	預	元凱	두	예	원개
491	{U:F096}	随		영	수	
492	裴	元紹		배	원소	
493	裴	秀	季彦	배	수	계언
494	馬	玩		마	완	
495	馬	休		마	휴	
496	馬	鈞	徳衡	마	균	덕형
497	馬	遵		마	준	
498	馬	謖	幼常	마	속	유상
499	馬	岱		마	대	
500	馬	忠		마	충	
501	馬	忠	徳信	마	충	덕신
502	馬	超	孟起	마	초	맹기
503	馬	鉄		마	철	
504	馬	騰	寿成	마	등	수성
505	馬	{U:F04E}		마	막	
506	馬	隆	孝興	마	륭	효흥
507	馬	良	季常	마	량	계상
508	万	{U:F042}		만	욱	
509	樊	建	長元	번	건	장원
510	潘	濬	承明	반	준	승명
511	潘	璋	文珪	반	장	문규
512	樊	稠		번	조	
513	潘	鳳		반	봉	
514	費	{U:F092}	文偉	비	의	문위
515	卑	衍		비	연	
516	糜	竺	子仲	미	축	자중
517	畢	軌	昭先	필	궤	소선
518	糜	芳	子方	미	방	자방
519	費	耀		비	요	
520	武	安国		무	안국	
521	馮	習	休元	풍	습	휴원
522	馮	{U:F0AA}	少冑	풍	담	소주
523	傅	{U:F089}	蘭石	부	하	난석
524	傅士	仁	君義	부사	인	군의
525	傅	僉		부	첨	
526	傅	巽	公梯	부	손	공제
527	傅	{U:F067}		부	동	
528	文	鴦		문	앙	
529	文	欽	仲若	문	흠	중약
530	文	虎		문	호	
531	文	醜		문	추	
532	文	聘	仲業	문	빙	중업
533	卞	喜		변	희	
534	方	悦		방	열	
535	{U:F04C}	会		방	회	
536	忙	牙長		망	아장	
537	逢	紀	元図	봉	기	원도
538	{U:F04C}	羲		방	희	
539	鮑	信		포	신	
540	法	正	孝直	법	정	효직
541	{U:F04C}	統	士元	방	통	사원
542	{U:F04C}	徳	令明	방	덕	영명
543	鮑	隆		포	륭	
544	歩	協		보	협	
545	穆	順		목	순	
546	濮陽	興	子元	복양	흥	자원
547	木鹿	大王		목록	대왕	
548	歩	{U:F04F}	子山	보	즐	자산
549	歩	闡		보	천	
550	満	寵	伯寧	만	총	백녕
551	毛	{U:F052}	孝先	모	개	효선
552	孟	獲		맹	획	
553	毛	{S:FB51}		모	경	
554	孟	宗	恭武	맹	종	공무
555	孟	達	子慶	맹	달	자경
556	孟	優		맹	우	
557	兪	渉		유	섭	
558	楊	懐		양	회	
559	雍	{U:F056}		옹	개	
560	楊	儀	威公	양	의	위공
561	楊	欣		양	흔	
562	羊	{U:F078}	叔子	양	호	숙자
563	楊	弘		양	홍	
564	楊	昂		양	앙	
565	楊	済	文通	양	제	문통
566	楊	醜		양	추	
567	楊	修	徳祖	양	수	덕조
568	楊	秋		양	추	
569	楊	松		양	송	
570	楊	稷		양	직	
571	楊	任		양	임	
572	楊	祚		양	조	
573	楊	肇		양	조	
574	楊	柏		양	백	
575	楊	阜	義山	양	부	의산
576	楊	奉		양	봉	
577	雷	銅		뇌	동	
578	雷	薄		뇌	박	
579	駱	統	公緒	낙	통	공서
580	羅	憲	令則	나	헌	영칙
581	李	異		이	이	
582	李	恢	徳昂	이	회	덕앙
583	李	{U:F046}	稚然	이	각	치연
584	李	球		이	구	
585	李	{U:F055}		이	흠	
586	陸	凱	敬風	육	개	경풍
587	陸	景	士仁	육	경	사인
588	陸	抗	幼節	육	항	유절
589	陸	績	公紀	육	적	공기
590	陸	遜	伯言	육	손	백언
591	李	厳	正方	이	엄	정방
592	李	儒		이	유	
593	李	粛	偉恭	이	숙	위공
594	李	勝	公昭	이	승	공소
595	李	堪		이	감	
596	李	通	文達	이	통	문달
597	李	典	曼成	이	전	만성
598	李	輔		이	보	
599	李	豊		이	풍	
600	李	豊	安国	이	풍	안국
601	劉	焉	君郎	유	언	군랑
602	劉	{U:F065}		유	괴	
603	劉	{U:F061}		유	기	
604	劉	虞	伯安	유	우	백안
605	劉	勳	子台	유	훈	자대
606	劉	賢		유	현	
607	留	賛	正明	유	찬	정명
608	劉	俊		유	준	
609	劉	循		유	순	
610	劉	璋	季玉	유	장	계옥
611	劉	劭	孔才	유	소	공재
612	劉	丞		유	승	
613	劉	寔	子真	유	식	자진
614	劉	{U:F073}		유	심	
615	劉	{U:F0A8}	文衡	유	선	문형
616	劉	禅	公嗣	유	선	공사
617	劉	{U:F05B}		유	종	
618	劉	岱	公山	유	대	공산
619	劉	度		유	도	
620	劉	巴	子初	유	파	자초
621	劉	備	玄徳	유	비	현덕
622	劉	表	景升	유	표	경승
623	留	平		유	평	
624	劉	辟		유	벽	
625	劉	封		유	봉	
626	劉	曄	子揚	유	엽	자양
627	劉	{U:F04D}	正礼	유	요	정례
628	留	略		유	략	
629	呂	威{U:F0A6}		여	위황	
630	廖	化	元倹	요	화	원검
631	梁	興		양	흥	
632	梁	緒		양	서	
633	凌	操		능	조	
634	凌	統	公績	능	통	공적
635	呂	凱	季平	여	개	계평
636	呂	拠	世議	여	거	세의
637	呂	虔	子恪	여	건	자각
638	呂	曠		여	광	
639	呂	翔		여	상	
640	呂	岱	定公	여	대	정공
641	呂	範	子衡	여	범	자형
642	呂	布	奉先	여	포	봉선
643	呂	蒙	子明	여	몽	자명
644	倫	直		윤	직	
645	冷	苞		냉	포	
646	楼	玄	承先	누	현	승선
647	魯	粛	子敬	노	숙	자경
648	魯	淑		노	숙	
649	盧	植	子幹	노	식	자간
650	倭	女王		왜	여왕	
651	倭	巫女		왜	무녀	
652	倭	大夫		왜	대부	
653	倭	卑狗		왜	비구	
654	倭	武将		왜	무장	
655	烏丸	大王		오환	대왕	
656	烏丸	大人		오환	대인	
657	烏丸	率衆		오환	솔중	
658	烏丸	都督		오환	도독	
659	烏丸	武将		오환	무장	
660	羌	大王		강	대왕	
661	羌	丞相		강	승상	
662	羌	元帥		강	원수	
663	羌	酋長		강	추장	
664	羌	武将		강	무장	
665	山越	大王		산월	대왕	
666	山越	猛者		산월	맹자	
667	山越	勇者		산월	용자	
668	山越	戦士		산월	전사	
669	山越	武将		산월	무장	
670	南蛮	大王		남만	대왕	
671	南蛮	洞主		남만	동주	
672	南蛮	方士		남만	방사	
673	南蛮	副将		남만	부장	
674	南蛮	武将		남만	무장	
675	霊	帝		영	제	
676	少	帝		소	제	
677	献	帝		헌	제	
678	于	吉		우	길	
679	華	佗		화	타	
680	管	輅		관	로	
681	許	劭		허	소	
682	左	慈		좌	자	
683	司馬	徽		사마	휘	
684	禰	衡	正平	예	형	정평
685	貂	蝉		초	선	
686	大	喬		대	교	
687	小	喬		소	교	
688	蔡	{U:F080}		채	염	
689	馬	雲{U:F0A9}		마	운록	
690	黄	月英		황	월영	
691	北	斗		북	두	
692	南	斗		남	두	
693	盗	賊		도	적	
694	文	官		문	관	
695	兵	士		병	사	
696	男			남자		
697	女			여자		
698	老	人		노	인	
699	子	供		아이		
700	鄒	氏		추	씨	
701	甄	氏		견	씨	
702	鮑	三娘		포	삼랑	
703	花	鬘		화	만	
704	董	白		동	백	
705	樊	氏		번	씨	
706	辛	憲英		신	헌영	
707	夏侯	令女		하후	령녀	
708	呂	玲綺		여	령기	
709	橋	玄		교	현	
710	孔	丘	仲尼	공	구	중니
711	張	儀		장	의	
712	藺	相如		인	상여	
713	楽	毅		악	의	
714	白	起		백	기	
715	李	斯		이	사	
716	王	翦		왕	전	
717	項	籍	羽	항	적	우
718	范	増		범	증	
719	英	布		영	포	
720	劉	邦	季	유	방	계
721	韓	信		한	신	
722	張	良	子房	장	량	자방
723	霍	去病		곽	거병	
724	孫	濱		손	빈	
725	{U:F0A5}	政		영	정	
726	楊	大眼		양	대안	
727	陳	慶之	子雲	진	경지	자운
728	高	長恭		고	장공	
729	李	勣	懋功	이	적	무공
730	岳	飛	鵬挙	악	비	붕거
731	管	夷吾	仲	관	이오	중
732	蕭	何		소	하	
733	秦	良玉	貞素	진	량옥	정소
734	成吉	思汗		성길	사한	
